gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,penaltySave,attLfTarget,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attRfTarget,attSvLowCentre,attSvHighRight,interceptionsInBox,goalAssist,accurateThroughBall,accurateFreekickCross,defenderGoals,goalAssistIntentional,shieldBallOop,attHdGoal,goalsConcededObox,attGoalLowCentre,attIboxTarget,attSvHighLeft,attMissRight,hitWoodwork,attMissHighLeft,attRfGoal,attSvLowRight,punches,attFreekickTarget,forwardGoals,errorLeadToGoal,handBall,attCmissLeft,attSvLowLeft,sixYardBlock,overrun,attGoalLowRight,goalAssistOpenplay,errorLeadToShot,attCmissRight,totalPullBack,attGoalHighRight,attCmissHighLeft,attOboxGoal,penaltyWon,attPenGoal,attGoalHighLeft,attFreekickGoal,accuratePullBack,attObxLeft,foulThrowIn,attObxRight,postScoringAtt,attIboxPost,attPostHigh,goalFastbreak,cleanSheet,ownGoals,attIboxOwnGoal,attLgCentre,attCmissHighRight,secondYellow,attObxdRight,attObpGoal
1,360478,2011-08-13 15:00:00,"DW Stadium, Wigan",17454,Away,Norwich City,Wigan Athletic,1,1,D,1,1,0,0,1.0,50.0,1.0,1.0,36.0,19.0,5.0,5.0,1.0,168.0,6.0,2.0,1.0,2.0,10.0,2.0,78.0,156.0,49.0,1.0,13.0,1.0,13.0,1.0,1.0,1.0,3.0,22.0,19.0,1.0,8.0,3.0,11.0,47.0,169.0,2.0,0.0,144.0,8.0,4.0,1.0,1.0,1.0,3.0,42.0,52.0,2.0,51.0,19.0,1.0,1.0,6.0,3.0,145.0,1.0,14.0,81.0,578.0,8.0,11.0,1.0,11.0,15.0,8.0,5.0,2.0,2.0,6.0,8.0,26.0,95.0,5741,5.0,128.0,1.0,12.0,1.0,1.0,142.0,8.0,52.0,1.0,1.0,5.0,3.0,1.0,14.0,6.0,6.0,4.0,64.0,291.0,11.0,15.0,2.0,23.0,87.0,1.0,0.0,7.0,5.0,1.0,1.0,5.0,0.0,5.0,3.0,50.5,21.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,62.0,3.0,1.0,3.0,378.0,1.0,9.0,1.0,15.0,24.0,9.0,26.0,1.0,6.0,258.0,5.0,10.0,12.0,85.0,20.0,4.0,3.0,24.0,1.0,9.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360485,2011-08-21 13:30:00,"Carrow Road, Norwich",26272,Home,Norwich City,Stoke City,1,1,D,1,0,1,0,,42.0,1.0,1.0,38.0,32.0,8.0,5.0,,144.0,4.0,2.0,1.0,2.0,6.0,3.0,62.0,166.0,44.0,1.0,10.0,4.0,14.0,,,,2.0,25.0,14.0,2.0,17.0,3.0,12.0,33.0,126.0,,0.0,110.0,13.0,2.0,,,2.0,1.0,34.0,45.0,5.0,47.0,22.0,1.0,,13.0,2.0,151.0,,10.0,73.0,509.0,4.0,14.0,,4.0,18.0,10.0,16.0,,0.0,4.0,1.0,23.0,80.0,75880,1.0,121.0,,7.0,2.0,1.0,143.0,15.0,41.0,,3.0,3.0,4.0,,17.0,8.0,7.0,,64.0,243.0,12.0,6.0,1.0,27.0,83.0,,0.0,6.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,46.9,12.0,,2.0,1.0,,4.0,5.0,,42.0,3.0,1.0,1.0,326.0,,2.0,,5.0,17.0,2.0,29.0,1.0,,208.0,4.0,12.0,13.0,64.0,9.0,3.0,10.0,17.0,1.0,7.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360491,2011-08-27 15:00:00,"Stamford Bridge, London",41765,Away,Norwich City,Chelsea,1,3,L,0,1,1,0,,39.0,2.0,1.0,27.0,30.0,5.0,3.0,,103.0,2.0,1.0,1.0,3.0,8.0,6.0,36.0,140.0,47.0,1.0,11.0,,13.0,1.0,2.0,,1.0,17.0,15.0,3.0,15.0,5.0,4.0,30.0,89.0,1.0,0.0,98.0,15.0,3.0,1.0,,1.0,1.0,33.0,31.0,5.0,37.0,12.0,1.0,,2.0,2.0,125.0,2.0,9.0,40.0,407.0,7.0,5.0,1.0,19.0,16.0,12.0,14.0,,2.0,3.0,3.0,18.0,83.0,5741,3.0,60.0,2.0,9.0,1.0,1.0,66.0,14.0,45.0,,2.0,6.0,4.0,1.0,8.0,9.0,5.0,,60.0,147.0,17.0,7.0,1.0,24.0,82.0,1.0,0.0,8.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,30.4,11.0,1.0,1.0,1.0,1.0,5.0,1.0,,37.0,6.0,1.0,1.0,216.0,1.0,16.0,,6.0,11.0,4.0,17.0,,2.0,167.0,6.0,3.0,7.0,47.0,10.0,5.0,5.0,22.0,2.0,9.0,3.0,5.0,5.0,6.0,,2.0,,,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360504,2011-09-11 13:30:00,"Carrow Road, Norwich",26158,Home,Norwich City,West Bromwich Albion,0,1,L,0,1,0,0,,67.0,3.0,,25.0,25.0,10.0,10.0,,188.0,11.0,8.0,,3.0,14.0,3.0,93.0,200.0,54.0,2.0,18.0,3.0,12.0,,,3.0,5.0,34.0,21.0,2.0,13.0,1.0,19.0,31.0,191.0,,0.0,173.0,13.0,4.0,,,1.0,1.0,60.0,60.0,4.0,46.0,33.0,2.0,,14.0,5.0,188.0,1.0,5.0,77.0,647.0,14.0,12.0,,23.0,24.0,13.0,17.0,3.0,1.0,2.0,10.0,35.0,79.0,5741,6.0,105.0,2.0,18.0,,1.0,118.0,8.0,43.0,1.0,2.0,,9.0,,23.0,10.0,3.0,4.0,66.0,285.0,10.0,9.0,,45.0,106.0,,0.0,3.0,2.0,,1.0,7.0,0.0,11.0,2.0,51.8,28.0,2.0,4.0,1.0,,9.0,3.0,,44.0,1.0,1.0,1.0,404.0,,16.0,1.0,9.0,12.0,12.0,36.0,,7.0,320.0,6.0,19.0,10.0,102.0,20.0,1.0,9.0,26.0,1.0,15.0,3.0,10.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,1.0,,3.0,,,,2.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360511,2011-09-17 15:00:00,"University of Bolton Stadium, Bolton",21223,Away,Norwich City,Bolton Wanderers,2,1,W,2,0,0,1,1.0,48.0,2.0,1.0,37.0,50.0,5.0,5.0,1.0,130.0,8.0,3.0,2.0,,10.0,6.0,55.0,157.0,45.0,1.0,14.0,1.0,21.0,,,,4.0,26.0,8.0,2.0,27.0,9.0,4.0,32.0,142.0,1.0,0.0,115.0,9.0,2.0,,2.0,,,41.0,58.0,6.0,42.0,17.0,1.0,,3.0,2.0,134.0,,5.0,69.0,514.0,5.0,6.0,1.0,15.0,20.0,9.0,30.0,,1.0,4.0,4.0,28.0,89.0,5741,6.0,87.0,1.0,12.0,2.0,1.0,100.0,5.0,53.0,,,7.0,4.0,,3.0,4.0,3.0,1.0,64.0,221.0,9.0,9.0,3.0,28.0,80.0,,0.0,6.0,1.0,2.0,1.0,1.0,0.0,4.0,5.0,40.7,15.0,3.0,1.0,,,4.0,2.0,,39.0,9.0,1.0,,296.0,1.0,14.0,1.0,10.0,15.0,6.0,18.0,4.0,4.0,222.0,4.0,4.0,15.0,68.0,15.0,,18.0,18.0,1.0,,3.0,7.0,,9.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360524,2011-09-26 20:00:00,"Carrow Road, Norwich",26107,Home,Norwich City,Sunderland,2,1,W,1,0,0,0,,62.0,1.0,2.0,27.0,53.0,8.0,3.0,,175.0,3.0,3.0,2.0,1.0,8.0,4.0,75.0,207.0,48.0,,12.0,3.0,14.0,1.0,1.0,,2.0,21.0,12.0,2.0,27.0,5.0,14.0,28.0,187.0,,0.0,153.0,4.0,2.0,1.0,,1.0,,81.0,65.0,6.0,63.0,16.0,,1.0,3.0,3.0,181.0,,5.0,100.0,622.0,5.0,17.0,,16.0,17.0,10.0,33.0,,2.0,2.0,2.0,26.0,96.0,5741,2.0,100.0,,12.0,,,122.0,11.0,34.0,,1.0,,1.0,2.0,6.0,9.0,3.0,1.0,68.0,284.0,7.0,3.0,1.0,48.0,101.0,1.0,0.0,4.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,42.7,21.0,,2.0,,,2.0,5.0,,41.0,7.0,,,413.0,,11.0,,10.0,14.0,3.0,19.0,1.0,,312.0,7.0,11.0,19.0,81.0,32.0,3.0,16.0,19.0,,9.0,3.0,7.0,3.0,7.0,,,,,,2.0,2.0,,1.0,2.0,,,1.0,2.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,360534,2011-10-01 15:00:00,"Old Trafford, Manchester",75514,Away,Norwich City,Manchester United,0,2,L,0,0,0,0,,46.0,2.0,3.0,22.0,36.0,9.0,8.0,,143.0,4.0,3.0,,1.0,14.0,3.0,66.0,145.0,36.0,,17.0,2.0,5.0,1.0,,,2.0,12.0,8.0,2.0,15.0,2.0,6.0,29.0,105.0,2.0,0.0,103.0,6.0,,1.0,,1.0,1.0,22.0,34.0,7.0,46.0,10.0,,,3.0,5.0,124.0,,10.0,56.0,494.0,12.0,9.0,,22.0,27.0,8.0,14.0,,0.0,8.0,7.0,16.0,81.0,5741,4.0,125.0,1.0,6.0,,,144.0,12.0,23.0,1.0,1.0,1.0,4.0,,11.0,10.0,3.0,1.0,59.0,226.0,9.0,7.0,2.0,35.0,85.0,1.0,0.0,10.0,,,2.0,1.0,0.0,2.0,2.0,32.5,12.0,2.0,1.0,4.0,2.0,4.0,5.0,,37.0,3.0,,1.0,311.0,,20.0,,3.0,11.0,9.0,20.0,2.0,4.0,179.0,7.0,5.0,7.0,50.0,10.0,6.0,5.0,17.0,2.0,13.0,3.0,5.0,6.0,3.0,,2.0,,,,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,3.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,360544,2011-10-15 15:00:00,"Carrow Road, Norwich",26567,Home,Norwich City,Swansea City,3,1,W,2,1,0,0,3.0,36.0,1.0,,30.0,30.0,9.0,9.0,1.0,142.0,8.0,6.0,3.0,3.0,17.0,6.0,94.0,142.0,46.0,,18.0,2.0,1.0,1.0,,1.0,4.0,22.0,20.0,2.0,12.0,4.0,8.0,36.0,211.0,2.0,0.0,155.0,5.0,,1.0,2.0,1.0,,68.0,64.0,7.0,76.0,18.0,,,3.0,5.0,124.0,3.0,4.0,69.0,573.0,12.0,13.0,,12.0,10.0,10.0,18.0,1.0,0.0,2.0,10.0,17.0,100.0,5741,4.0,104.0,,14.0,1.0,,113.0,10.0,29.0,,1.0,1.0,5.0,1.0,16.0,8.0,6.0,1.0,55.0,307.0,5.0,12.0,2.0,27.0,80.0,1.0,0.0,4.0,1.0,3.0,1.0,5.0,0.0,5.0,3.0,39.8,14.0,2.0,3.0,1.0,,5.0,2.0,,49.0,4.0,,,381.0,,12.0,,7.0,17.0,10.0,15.0,3.0,5.0,290.0,5.0,6.0,10.0,97.0,17.0,4.0,9.0,25.0,1.0,14.0,2.0,10.0,4.0,4.0,,2.0,1.0,2.0,1.0,1.0,,,,3.0,,1.0,1.0,3.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,3.0,,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,360554,2011-10-22 17:30:00,"Anfield, Liverpool",44931,Away,Norwich City,Liverpool,1,1,D,0,1,0,0,1.0,60.0,1.0,,24.0,39.0,7.0,4.0,,159.0,5.0,2.0,1.0,1.0,10.0,7.0,93.0,180.0,41.0,,12.0,4.0,10.0,2.0,,,,17.0,17.0,2.0,23.0,3.0,13.0,25.0,180.0,,0.0,143.0,8.0,3.0,2.0,,,2.0,69.0,75.0,9.0,55.0,14.0,,,7.0,1.0,164.0,2.0,21.0,99.0,633.0,8.0,14.0,2.0,12.0,28.0,11.0,20.0,,1.0,8.0,1.0,28.0,92.0,5741,3.0,126.0,1.0,7.0,,,144.0,16.0,52.0,,1.0,,5.0,1.0,13.0,8.0,8.0,,57.0,301.0,6.0,15.0,1.0,38.0,106.0,2.0,0.0,10.0,7.0,1.0,1.0,3.0,0.0,4.0,3.0,44.6,23.0,,1.0,1.0,2.0,5.0,4.0,,56.0,3.0,,3.0,406.0,,10.0,,14.0,13.0,1.0,23.0,1.0,,279.0,5.0,12.0,8.0,81.0,17.0,4.0,10.0,25.0,1.0,11.0,2.0,7.0,4.0,3.0,,1.0,,,,3.0,4.0,,2.0,1.0,,,,1.0,,1.0,,,4.0,,,,1.0,,,,,1.0,,,,,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10,360562,2011-10-29 15:00:00,"Carrow Road, Norwich",26440,Home,Norwich City,Blackburn Rovers,3,3,D,0,1,0,0,,60.0,,,32.0,37.0,5.0,2.0,1.0,152.0,10.0,7.0,3.0,3.0,12.0,6.0,101.0,166.0,50.0,,14.0,1.0,15.0,,2.0,,1.0,37.0,16.0,1.0,19.0,5.0,10.0,20.0,198.0,,0.0,141.0,9.0,,,1.0,2.0,2.0,81.0,55.0,5.0,64.0,32.0,,,12.0,1.0,148.0,3.0,5.0,98.0,617.0,10.0,6.0,2.0,4.0,22.0,6.0,20.0,,2.0,4.0,7.0,19.0,63.0,5741,5.0,140.0,3.0,18.0,,,155.0,5.0,53.0,,,1.0,3.0,2.0,6.0,6.0,1.0,2.0,53.0,328.0,10.0,12.0,1.0,25.0,79.0,,0.0,2.0,1.0,1.0,3.0,3.0,0.0,9.0,3.0,49.0,16.0,1.0,2.0,,,3.0,1.0,1.0,37.0,6.0,,4.0,415.0,,3.0,,11.0,12.0,7.0,27.0,1.0,6.0,297.0,9.0,9.0,11.0,98.0,29.0,3.0,9.0,22.0,2.0,11.0,3.0,13.0,3.0,6.0,,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,2.0,,2.0,,2.0,2.0,,,,2.0,1.0,,1.0,3.0,,3.0,,1.0,,2.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
