gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,saves,attFreekickTotal,attOboxBlocked,attIboxTarget,attMissHighRight,divingSave,freekickCross,goodHighClaim,freekickTotal,bigChanceCreated,errorLeadToShot,bigChanceMissed,sixYardBlock,attSetpiece,attCmissHigh,attCmissHighLeft,attMissHigh,attSvLowRight,punches,savedIbox,foulThrowIn,clearanceOffLine,totalHighClaim,errorLeadToGoal,attBxRight,postScoringAtt,attSvLowCentre,cleanSheet,attFreekickPost,hitWoodwork,accurateFreekickCross,attOboxPost,attPostHigh,attBxLeft,attSvHighCentre,attFreekickMiss,accurateCornersIntobox,attRfTarget,attCmissRight,attPenTarget,penaltyWon,attSvLowLeft,shieldBallOop,contentiousDecision,accurateKeeperSweeper,attHdTarget,totalKeeperSweeper,bigChanceScored,attLfGoal,attGoalLowCentre,attGoalHighRight,attOboxGoal,totalPullBack,attFreekickGoal,attIboxPost,attSvHighRight,totalThroughBall,attAssistSetplay,goalsConcededObox,attOneOnOne,accurateThroughBall,forwardGoals,attGoalHighCentre,attLgCentre,attHdGoal,totalFastbreak,attPenGoal,attPostRight,penaltySave,shotFastbreak,penaltyConceded,attFastbreak,penaltyFaced,attFreekickTarget,attemptsIbox,attemptsObox,attPostLeft,touchesInOppBox,attCorner,attGoalLowRight,attHdPost,goalAssistSetplay,goalAssistDeadball,penGoalsConceded,defenderGoals,ptsDroppedWinningPos,accuratePullBack,attGoalLowLeft,attCmissHighRight,ownGoals,attIboxOwnGoal,secondYellow,attPenPost
1,755304,2014-08-18 20:00:00,"Turf Moor, Burnley",20699,Home,Burnley,Chelsea,1,3,L,1,3,0,0,1.0,65.0,1.0,36.0,21.0,4.0,4.0,183.0,3.0,3.0,1.0,2.0,7.0,2.0,78.0,178.0,46.0,9.0,20.0,1.0,2.0,15.0,9.0,1.0,21.0,4.0,11.0,44.0,160.0,0.0,129.0,6.0,1.0,1.0,72.0,73.0,2.0,70.0,3.0,3.0,11.0,20.0,4.0,3.0,178.0,7.0,82.0,589.0,6.0,14.0,11.0,278.0,18.0,1.0,15.0,12.0,1.0,1.0,4.0,5.0,35.0,394.0,82.0,84939,4.0,131.0,7.0,151.0,6.0,1.0,20.0,4.0,57.0,3.0,4.0,1.0,9.0,4.0,3.0,80.0,288.0,6.0,12.0,41.0,107.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,38.6,27.0,1.0,1.0,4.0,1.0,58.0,4.0,413.0,11.0,10.0,19.0,6.0,14.0,3.0,277.0,4.0,8.0,27.0,70.0,38.0,3.0,12.0,12.0,3.0,9.0,3.0,12.0,3.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755321,2014-08-23 15:00:00,"Swansea.com Stadium, Swansea",20565,Away,Burnley,Swansea City,0,1,L,0,1,0,0,1.0,62.0,3.0,51.0,23.0,5.0,8.0,166.0,3.0,3.0,,4.0,7.0,1.0,114.0,145.0,55.0,12.0,19.0,,1.0,25.0,15.0,,23.0,2.0,19.0,42.0,194.0,0.0,144.0,13.0,,,52.0,67.0,3.0,70.0,,,23.0,14.0,9.0,3.0,145.0,6.0,95.0,637.0,7.0,13.0,13.0,335.0,17.0,1.0,19.0,15.0,,1.0,3.0,4.0,27.0,421.0,79.0,84939,7.0,162.0,12.0,175.0,6.0,,14.0,3.0,52.0,1.0,2.0,,9.0,4.0,2.0,86.0,353.0,13.0,6.0,39.0,93.0,,,0.0,1.0,2.0,,1.0,4.0,0.0,3.0,,1.0,44.6,24.0,1.0,3.0,2.0,5.0,54.0,3.0,445.0,13.0,13.0,24.0,6.0,25.0,3.0,295.0,3.0,16.0,22.0,89.0,34.0,4.0,15.0,19.0,1.0,9.0,3.0,6.0,4.0,6.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755324,2014-08-30 12:45:00,"Turf Moor, Burnley",21099,Home,Burnley,Manchester United,0,0,D,0,0,0,0,3.0,66.0,1.0,33.0,35.0,5.0,8.0,137.0,4.0,4.0,,4.0,5.0,3.0,71.0,153.0,58.0,9.0,15.0,,,10.0,12.0,1.0,35.0,2.0,9.0,47.0,113.0,0.0,119.0,10.0,,,39.0,54.0,3.0,46.0,4.0,,8.0,17.0,4.0,2.0,153.0,6.0,59.0,519.0,5.0,16.0,12.0,197.0,24.0,1.0,8.0,23.0,,2.0,3.0,2.0,30.0,291.0,83.0,84939,2.0,104.0,2.0,122.0,5.0,,17.0,8.0,55.0,2.0,7.0,,13.0,1.0,3.0,74.0,213.0,14.0,12.0,27.0,75.0,,,0.0,2.0,6.0,,,6.0,0.0,2.0,,1.0,36.0,21.0,1.0,2.0,7.0,2.0,29.0,3.0,313.0,12.0,11.0,22.0,4.0,17.0,1.0,201.0,,8.0,22.0,55.0,30.0,9.0,23.0,19.0,,5.0,2.0,14.0,9.0,8.0,3.0,1.0,,1.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,,,,,2.0,1.0,,1.0,1.0,,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755335,2014-09-13 15:00:00,"Selhurst Park, London",23829,Away,Burnley,Crystal Palace,0,0,D,0,0,0,0,1.0,64.0,1.0,33.0,32.0,6.0,6.0,196.0,7.0,6.0,,5.0,8.0,3.0,73.0,170.0,49.0,11.0,28.0,,,22.0,7.0,2.0,32.0,5.0,16.0,30.0,192.0,0.0,171.0,11.0,,,47.0,93.0,5.0,56.0,1.0,2.0,17.0,19.0,7.0,1.0,170.0,11.0,82.0,608.0,8.0,18.0,12.0,280.0,22.0,1.0,12.0,21.0,,3.0,3.0,3.0,27.0,386.0,84.0,84939,2.0,106.0,9.0,122.0,3.0,,19.0,10.0,68.0,1.0,3.0,,12.0,5.0,3.0,69.0,291.0,12.0,10.0,37.0,101.0,,,0.0,2.0,5.0,,,6.0,0.0,5.0,,,55.2,24.0,,6.0,3.0,4.0,52.0,6.0,407.0,12.0,15.0,15.0,4.0,23.0,3.0,307.0,5.0,13.0,21.0,104.0,29.0,5.0,21.0,12.0,,8.0,1.0,12.0,5.0,7.0,6.0,,,3.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,3.0,,,1.0,,3.0,,,1.0,,,1.0,,,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755344,2014-09-20 15:00:00,"Turf Moor, Burnley",20026,Home,Burnley,Sunderland,0,0,D,0,0,0,0,4.0,67.0,,49.0,20.0,9.0,11.0,170.0,3.0,7.0,,3.0,16.0,6.0,72.0,147.0,61.0,16.0,19.0,,2.0,21.0,15.0,2.0,20.0,3.0,5.0,38.0,188.0,0.0,153.0,14.0,,,61.0,77.0,7.0,56.0,2.0,2.0,18.0,11.0,9.0,4.0,147.0,5.0,72.0,557.0,15.0,20.0,13.0,252.0,12.0,2.0,15.0,12.0,,1.0,2.0,8.0,26.0,341.0,86.0,8437,3.0,86.0,8.0,97.0,6.0,,11.0,9.0,53.0,2.0,4.0,,10.0,9.0,6.0,92.0,271.0,14.0,11.0,36.0,98.0,,,0.0,1.0,1.0,,,8.0,0.0,2.0,,1.0,44.3,21.0,1.0,5.0,4.0,2.0,51.0,5.0,370.0,13.0,9.0,24.0,8.0,34.0,3.0,294.0,4.0,1.0,22.0,96.0,38.0,,12.0,19.0,,13.0,3.0,9.0,,4.0,5.0,2.0,4.0,6.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,1.0,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,4.0,2.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755362,2014-09-28 16:00:00,"The Hawthorns, West Bromwich",24286,Away,Burnley,West Bromwich Albion,0,4,L,0,2,0,0,,54.0,1.0,31.0,49.0,7.0,4.0,135.0,4.0,3.0,,1.0,7.0,2.0,82.0,124.0,37.0,10.0,19.0,,1.0,21.0,3.0,1.0,49.0,2.0,11.0,27.0,106.0,0.0,90.0,9.0,,,34.0,48.0,3.0,48.0,1.0,,19.0,15.0,11.0,3.0,124.0,9.0,94.0,538.0,7.0,8.0,8.0,261.0,20.0,,4.0,33.0,,2.0,8.0,4.0,16.0,339.0,57.0,89085,3.0,175.0,8.0,192.0,3.0,,15.0,6.0,51.0,2.0,5.0,,8.0,11.0,3.0,67.0,277.0,7.0,14.0,25.0,69.0,,1.0,0.0,1.0,11.0,,4.0,2.0,0.0,2.0,,1.0,37.3,12.0,,5.0,5.0,4.0,33.0,2.0,359.0,8.0,6.0,16.0,4.0,16.0,1.0,188.0,5.0,9.0,20.0,52.0,23.0,4.0,33.0,8.0,4.0,8.0,3.0,7.0,4.0,11.0,2.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755366,2014-10-04 15:00:00,"King Power Stadium, Leicester",31448,Away,Burnley,Leicester City,2,2,D,1,2,0,0,1.0,74.0,1.0,46.0,39.0,6.0,5.0,169.0,5.0,8.0,2.0,3.0,8.0,4.0,85.0,162.0,76.0,10.0,26.0,1.0,2.0,29.0,18.0,2.0,39.0,2.0,18.0,24.0,170.0,0.0,154.0,12.0,,2.0,49.0,73.0,4.0,50.0,1.0,1.0,27.0,20.0,10.0,2.0,162.0,9.0,63.0,587.0,7.0,17.0,18.0,238.0,25.0,1.0,20.0,27.0,1.0,2.0,6.0,4.0,25.0,339.0,86.0,8437,3.0,92.0,14.0,113.0,8.0,1.0,20.0,8.0,65.0,1.0,2.0,1.0,8.0,6.0,6.0,77.0,257.0,15.0,16.0,43.0,85.0,,1.0,0.0,2.0,9.0,1.0,2.0,5.0,0.0,3.0,1.0,2.0,46.5,22.0,2.0,8.0,2.0,2.0,48.0,3.0,367.0,18.0,8.0,13.0,4.0,29.0,2.0,283.0,3.0,16.0,35.0,92.0,34.0,3.0,27.0,22.0,2.0,8.0,3.0,14.0,3.0,8.0,3.0,3.0,3.0,4.0,1.0,1.0,,,3.0,3.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,2.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755374,2014-10-18 15:00:00,"Turf Moor, Burnley",18936,Home,Burnley,West Ham United,1,3,L,0,0,0,0,,64.0,4.0,26.0,32.0,4.0,7.0,168.0,11.0,11.0,1.0,1.0,12.0,3.0,80.0,174.0,46.0,17.0,25.0,,3.0,35.0,12.0,,32.0,4.0,6.0,32.0,173.0,0.0,142.0,3.0,,1.0,55.0,71.0,4.0,52.0,6.0,2.0,31.0,11.0,12.0,4.0,174.0,16.0,60.0,605.0,11.0,11.0,15.0,236.0,25.0,,10.0,25.0,,0.0,7.0,8.0,36.0,335.0,72.0,89085,9.0,87.0,18.0,107.0,1.0,,11.0,8.0,53.0,2.0,4.0,,16.0,6.0,3.0,78.0,249.0,10.0,8.0,43.0,84.0,1.0,,0.0,,7.0,1.0,3.0,2.0,0.0,11.0,,5.0,46.5,32.0,4.0,4.0,4.0,4.0,40.0,5.0,360.0,15.0,9.0,15.0,10.0,24.0,4.0,288.0,5.0,6.0,13.0,86.0,28.0,6.0,25.0,13.0,3.0,14.0,3.0,19.0,6.0,9.0,5.0,,,2.0,,,2.0,,,1.0,2.0,,2.0,,2.0,,,,,3.0,,,3.0,,1.0,2.0,,1.0,2.0,1.0,,,2.0,,,2.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,755383,2014-10-26 13:30:00,"Turf Moor, Burnley",19927,Home,Burnley,Everton,1,3,L,1,2,0,0,1.0,68.0,2.0,35.0,24.0,6.0,7.0,165.0,3.0,9.0,1.0,1.0,7.0,3.0,82.0,165.0,47.0,14.0,16.0,1.0,3.0,30.0,11.0,,24.0,4.0,7.0,31.0,161.0,0.0,128.0,12.0,,,50.0,65.0,3.0,42.0,1.0,1.0,26.0,15.0,14.0,3.0,165.0,8.0,69.0,563.0,6.0,15.0,13.0,246.0,13.0,1.0,11.0,16.0,1.0,4.0,5.0,4.0,24.0,337.0,76.0,89085,4.0,105.0,12.0,119.0,4.0,1.0,15.0,6.0,60.0,2.0,8.0,1.0,12.0,7.0,4.0,69.0,263.0,7.0,15.0,31.0,83.0,,2.0,0.0,2.0,4.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,38.1,16.0,,3.0,9.0,5.0,46.0,5.0,358.0,13.0,15.0,14.0,6.0,37.0,3.0,269.0,6.0,5.0,14.0,77.0,38.0,1.0,16.0,18.0,2.0,11.0,3.0,12.0,1.0,8.0,5.0,,2.0,3.0,1.0,3.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,,3.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,755393,2014-11-01 15:00:00,"Emirates Stadium, London",60012,Away,Burnley,Arsenal,0,3,L,0,0,0,0,1.0,47.0,,31.0,59.0,3.0,3.0,142.0,1.0,5.0,,,4.0,2.0,65.0,130.0,50.0,6.0,14.0,,1.0,7.0,17.0,1.0,59.0,1.0,6.0,22.0,115.0,0.0,93.0,9.0,,,34.0,67.0,1.0,55.0,6.0,1.0,6.0,25.0,3.0,1.0,130.0,18.0,57.0,535.0,3.0,12.0,20.0,212.0,22.0,,13.0,33.0,,1.0,11.0,3.0,20.0,292.0,59.0,89085,1.0,112.0,3.0,127.0,6.0,,25.0,13.0,53.0,4.0,3.0,,11.0,14.0,6.0,75.0,226.0,5.0,21.0,38.0,72.0,,,0.0,1.0,18.0,,3.0,4.0,0.0,1.0,,,32.4,15.0,,3.0,3.0,1.0,33.0,1.0,319.0,20.0,8.0,11.0,3.0,14.0,2.0,199.0,3.0,4.0,19.0,46.0,14.0,5.0,33.0,21.0,3.0,5.0,2.0,7.0,5.0,13.0,1.0,1.0,4.0,8.0,,1.0,1.0,,4.0,,1.0,,,,1.0,,,,,1.0,,,5.0,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
