gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attCmissRight,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attSvHighRight,freekickCross,contentiousDecision,attHdTarget,hitWoodwork,totalPullBack,attCmissHigh,attAssistSetplay,shieldBallOop,attPostRight,bigChanceScored,attGoalLowRight,goals,accurateKeeperSweeper,goalAssistOpenplay,attGoalHighRight,attOneOnOne,penaltyWon,attGoalHighCentre,bigChanceCreated,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,attPenGoal,attSvLowRight,attCmissLeft,punches,attIboxGoal,goalAssistIntentional,penaltyFaced,penGoalsConceded,forwardGoals,accuratePullBack,attFreekickTotal,freekickTotal,attGoalHighLeft,attFreekickTarget,goalsConcededObox,goalAssistSetplay,defenderGoals,attHdGoal,errorLeadToGoal,attLfGoal,cleanSheet,attOboxGoal,midfielderGoals,attPostHigh,attFreekickMiss,sixYardBlock,attLgLeft,attPenTarget,accurateFreekickCross,attGoalLowLeft,attCmissHighLeft,attGoalLowCentre,shotFastbreak,totalFastbreak,attFastbreak,goalAssistDeadball,attObxdLeft,attPostLeft,attSvHighLeft,attLgCentre,clearanceOffLine,penaltySave,attObxRight,attOboxPost,attObxLeft
1,803162,2015-08-08 15:00:00,"Vitality Stadium, Bournemouth",11155,Home,Bournemouth,Aston Villa,0,1,L,0,0,0,0,62.0,1.0,1.0,50.0,16.0,3.0,3.0,2.0,2.0,171.0,4.0,3.0,1.0,9.0,2.0,164.0,150.0,45.0,11.0,1.0,17.0,2.0,2.0,1.0,27.0,6.0,13.0,4.0,11.0,46.0,268.0,2.0,0.0,184.0,13.0,1.0,1.0,3.0,75.0,103.0,4.0,66.0,1.0,2.0,23.0,14.0,5.0,2.0,147.0,4.0,147.0,747.0,9.0,3.0,16.0,446.0,20.0,1.0,5.0,10.0,3.0,2.0,5.0,30.0,528.0,82.0,1.0,1.0,80498,3.0,200.0,1.0,18.0,2.0,214.0,5.0,14.0,3.0,64.0,3.0,4.0,13.0,3.0,2.0,1.0,73.0,464.0,13.0,10.0,16.0,81.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,58.4,29.0,1.0,5.0,3.0,1.0,4.0,2.0,59.0,6.0,3.0,548.0,16.0,15.0,30.0,7.0,41.0,1.0,5.0,361.0,7.0,11.0,17.0,134.0,33.0,4.0,9.0,14.0,1.0,9.0,3.0,12.0,4.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803173,2015-08-17 20:00:00,"Anfield, Liverpool",44102,Away,Bournemouth,Liverpool,0,1,L,0,1,0,0,55.0,,1.0,25.0,23.0,5.0,5.0,1.0,,143.0,3.0,12.0,2.0,13.0,2.0,97.0,164.0,62.0,13.0,4.0,23.0,1.0,4.0,,25.0,19.0,20.0,7.0,8.0,36.0,162.0,,0.0,128.0,18.0,1.0,,,57.0,54.0,7.0,40.0,3.0,2.0,18.0,23.0,9.0,,161.0,8.0,107.0,612.0,10.0,15.0,14.0,270.0,30.0,1.0,3.0,12.0,4.0,5.0,6.0,31.0,358.0,51.0,,1.0,80498,3.0,134.0,,8.0,,169.0,8.0,23.0,15.0,72.0,,4.0,14.0,10.0,11.0,2.0,49.0,293.0,11.0,12.0,12.0,56.0,0.0,1.0,6.0,1.0,1.0,3.0,,0.0,,3.0,,45.1,25.0,2.0,4.0,,,4.0,5.0,31.0,8.0,,387.0,14.0,14.0,20.0,6.0,32.0,3.0,5.0,243.0,4.0,8.0,17.0,90.0,17.0,2.0,12.0,22.0,1.0,9.0,3.0,22.0,2.0,12.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803183,2015-08-22 15:00:00,"Boleyn Ground, London",34977,Away,Bournemouth,West Ham United,4,3,W,2,0,0,1,58.0,,1.0,30.0,37.0,6.0,4.0,1.0,2.0,188.0,1.0,12.0,2.0,11.0,7.0,97.0,178.0,64.0,15.0,1.0,21.0,2.0,1.0,1.0,11.0,15.0,29.0,2.0,6.0,41.0,182.0,,0.0,164.0,11.0,1.0,,1.0,87.0,55.0,5.0,64.0,1.0,3.0,10.0,21.0,,4.0,170.0,6.0,103.0,659.0,9.0,11.0,10.0,318.0,23.0,1.0,9.0,23.0,1.0,3.0,6.0,33.0,426.0,78.0,1.0,,80498,7.0,151.0,2.0,10.0,,176.0,4.0,21.0,7.0,59.0,3.0,7.0,11.0,4.0,2.0,1.0,76.0,332.0,8.0,7.0,30.0,97.0,0.0,3.0,5.0,1.0,3.0,4.0,,0.0,,1.0,,54.2,28.0,,3.0,1.0,,7.0,2.0,42.0,4.0,3.0,452.0,10.0,9.0,19.0,6.0,26.0,2.0,2.0,287.0,10.0,6.0,27.0,103.0,21.0,1.0,21.0,17.0,3.0,13.0,3.0,23.0,1.0,11.0,4.0,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,,,,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803195,2015-08-29 15:00:00,"Vitality Stadium, Bournemouth",11155,Home,Bournemouth,Leicester City,1,1,D,1,0,0,0,58.0,,1.0,31.0,30.0,3.0,,1.0,1.0,176.0,3.0,6.0,6.0,2.0,2.0,86.0,193.0,66.0,5.0,2.0,21.0,,,,19.0,15.0,24.0,2.0,9.0,27.0,166.0,,0.0,129.0,9.0,1.0,,1.0,70.0,73.0,2.0,77.0,1.0,,17.0,26.0,1.0,,187.0,4.0,96.0,659.0,1.0,8.0,21.0,304.0,21.0,,5.0,12.0,2.0,,,36.0,409.0,61.0,,,80498,2.0,159.0,,12.0,1.0,199.0,3.0,26.0,6.0,72.0,1.0,2.0,19.0,,3.0,,63.0,322.0,18.0,12.0,23.0,79.0,0.0,2.0,4.0,1.0,1.0,,,0.0,2.0,,,56.1,30.0,,7.0,,,2.0,3.0,39.0,4.0,1.0,435.0,21.0,21.0,13.0,,23.0,1.0,,255.0,4.0,7.0,26.0,83.0,26.0,,12.0,16.0,1.0,3.0,3.0,15.0,,11.0,4.0,,,,,1.0,,1.0,,4.0,2.0,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803203,2015-09-12 15:00:00,"Carrow Road, Norwich",27018,Away,Bournemouth,Norwich City,1,3,L,0,1,0,0,54.0,,1.0,27.0,15.0,2.0,2.0,1.0,1.0,164.0,3.0,5.0,3.0,7.0,2.0,139.0,164.0,38.0,7.0,1.0,16.0,1.0,1.0,,16.0,10.0,13.0,2.0,5.0,38.0,219.0,,0.0,120.0,11.0,1.0,1.0,2.0,63.0,97.0,4.0,58.0,1.0,2.0,14.0,16.0,4.0,1.0,162.0,7.0,115.0,663.0,5.0,7.0,18.0,358.0,27.0,,3.0,7.0,3.0,,3.0,35.0,451.0,52.0,,,80498,3.0,158.0,,8.0,2.0,189.0,3.0,16.0,11.0,54.0,,6.0,17.0,5.0,3.0,1.0,63.0,374.0,9.0,7.0,20.0,80.0,0.0,3.0,4.0,1.0,3.0,1.0,,0.0,3.0,2.0,,52.3,32.0,1.0,1.0,,,7.0,2.0,48.0,4.0,2.0,476.0,18.0,11.0,21.0,3.0,23.0,,2.0,303.0,3.0,5.0,11.0,84.0,19.0,3.0,6.0,13.0,2.0,4.0,3.0,15.0,3.0,10.0,4.0,,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803218,2015-09-19 15:00:00,"Vitality Stadium, Bournemouth",11271,Home,Bournemouth,Sunderland,2,0,W,2,0,0,1,55.0,1.0,3.0,29.0,15.0,8.0,4.0,2.0,3.0,183.0,5.0,17.0,9.0,13.0,5.0,103.0,155.0,72.0,15.0,3.0,21.0,1.0,3.0,1.0,17.0,17.0,13.0,4.0,10.0,26.0,193.0,,0.0,144.0,14.0,2.0,2.0,1.0,97.0,57.0,9.0,72.0,1.0,,13.0,21.0,2.0,2.0,153.0,3.0,105.0,672.0,10.0,2.0,13.0,344.0,25.0,1.0,10.0,5.0,2.0,4.0,4.0,18.0,436.0,57.0,,,80498,2.0,174.0,,8.0,2.0,199.0,10.0,21.0,7.0,73.0,,5.0,10.0,6.0,,1.0,64.0,362.0,14.0,14.0,27.0,76.0,0.0,,3.0,1.0,,2.0,,0.0,2.0,1.0,,53.1,15.0,1.0,2.0,2.0,,5.0,6.0,39.0,7.0,1.0,463.0,13.0,13.0,14.0,4.0,22.0,3.0,1.0,281.0,9.0,10.0,18.0,104.0,23.0,3.0,5.0,23.0,,7.0,3.0,29.0,3.0,10.0,7.0,1.0,,,1.0,1.0,1.0,2.0,,3.0,,,1.0,1.0,,2.0,1.0,,,1.0,2.0,,1.0,,,,,,1.0,,,1.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,3.0,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
7,803224,2015-09-26 15:00:00,"bet365 Stadium, Stoke",27742,Away,Bournemouth,Stoke City,1,2,L,0,1,0,0,66.0,1.0,1.0,17.0,18.0,6.0,7.0,3.0,3.0,179.0,1.0,9.0,3.0,10.0,6.0,120.0,143.0,52.0,12.0,3.0,15.0,2.0,2.0,,17.0,7.0,18.0,6.0,9.0,22.0,194.0,,0.0,116.0,11.0,1.0,,1.0,59.0,70.0,8.0,69.0,2.0,2.0,11.0,15.0,2.0,1.0,143.0,7.0,120.0,676.0,10.0,8.0,13.0,377.0,21.0,,3.0,10.0,0.0,1.0,2.0,31.0,466.0,54.0,,,78007,3.0,201.0,1.0,8.0,2.0,231.0,7.0,15.0,3.0,48.0,1.0,7.0,8.0,1.0,2.0,,45.0,394.0,13.0,8.0,15.0,73.0,0.0,2.0,3.0,2.0,2.0,2.0,,0.0,1.0,1.0,,56.3,27.0,,5.0,,1.0,7.0,4.0,44.0,7.0,1.0,488.0,13.0,12.0,10.0,2.0,31.0,,1.0,274.0,4.0,7.0,14.0,80.0,29.0,2.0,10.0,16.0,2.0,8.0,3.0,12.0,2.0,7.0,7.0,,1.0,,,3.0,,3.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,4.0,1.0,,1.0,,,1.0,,,,,1.0,2.0,2.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
8,803239,2015-10-03 15:00:00,"Vitality Stadium, Bournemouth",11187,Home,Bournemouth,Watford,1,1,D,1,1,0,0,59.0,,,34.0,22.0,6.0,2.0,1.0,4.0,192.0,6.0,15.0,5.0,10.0,6.0,122.0,175.0,64.0,12.0,2.0,20.0,3.0,,2.0,24.0,8.0,17.0,2.0,10.0,26.0,209.0,,0.0,154.0,8.0,1.0,1.0,3.0,90.0,98.0,7.0,67.0,3.0,1.0,22.0,23.0,11.0,2.0,170.0,6.0,115.0,718.0,8.0,8.0,18.0,368.0,22.0,,5.0,16.0,1.0,4.0,3.0,38.0,473.0,62.0,,,80498,4.0,185.0,1.0,9.0,1.0,214.0,5.0,23.0,6.0,57.0,,7.0,12.0,5.0,3.0,1.0,69.0,388.0,13.0,11.0,26.0,79.0,0.0,4.0,3.0,1.0,1.0,1.0,,0.0,6.0,4.0,,54.4,32.0,2.0,4.0,1.0,1.0,7.0,2.0,37.0,5.0,3.0,496.0,18.0,12.0,14.0,4.0,28.0,,2.0,306.0,6.0,8.0,26.0,110.0,25.0,3.0,14.0,10.0,1.0,9.0,2.0,21.0,3.0,12.0,5.0,,,,,1.0,,2.0,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,4.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
9,803244,2015-10-17 15:00:00,"Etihad Stadium, Manchester",54502,Away,Bournemouth,Manchester City,1,5,L,1,4,0,0,47.0,3.0,,26.0,14.0,4.0,,6.0,,155.0,5.0,10.0,5.0,5.0,1.0,114.0,149.0,50.0,5.0,1.0,19.0,,,2.0,26.0,8.0,9.0,6.0,11.0,20.0,185.0,1.0,0.0,116.0,5.0,4.0,,1.0,75.0,70.0,2.0,56.0,1.0,,20.0,27.0,7.0,2.0,144.0,12.0,126.0,631.0,4.0,9.0,18.0,333.0,16.0,,3.0,5.0,1.0,,3.0,25.0,424.0,45.0,,2.0,80498,1.0,175.0,,11.0,,194.0,2.0,27.0,8.0,54.0,,5.0,11.0,4.0,5.0,,51.0,355.0,11.0,17.0,14.0,63.0,0.0,,1.0,3.0,5.0,4.0,,0.0,4.0,1.0,,45.6,24.0,1.0,1.0,,,5.0,1.0,38.0,7.0,1.0,451.0,18.0,8.0,7.0,3.0,30.0,1.0,1.0,283.0,4.0,10.0,14.0,67.0,23.0,,4.0,15.0,5.0,5.0,3.0,16.0,,14.0,7.0,,,,,,,,,2.0,1.0,,,2.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
10,803259,2015-10-25 14:05:00,"Vitality Stadium, Bournemouth",11332,Home,Bournemouth,Tottenham Hotspur,1,5,L,1,3,0,0,62.0,,,32.0,19.0,5.0,6.0,5.0,,152.0,9.0,8.0,3.0,9.0,3.0,87.0,158.0,63.0,11.0,2.0,19.0,1.0,2.0,3.0,19.0,23.0,15.0,3.0,5.0,25.0,163.0,,0.0,110.0,8.0,4.0,,1.0,72.0,66.0,4.0,69.0,2.0,2.0,16.0,14.0,3.0,2.0,154.0,10.0,93.0,624.0,8.0,8.0,19.0,278.0,27.0,,11.0,11.0,0.0,3.0,5.0,24.0,367.0,44.0,,,80498,4.0,148.0,,12.0,2.0,176.0,7.0,14.0,7.0,57.0,,6.0,11.0,5.0,3.0,,72.0,302.0,14.0,6.0,38.0,70.0,0.0,3.0,5.0,5.0,5.0,,,0.0,7.0,2.0,,45.8,20.0,2.0,4.0,,1.0,6.0,2.0,34.0,4.0,3.0,401.0,19.0,19.0,16.0,6.0,25.0,2.0,3.0,244.0,3.0,4.0,12.0,75.0,22.0,3.0,11.0,29.0,5.0,8.0,3.0,13.0,3.0,9.0,4.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,3.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
