gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,accurateKeeperSweeper,attGoalHighRight,freekickTotal,attGoalHighCentre,attMissHighLeft,totalKeeperSweeper,totalOffside,attSvLowRight,attFreekickMiss,savedObox,attCmissRight,attHdTarget,attGoalHighLeft,shieldBallOop,attPostRight,goalsConcededObox,attGoalLowCentre,attCmissHigh,defenderGoals,attCmissLeft,errorLeadToGoal,goalFastbreak,attHdPost,attPostHigh,clearanceOffLine,punches,attSvHighLeft,cleanSheet,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attObpGoal,attSvHighCentre,attSvHighRight,attFreekickTarget,attPenTarget,attObxLeft,attOboxGoal,secondYellow,attLgCentre,foulThrowIn,attCmissHighRight,attPenMiss
1,803167,2015-08-08 15:00:00,"King Power Stadium, Leicester",32242,Home,Leicester City,Sunderland,4,2,W,3,0,0,0,1.0,1.0,1.0,57.0,1.0,3.0,3.0,1.0,1.0,26.0,21.0,4.0,8.0,3.0,1.0,3.0,154.0,9.0,6.0,4.0,8.0,18.0,2.0,8.0,71.0,145.0,57.0,20.0,1.0,25.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,23.0,1.0,15.0,1.0,19.0,5.0,2.0,30.0,1.0,145.0,1.0,1.0,0.0,113.0,13.0,3.0,1.0,3.0,2.0,6.0,1.0,61.0,59.0,10.0,49.0,3.0,1.0,18.0,16.0,3.0,2.0,143.0,3.0,1.0,7.0,1.0,68.0,544.0,13.0,12.0,1.0,18.0,236.0,18.0,4.0,12.0,2.0,2.0,2.0,8.0,21.0,316.0,75.0,1.0,2.0,1.0,86417,9.0,114.0,3.0,9.0,1.0,2.0,128.0,9.0,1.0,2.0,16.0,6.0,60.0,1.0,4.0,2.0,7.0,4.0,1.0,3.0,1.0,69.0,250.0,16.0,5.0,3.0,25.0,83.0,1.0,0.0,3.0,3.0,3.0,4.0,2.0,6.0,0.0,5.0,2.0,3.0,44.0,13.0,1.0,4.0,1.0,4.0,4.0,35.0,6.0,1.0,342.0,18.0,12.0,17.0,8.0,28.0,4.0,5.0,237.0,8.0,2.0,16.0,67.0,25.0,1.0,1.0,12.0,19.0,2.0,2.0,15.0,3.0,13.0,1.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803176,2015-08-15 15:00:00,"Boleyn Ground, London",34857,Away,Leicester City,West Ham United,2,1,W,2,0,0,1,,1.0,1.0,57.0,,,,,,28.0,36.0,3.0,4.0,2.0,1.0,2.0,115.0,7.0,6.0,2.0,3.0,7.0,1.0,5.0,41.0,134.0,62.0,10.0,2.0,25.0,3.0,1.0,1.0,,1.0,1.0,,16.0,,20.0,,27.0,4.0,4.0,26.0,,99.0,,,0.0,108.0,12.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,45.0,5.0,33.0,1.0,,12.0,9.0,1.0,1.0,125.0,2.0,,7.0,,53.0,435.0,5.0,15.0,,16.0,148.0,27.0,9.0,19.0,1.0,3.0,3.0,2.0,15.0,212.0,77.0,,,,86417,4.0,65.0,2.0,8.0,,,80.0,5.0,,2.0,9.0,13.0,61.0,,1.0,2.0,6.0,3.0,3.0,2.0,,74.0,157.0,11.0,9.0,1.0,28.0,71.0,1.0,0.0,4.0,8.0,2.0,2.0,1.0,6.0,0.0,3.0,1.0,1.0,30.2,10.0,,4.0,,1.0,2.0,27.0,4.0,1.0,242.0,16.0,11.0,15.0,3.0,25.0,4.0,2.0,178.0,5.0,3.0,20.0,58.0,17.0,1.0,9.0,13.0,25.0,1.0,1.0,7.0,3.0,10.0,9.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803191,2015-08-22 15:00:00,"King Power Stadium, Leicester",31971,Home,Leicester City,Tottenham Hotspur,1,1,D,0,0,0,0,,,,53.0,,,1.0,,,25.0,15.0,6.0,7.0,5.0,1.0,,117.0,2.0,11.0,1.0,6.0,9.0,,2.0,52.0,141.0,60.0,13.0,5.0,25.0,1.0,,3.0,1.0,1.0,1.0,,22.0,1.0,12.0,,12.0,2.0,6.0,31.0,,121.0,1.0,,0.0,106.0,7.0,1.0,,1.0,,5.0,,50.0,53.0,6.0,44.0,1.0,2.0,20.0,7.0,4.0,1.0,138.0,1.0,1.0,12.0,,52.0,454.0,8.0,9.0,1.0,21.0,171.0,24.0,5.0,8.0,1.0,1.0,4.0,3.0,21.0,235.0,61.0,,,1.0,86417,2.0,61.0,1.0,11.0,,1.0,84.0,4.0,,,7.0,13.0,53.0,,2.0,1.0,9.0,7.0,1.0,,,68.0,180.0,14.0,11.0,,22.0,63.0,,0.0,3.0,7.0,2.0,1.0,1.0,5.0,0.0,2.0,,1.0,34.8,12.0,,4.0,2.0,2.0,6.0,23.0,2.0,,265.0,21.0,6.0,15.0,5.0,28.0,,3.0,203.0,5.0,6.0,16.0,72.0,16.0,,6.0,7.0,19.0,,1.0,7.0,3.0,16.0,6.0,4.0,2.0,1.0,,,1.0,,1.0,,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803195,2015-08-29 15:00:00,"Vitality Stadium, Bournemouth",11155,Away,Leicester City,Bournemouth,1,1,D,0,1,0,0,1.0,1.0,1.0,60.0,,,,,,28.0,17.0,,3.0,1.0,,,149.0,,12.0,1.0,4.0,3.0,1.0,2.0,67.0,175.0,72.0,4.0,,26.0,1.0,,1.0,,,1.0,,21.0,,22.0,,12.0,4.0,9.0,31.0,,121.0,1.0,1.0,0.0,123.0,19.0,,,,,2.0,1.0,52.0,81.0,1.0,50.0,2.0,,17.0,26.0,6.0,,170.0,,2.0,2.0,,70.0,550.0,3.0,12.0,,29.0,215.0,32.0,10.0,10.0,,4.0,3.0,2.0,30.0,314.0,70.0,,,,86417,1.0,102.0,,9.0,,,124.0,9.0,1.0,1.0,26.0,8.0,66.0,1.0,,,9.0,3.0,,1.0,1.0,77.0,223.0,9.0,6.0,,36.0,75.0,,0.0,2.0,4.0,,1.0,1.0,1.0,0.0,,,,43.9,22.0,,2.0,2.0,,,25.0,4.0,1.0,336.0,29.0,6.0,12.0,2.0,26.0,,2.0,233.0,1.0,9.0,21.0,70.0,21.0,1.0,4.0,7.0,30.0,,1.0,3.0,3.0,22.0,4.0,15.0,4.0,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803202,2015-09-13 16:00:00,"King Power Stadium, Leicester",31733,Home,Leicester City,Aston Villa,3,2,W,0,1,0,0,,2.0,1.0,85.0,,1.0,2.0,1.0,1.0,25.0,15.0,12.0,8.0,2.0,1.0,1.0,153.0,4.0,25.0,3.0,6.0,17.0,,6.0,81.0,160.0,88.0,21.0,4.0,28.0,,,1.0,,2.0,1.0,5.0,17.0,,26.0,3.0,11.0,4.0,6.0,36.0,,183.0,,,0.0,142.0,8.0,,,,1.0,4.0,,49.0,80.0,12.0,50.0,1.0,2.0,13.0,24.0,2.0,5.0,156.0,1.0,1.0,5.0,,104.0,646.0,12.0,9.0,,16.0,283.0,19.0,3.0,8.0,3.0,2.0,4.0,5.0,35.0,369.0,72.0,2.0,1.0,,86417,6.0,119.0,,7.0,,1.0,132.0,3.0,1.0,,24.0,5.0,74.0,2.0,2.0,2.0,12.0,6.0,3.0,2.0,,62.0,298.0,13.0,9.0,2.0,27.0,79.0,,0.0,4.0,5.0,2.0,3.0,2.0,4.0,0.0,3.0,3.0,3.0,48.7,28.0,2.0,10.0,1.0,2.0,6.0,34.0,4.0,,388.0,16.0,18.0,22.0,9.0,26.0,1.0,4.0,273.0,10.0,6.0,18.0,95.0,50.0,1.0,1.0,6.0,32.0,1.0,,18.0,3.0,36.0,1.0,14.0,4.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,803215,2015-09-19 15:00:00,"bet365 Stadium, Stoke",27642,Away,Leicester City,Stoke City,2,2,D,0,2,0,0,,2.0,1.0,73.0,,2.0,,,,24.0,33.0,5.0,5.0,2.0,2.0,1.0,168.0,3.0,11.0,2.0,1.0,10.0,,5.0,71.0,183.0,59.0,12.0,1.0,34.0,1.0,,2.0,,1.0,1.0,,16.0,,13.0,2.0,28.0,4.0,2.0,30.0,,173.0,1.0,1.0,0.0,134.0,12.0,2.0,,1.0,1.0,,2.0,43.0,62.0,5.0,56.0,1.0,3.0,12.0,20.0,7.0,2.0,178.0,,,5.0,,76.0,597.0,8.0,10.0,,28.0,251.0,25.0,9.0,17.0,1.0,4.0,2.0,5.0,22.0,344.0,93.0,2.0,,1.0,86417,5.0,95.0,,5.0,,,115.0,6.0,,,20.0,10.0,92.0,2.0,4.0,1.0,14.0,6.0,2.0,2.0,1.0,64.0,265.0,6.0,15.0,1.0,25.0,87.0,,0.0,2.0,4.0,,2.0,2.0,4.0,0.0,1.0,1.0,2.0,45.9,12.0,2.0,5.0,,4.0,1.0,39.0,4.0,2.0,371.0,28.0,19.0,12.0,6.0,26.0,2.0,4.0,272.0,5.0,1.0,28.0,79.0,33.0,1.0,3.0,16.0,15.0,,2.0,9.0,3.0,24.0,3.0,10.0,4.0,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,803222,2015-09-26 15:00:00,"King Power Stadium, Leicester",32047,Home,Leicester City,Arsenal,2,5,L,1,2,0,0,,4.0,,63.0,,2.0,1.0,,,22.0,20.0,5.0,8.0,6.0,,1.0,144.0,5.0,15.0,2.0,3.0,14.0,,7.0,72.0,152.0,59.0,16.0,2.0,23.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,33.0,2.0,16.0,1.0,16.0,5.0,17.0,32.0,1.0,199.0,,,0.0,152.0,9.0,3.0,2.0,,1.0,3.0,,76.0,61.0,8.0,60.0,4.0,2.0,28.0,17.0,15.0,2.0,148.0,2.0,,23.0,,84.0,590.0,11.0,8.0,2.0,18.0,262.0,28.0,5.0,16.0,2.0,1.0,13.0,6.0,18.0,331.0,87.0,,,,86417,3.0,86.0,2.0,10.0,,,95.0,2.0,2.0,,17.0,7.0,70.0,,5.0,2.0,11.0,4.0,3.0,,,66.0,280.0,10.0,16.0,1.0,31.0,73.0,1.0,0.0,2.0,5.0,7.0,2.0,5.0,3.0,0.0,4.0,1.0,2.0,42.0,13.0,1.0,7.0,4.0,5.0,3.0,34.0,6.0,,360.0,18.0,13.0,19.0,6.0,43.0,1.0,2.0,298.0,6.0,17.0,12.0,103.0,16.0,2.0,1.0,12.0,21.0,,4.0,13.0,3.0,24.0,1.0,11.0,6.0,,2.0,,,,,3.0,,2.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,803232,2015-10-03 15:00:00,"Carrow Road, Norwich",27067,Away,Leicester City,Norwich City,2,1,W,1,0,0,0,,,2.0,59.0,,1.0,3.0,,,16.0,40.0,1.0,5.0,1.0,1.0,3.0,135.0,5.0,10.0,2.0,2.0,14.0,,5.0,47.0,172.0,66.0,16.0,,29.0,3.0,2.0,3.0,,1.0,,4.0,21.0,,20.0,,26.0,8.0,6.0,26.0,,97.0,,1.0,0.0,92.0,4.0,,3.0,1.0,1.0,1.0,3.0,37.0,38.0,5.0,25.0,2.0,1.0,13.0,22.0,3.0,1.0,158.0,3.0,,11.0,,47.0,491.0,11.0,8.0,,23.0,149.0,33.0,7.0,20.0,1.0,1.0,6.0,8.0,20.0,236.0,70.0,1.0,,1.0,86417,5.0,61.0,3.0,9.0,,,85.0,1.0,1.0,,22.0,8.0,61.0,1.0,2.0,1.0,9.0,6.0,2.0,1.0,1.0,63.0,153.0,4.0,14.0,1.0,30.0,67.0,2.0,0.0,2.0,17.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,33.8,5.0,4.0,1.0,3.0,2.0,3.0,22.0,8.0,3.0,254.0,23.0,5.0,11.0,8.0,31.0,2.0,7.0,190.0,7.0,6.0,21.0,43.0,17.0,1.0,8.0,15.0,31.0,,1.0,12.0,3.0,19.0,8.0,16.0,8.0,,,,,,2.0,,1.0,2.0,,,,,,,,,1.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,
9,803245,2015-10-17 15:00:00,"St. Mary's Stadium, Southampton",30966,Away,Leicester City,Southampton,2,2,D,0,2,0,0,1.0,,2.0,67.0,,1.0,5.0,,,28.0,15.0,11.0,4.0,3.0,,2.0,145.0,10.0,10.0,2.0,6.0,15.0,1.0,7.0,77.0,163.0,65.0,27.0,3.0,29.0,3.0,,2.0,,2.0,3.0,2.0,33.0,,15.0,2.0,9.0,7.0,7.0,42.0,1.0,174.0,7.0,,0.0,145.0,10.0,3.0,,,,6.0,1.0,74.0,55.0,11.0,42.0,,2.0,26.0,28.0,7.0,6.0,157.0,5.0,,10.0,,78.0,580.0,11.0,13.0,,29.0,232.0,21.0,4.0,11.0,2.0,0.0,3.0,4.0,25.0,317.0,77.0,1.0,1.0,,86417,13.0,81.0,3.0,13.0,,3.0,95.0,3.0,1.0,1.0,28.0,8.0,61.0,1.0,1.0,2.0,12.0,4.0,2.0,1.0,,72.0,245.0,16.0,11.0,2.0,25.0,74.0,,0.0,2.0,6.0,2.0,2.0,2.0,5.0,0.0,8.0,2.0,5.0,49.4,17.0,1.0,7.0,1.0,1.0,8.0,38.0,7.0,1.0,342.0,29.0,10.0,21.0,12.0,51.0,2.0,6.0,280.0,17.0,7.0,21.0,83.0,34.0,2.0,4.0,7.0,19.0,1.0,2.0,18.0,2.0,15.0,4.0,15.0,7.0,1.0,,1.0,1.0,,,2.0,,,,2.0,,3.0,,,,,,1.0,,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,
10,803253,2015-10-24 15:00:00,"King Power Stadium, Leicester",31752,Home,Leicester City,Crystal Palace,1,0,W,0,0,0,0,,1.0,1.0,71.0,,,1.0,,,23.0,38.0,9.0,6.0,4.0,,1.0,153.0,2.0,12.0,1.0,3.0,6.0,,3.0,99.0,160.0,61.0,12.0,3.0,27.0,,,1.0,1.0,1.0,1.0,1.0,14.0,,15.0,2.0,30.0,1.0,8.0,38.0,,144.0,2.0,,0.0,113.0,7.0,2.0,,,,3.0,,55.0,52.0,3.0,63.0,2.0,1.0,13.0,13.0,3.0,3.0,152.0,1.0,,3.0,1.0,111.0,633.0,5.0,10.0,1.0,22.0,318.0,37.0,6.0,12.0,1.0,3.0,2.0,3.0,22.0,407.0,76.0,1.0,1.0,,86417,,185.0,,7.0,,2.0,210.0,6.0,1.0,1.0,13.0,4.0,57.0,1.0,,1.0,12.0,6.0,1.0,,,81.0,327.0,9.0,9.0,,38.0,88.0,,0.0,3.0,2.0,1.0,1.0,,4.0,0.0,2.0,1.0,,47.7,13.0,,1.0,1.0,,4.0,45.0,3.0,,426.0,22.0,8.0,14.0,5.0,26.0,,1.0,230.0,6.0,8.0,20.0,59.0,27.0,1.0,4.0,11.0,21.0,,,9.0,2.0,19.0,4.0,10.0,3.0,1.0,1.0,,1.0,,,1.0,2.0,,,3.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
