gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,accurateKeeperSweeper,attMissLeft,attOboxMiss,attMissHighLeft,totalKeeperSweeper,shieldBallOop,handBall,attGoalLowCentre,accuratePullBack,attCmissRight,attFreekickTotal,postScoringAtt,attIboxPost,attMissHighRight,attSvHighRight,goodHighClaim,freekickTotal,attPostLeft,totalFlickOn,hitWoodwork,totalPullBack,attCmissHighLeft,punches,accurateFlickOn,totalHighClaim,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attSvHighLeft,accurateLaunches,cleanSheet,penaltyWon,contentiousDecision,attPenGoal,goalAssistDeadball,attLfGoal,attOboxGoal,sixYardBlock,defenderGoals,attHdGoal,errorLeadToShot,attGoalHighLeft,foulThrowIn,ptsGainedLosingPos,attGoalHighCentre,attCmissLeft,goalFastbreak,attPostHigh,attLgRight,attFreekickPost,attOboxPost,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,attCmissHighRight,expectedGoals,attCmissHigh,attFreekickTarget,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,attFreekickMiss,penaltySave,ownGoals,attIboxOwnGoal,secondYellow,attPenTarget,attObxRight
1,2367543,2023-08-12 17:30:00,"St. James' Park, Newcastle",52207.0,Home,Newcastle United,Aston Villa,5,1,W,2,1,0,0,2.0,5.0,55.0,1.0,3.0,2.0,2.0,1.0,15.0,12.0,3.0,2.0,14.0,5.0,5.0,166.0,5.0,7.0,5.0,2.0,14.0,13.0,131.0,111.0,44.0,17.0,6.0,5.0,1.0,1.0,3.0,2.0,11.0,9.0,1.0,3.0,12.0,4.0,5.0,34.0,2.0,164.0,0.0,126.0,12.0,3.0,1.0,1.0,4.0,2.0,54.0,52.0,12.0,80.0,2.0,1.0,7.0,14.0,3.0,1.0,111.0,8.0,12.0,2.0,125.0,674.0,7.0,34.0,1.0,7.0,408.0,24.0,4.0,4.0,4.0,3.0,2.0,15.0,475.0,57.0,4.0,1.0,98747,8.0,269.0,4.0,4.0,2.0,289.0,8.0,5.0,9.0,8.0,42.0,5.0,2.0,6.0,4.0,13.0,4.0,3.0,1.0,42.0,428.0,16.0,11.0,3.0,6.0,2.0,57.0,1.0,1.0,0.0,1.0,5.0,3.0,5.0,1.0,0.0,3.0,4.0,3.0,52.6,13.0,2.0,4.0,2.0,1.0,6.0,2.0,33.0,6.0,502.0,7.0,8.0,16.0,2.0,22.0,2.0,2.0,224.0,12.0,4.0,5.0,85.0,21.0,2.0,3.0,4.0,16.0,1.0,13.0,5.0,12.0,3.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367553,2023-08-19 20:00:00,"Etihad Stadium, Manchester",,Away,Newcastle United,Manchester City,0,1,L,0,1,0,0,,,55.0,,,,3.0,,26.0,11.0,3.0,3.0,4.0,3.0,1.0,137.0,3.0,5.0,,,7.0,1.0,154.0,99.0,34.0,7.0,3.0,,,1.0,,,5.0,4.0,,1.0,11.0,,3.0,44.0,,155.0,0.0,91.0,11.0,,,,,,35.0,49.0,5.0,66.0,,,5.0,10.0,3.0,,99.0,,10.0,,120.0,613.0,7.0,18.0,,7.0,394.0,23.0,6.0,,5.0,7.0,2.0,12.0,453.0,44.0,,,98747,1.0,260.0,,5.0,,279.0,6.0,,4.0,8.0,39.0,,4.0,7.0,,15.0,4.0,5.0,,45.0,412.0,13.0,14.0,,2.0,,48.0,,1.0,0.0,,3.0,3.0,,1.0,0.0,3.0,,,41.3,10.0,,5.0,2.0,,7.0,4.0,27.0,,477.0,7.0,7.0,24.0,2.0,14.0,,1.0,203.0,4.0,3.0,6.0,65.0,20.0,,,6.0,10.0,1.0,7.0,5.0,9.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367566,2023-08-27 16:30:00,"St. James' Park, Newcastle",52214.0,Home,Newcastle United,Liverpool,1,2,L,1,0,0,1,2.0,1.0,60.0,,,1.0,2.0,,18.0,15.0,9.0,7.0,14.0,2.0,5.0,163.0,6.0,10.0,1.0,2.0,14.0,8.0,160.0,112.0,48.0,23.0,8.0,4.0,1.0,3.0,,2.0,13.0,12.0,,3.0,15.0,3.0,4.0,44.0,1.0,218.0,0.0,145.0,16.0,1.0,1.0,,2.0,2.0,57.0,85.0,6.0,91.0,,4.0,10.0,15.0,9.0,2.0,112.0,,6.0,,176.0,751.0,13.0,31.0,,5.0,491.0,23.0,9.0,,1.0,2.0,8.0,13.0,571.0,56.0,,1.0,98747,9.0,296.0,,6.0,4.0,320.0,11.0,1.0,6.0,6.0,45.0,1.0,,7.0,1.0,9.0,3.0,5.0,2.0,39.0,508.0,10.0,10.0,1.0,7.0,3.0,64.0,1.0,2.0,0.0,1.0,9.0,1.0,1.0,2.0,0.0,4.0,,4.0,60.0,12.0,4.0,7.0,2.0,,7.0,4.0,44.0,5.0,590.0,5.0,7.0,20.0,11.0,26.0,2.0,6.0,283.0,12.0,3.0,9.0,104.0,23.0,1.0,1.0,9.0,19.0,2.0,15.0,5.0,15.0,1.0,6.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367570,2023-09-02 17:30:00,"American Express Stadium, Falmer",31620.0,Away,Newcastle United,Brighton and Hove Albion,1,3,L,0,1,0,0,,1.0,40.0,,,1.0,1.0,,20.0,14.0,2.0,1.0,7.0,4.0,,141.0,2.0,13.0,1.0,2.0,9.0,2.0,125.0,98.0,50.0,9.0,12.0,1.0,,,1.0,,11.0,9.0,,,14.0,2.0,7.0,35.0,,142.0,0.0,80.0,17.0,1.0,,,,3.0,47.0,48.0,5.0,59.0,1.0,3.0,9.0,17.0,2.0,2.0,98.0,1.0,9.0,1.0,115.0,596.0,7.0,24.0,1.0,3.0,348.0,18.0,4.0,1.0,4.0,4.0,4.0,12.0,412.0,39.0,1.0,1.0,98747,5.0,231.0,,4.0,1.0,257.0,10.0,1.0,7.0,7.0,47.0,1.0,,6.0,1.0,11.0,6.0,4.0,,43.0,371.0,14.0,10.0,1.0,4.0,,61.0,,,0.0,1.0,5.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,44.2,12.0,,3.0,1.0,,6.0,3.0,43.0,3.0,440.0,3.0,5.0,14.0,4.0,20.0,,4.0,194.0,7.0,6.0,5.0,54.0,13.0,,,4.0,18.0,1.0,8.0,5.0,16.0,,7.0,3.0,2.0,2.0,1.0,,,2.0,,,1.0,2.0,1.0,,,,,,,,,2.0,,3.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367583,2023-09-16 17:30:00,"St. James' Park, Newcastle",51670.0,Home,Newcastle United,Brentford,1,0,W,0,0,0,0,,1.0,57.0,,,,,,17.0,19.0,4.0,,5.0,2.0,,182.0,5.0,14.0,1.0,6.0,6.0,2.0,114.0,169.0,60.0,9.0,20.0,1.0,,,,1.0,26.0,9.0,1.0,,19.0,5.0,3.0,47.0,,221.0,0.0,159.0,8.0,,,,,1.0,63.0,71.0,2.0,67.0,,,21.0,14.0,4.0,6.0,169.0,1.0,8.0,,101.0,672.0,5.0,28.0,1.0,6.0,343.0,25.0,12.0,,3.0,5.0,4.0,27.0,438.0,53.0,,,98747,4.0,147.0,1.0,14.0,1.0,179.0,4.0,1.0,4.0,10.0,68.0,,,6.0,,12.0,3.0,5.0,2.0,46.0,363.0,12.0,10.0,1.0,12.0,3.0,67.0,,,0.0,,3.0,2.0,1.0,,0.0,3.0,,4.0,56.3,22.0,3.0,5.0,,,6.0,2.0,38.0,8.0,464.0,6.0,19.0,17.0,5.0,35.0,2.0,3.0,311.0,5.0,2.0,23.0,112.0,18.0,1.0,1.0,12.0,12.0,,4.0,1.0,25.0,1.0,4.0,8.0,2.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,3.0,,1.0,,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367597,2023-09-24 16:30:00,"Bramall Lane, Sheffield",30568.0,Away,Newcastle United,Sheffield United,8,0,W,3,0,0,0,1.0,6.0,65.0,1.0,5.0,1.0,2.0,2.0,28.0,9.0,5.0,7.0,17.0,1.0,5.0,203.0,6.0,10.0,8.0,3.0,17.0,15.0,159.0,133.0,51.0,22.0,9.0,6.0,2.0,1.0,4.0,2.0,16.0,14.0,,1.0,9.0,4.0,5.0,44.0,2.0,230.0,0.0,151.0,8.0,,2.0,2.0,1.0,2.0,63.0,62.0,16.0,78.0,,,12.0,17.0,5.0,1.0,133.0,7.0,7.0,2.0,162.0,801.0,10.0,45.0,1.0,7.0,504.0,22.0,4.0,6.0,0.0,4.0,1.0,17.0,581.0,51.0,1.0,1.0,98747,10.0,298.0,3.0,9.0,1.0,319.0,3.0,3.0,10.0,6.0,46.0,5.0,1.0,6.0,6.0,19.0,2.0,6.0,,44.0,522.0,11.0,10.0,1.0,5.0,6.0,70.0,2.0,2.0,0.0,2.0,2.0,,7.0,,0.0,4.0,5.0,5.0,57.8,15.0,,4.0,3.0,,6.0,4.0,55.0,5.0,602.0,7.0,15.0,27.0,3.0,32.0,2.0,2.0,299.0,10.0,4.0,11.0,109.0,33.0,2.0,,4.0,19.0,,15.0,5.0,14.0,,10.0,6.0,2.0,,1.0,1.0,,,,,2.0,1.0,,,,,2.0,1.0,,,,3.0,,2.0,,1.0,2.0,,,,,1.0,,1.0,,,,2.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367603,2023-09-30 15:00:00,"St. James' Park, Newcastle",52163.0,Home,Newcastle United,Burnley,2,0,W,1,0,0,0,1.0,1.0,77.0,,1.0,,3.0,,18.0,10.0,6.0,3.0,14.0,2.0,4.0,176.0,6.0,9.0,2.0,5.0,15.0,8.0,141.0,146.0,64.0,20.0,7.0,4.0,1.0,1.0,1.0,4.0,19.0,14.0,,2.0,10.0,4.0,3.0,50.0,,153.0,0.0,128.0,7.0,,1.0,,1.0,2.0,43.0,59.0,11.0,70.0,,2.0,15.0,20.0,6.0,5.0,146.0,4.0,6.0,,123.0,700.0,11.0,32.0,1.0,4.0,398.0,20.0,6.0,1.0,1.0,5.0,4.0,18.0,490.0,59.0,1.0,1.0,98747,9.0,267.0,5.0,8.0,3.0,297.0,5.0,1.0,12.0,2.0,36.0,3.0,1.0,4.0,1.0,16.0,2.0,1.0,,41.0,414.0,15.0,9.0,3.0,5.0,3.0,58.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,,0.0,5.0,,5.0,52.8,17.0,2.0,13.0,2.0,,5.0,6.0,34.0,5.0,510.0,4.0,6.0,25.0,6.0,40.0,1.0,6.0,232.0,12.0,3.0,19.0,80.0,37.0,2.0,,6.0,21.0,,13.0,4.0,16.0,,12.0,5.0,3.0,,4.0,,,,1.0,,,,,,,,,,,,,4.0,,1.0,,,3.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2367616,2023-10-08 14:00:00,"London Stadium, London",,Away,Newcastle United,West Ham United,2,2,D,0,1,0,0,,2.0,57.0,1.0,,,1.0,,27.0,19.0,2.0,4.0,8.0,1.0,,170.0,5.0,6.0,2.0,,8.0,3.0,172.0,115.0,40.0,10.0,17.0,1.0,,,1.0,,12.0,6.0,,,19.0,2.0,7.0,47.0,,233.0,0.0,145.0,18.0,1.0,,,,2.0,50.0,72.0,2.0,91.0,,,10.0,19.0,2.0,3.0,115.0,2.0,3.0,,170.0,756.0,5.0,23.0,1.0,3.0,506.0,25.0,8.0,1.0,3.0,,6.0,19.0,585.0,58.0,1.0,1.0,98747,1.0,292.0,1.0,5.0,2.0,316.0,11.0,1.0,12.0,4.0,51.0,2.0,1.0,10.0,1.0,11.0,2.0,2.0,,54.0,520.0,11.0,6.0,2.0,13.0,1.0,54.0,,1.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,4.0,1.0,3.0,64.8,18.0,2.0,1.0,2.0,,10.0,1.0,29.0,2.0,603.0,3.0,8.0,25.0,6.0,29.0,1.0,3.0,299.0,3.0,6.0,15.0,111.0,18.0,2.0,2.0,8.0,8.0,1.0,7.0,3.0,9.0,2.0,12.0,2.0,,,3.0,2.0,2.0,,1.0,,,,,,1.0,1.0,,,3.0,,1.0,3.0,1.0,,1.0,2.0,,3.0,2.0,,1.0,,3.0,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2367624,2023-10-21 15:00:00,"St. James' Park, Newcastle",52189.0,Home,Newcastle United,Crystal Palace,4,0,W,3,0,0,0,1.0,3.0,58.0,3.0,,2.0,,,32.0,15.0,1.0,2.0,9.0,3.0,2.0,155.0,5.0,9.0,4.0,,6.0,7.0,173.0,130.0,43.0,10.0,10.0,2.0,1.0,1.0,3.0,2.0,18.0,5.0,,1.0,15.0,2.0,5.0,48.0,2.0,226.0,0.0,134.0,7.0,2.0,2.0,1.0,1.0,,52.0,97.0,4.0,87.0,,1.0,16.0,22.0,1.0,6.0,130.0,3.0,10.0,,158.0,749.0,3.0,24.0,,7.0,469.0,21.0,11.0,3.0,2.0,4.0,2.0,15.0,545.0,51.0,,,98747,4.0,274.0,3.0,10.0,,294.0,3.0,3.0,14.0,10.0,45.0,,,6.0,4.0,18.0,7.0,10.0,,49.0,495.0,12.0,8.0,,9.0,1.0,72.0,1.0,,0.0,,8.0,1.0,4.0,,0.0,3.0,3.0,1.0,59.5,15.0,1.0,2.0,,,6.0,,51.0,6.0,573.0,7.0,15.0,31.0,3.0,29.0,2.0,2.0,297.0,7.0,5.0,14.0,93.0,29.0,3.0,2.0,11.0,8.0,,9.0,5.0,14.0,2.0,14.0,6.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,3.0,1.0,1.0,,1.0,1.0,,,,,,3.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,2367637,2023-10-28 17:30:00,"Molineux Stadium, Wolverhampton",31584.0,Away,Newcastle United,Wolverhampton Wanderers,2,2,D,2,1,0,0,,2.0,55.0,,1.0,1.0,4.0,,18.0,21.0,2.0,1.0,11.0,4.0,3.0,155.0,4.0,11.0,2.0,1.0,7.0,5.0,153.0,127.0,43.0,13.0,9.0,2.0,,2.0,,1.0,16.0,12.0,,1.0,21.0,6.0,9.0,35.0,,180.0,0.0,109.0,15.0,1.0,,,,,67.0,53.0,4.0,87.0,1.0,,10.0,14.0,2.0,2.0,127.0,1.0,6.0,,121.0,718.0,7.0,28.0,,10.0,427.0,18.0,9.0,,4.0,3.0,3.0,26.0,495.0,39.0,1.0,,98747,6.0,269.0,2.0,8.0,,290.0,9.0,2.0,7.0,3.0,74.0,2.0,,9.0,1.0,12.0,5.0,1.0,,39.0,445.0,13.0,22.0,,7.0,3.0,71.0,,2.0,0.0,,8.0,3.0,2.0,2.0,0.0,3.0,,1.0,56.8,22.0,1.0,4.0,2.0,,9.0,5.0,49.0,7.0,516.0,10.0,19.0,17.0,3.0,27.0,1.0,3.0,242.0,10.0,9.0,4.0,77.0,23.0,2.0,,9.0,16.0,2.0,9.0,1.0,20.0,,7.0,7.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,1.0,,,2.0,,,,1.0,,1.0,,1.0,,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
