gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,accurateLongBalls,totalClearance,saves,attLfGoal,fwdPass,attGoalLowCentre,goals,rightsidePass,possLostAll,duelWon,aerialLost,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,passesLeft,passesRight,backwardPass,totalCrossNocorner,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,accurateBackZonePass,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,duelLost,ownGoals,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attPenGoal,totalLongBalls,accuratePass,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,totalPass,interceptionWon,dispossessed,penAreaEntries,totalFwdZonePass,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,totalContest,blockedCross,bigChanceScored,savedObox,attIboxBlocked,expectedGoalsOnTarget,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,totalScoringAtt,attIboxTarget,accurateKeeperSweeper,attOboxTarget,totalCornersIntobox,totalLayoffs,attMissHighRight,penaltyWon,attSvLowLeft,freekickCross,ontargetAttAssist,interceptionsInBox,attMissRight,putThrough,attemptsObox,attOboxMiss,attAssistOpenplay,touchesInOppBox,attHdTarget,attMissHighLeft,totalKeeperSweeper,outfielderBlock,offtargetAttAssist,attBxCentre,crosses18yard,totalPullBack,blockedPass,goalKicks,attCmissHigh,attemptsConcededObox,accurateGoalKicks,attMissHigh,fkFoulWon,attAssistSetplay,attCorner,punches,overrun,accurateFlickOn,accurateCrossNocorner,attHdTotal,attHdMiss,attBxLeft,blockedScoringAtt,cornerTaken,accurateChippedPass,shotOffTarget,accurateCornersIntobox,attIboxMiss,attRfTotal,accurateLayoffs,forwardGoals,attOpenplay,subsMade,expectedGoals,errorLeadToGoal,successfulPutThrough,wonCorners,shotFastbreak,attSvLowCentre,attMissLeft,attOneOnOne,cleanSheet,totalFastbreak,goodHighClaim,bigChanceCreated,accurateThroughBall,bigChanceMissed,sixYardBlock,totalThroughBall,totalOffside,attFastbreak,totalHighClaim,handBall,attPenTarget,attOboxBlocked,goalAssistOpenplay,contentiousDecision,goalAssist,attSetpiece,penaltyConceded,goalAssistIntentional,shieldBallOop,attSvHighCentre,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attLfTarget,goalAssistSetplay,attCmissRight,goalFastbreak,attSvHighRight,ptsGainedLosingPos,accurateFreekickCross,errorLeadToShot,attBxRight,attIboxOwnGoal,penaltySave,attSvHighLeft,foulThrowIn,attIboxPost,attCmissHighLeft,attCmissHighRight,postScoringAtt,attHdPost,hitWoodwork,attSvLowRight,attCmissLeft,attPostHigh,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickMiss,clearanceOffLine,goalAssistDeadball,attLgRight,attOboxPost,attPostRight,attFreekickPost,attPostLeft,attObxdLeft,attFreekickTarget,attObxdRight
1,2561898,2025-08-17 14:00:00,"The City Ground, Nottingham",29949.0,Away,Brentford,Nottingham Forest,1,3,L,0.0,3.0,0,0,0.0,52.0,0.0,0.0,14.0,27.0,2.0,0.0,135.0,1.0,1.0,84.0,126.0,48.0,20.0,16.0,6.0,0.0,27.0,11.0,2.4317,80.0,0.0,0.0,68.0,15.0,0.0,,0.0,45.0,33.0,48.0,12.0,0.0,0.0,4.0,126.0,6.0,0.0,79.0,533.0,4.0,5.0,260.0,24.0,4.0,11.0,2.0,0.264241,19.0,329.0,47.0,34.82,513418,194.0,214.0,8.0,108721.34,1.0,53.0,0.0,0.0,11.0,0.0,17.0,1.0,44.0,271.0,9.0,24.0,60.0,0.0,0.0,0.0,0.0,5.0,,1.0,3.0,0.0,45.6,12.0,1.0,11.0,31.0,346.0,5.0,5.0,20.0,148.0,16.0,35.0,16.0,2.0,11.0,20.0,0.0,3.0,14.0,2.0,1.0,2.0,3.0,1.4701,3.0,2.0,7.0,1.0,3.0,7.0,2.0,7.0,1.0,3.0,10.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,16.0,3.0,2.0,4.0,19.0,1.0,1.0,1.0,2.0,2.0,7.0,7.0,1.0,8.0,5.0,1.0,5.0,4.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,1.4922,1.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561907,2025-08-23 15:00:00,"Gtech Community Stadium, Brentford",16838.0,Home,Brentford,Aston Villa,1,0,W,1.0,0.0,0,0,0.0,54.0,1.0,0.0,23.0,45.0,2.0,1.0,89.0,0.0,1.0,28.0,98.0,62.0,21.0,11.0,15.0,0.0,45.0,19.0,0.1324,69.0,0.0,0.0,59.0,11.0,0.0,,1.0,24.0,29.0,26.0,9.0,0.0,0.0,3.0,98.0,12.0,0.0,35.0,396.0,5.0,11.0,118.0,21.0,10.0,26.0,1.0,0.353912,13.0,160.0,38.0,34.36,502500,64.0,70.0,5.0,109490.39,0.0,52.0,0.0,0.0,2.0,1.0,16.0,0.0,48.0,128.0,8.0,20.0,51.0,0.0,0.0,0.0,0.0,9.0,,1.0,0.0,0.0,23.6,3.0,3.0,2.0,25.0,178.0,11.0,7.0,19.0,119.0,17.0,31.0,23.0,5.0,26.0,28.0,0.0,0.0,15.0,5.0,1.0,2.0,3.0,1.3602,1.0,3.0,8.0,1.0,5.0,8.0,2.0,5.0,,2.0,9.0,1.0,,,2.0,5.0,,,,2.0,3.0,2.0,1.0,13.0,1.0,1.0,4.0,25.0,,,,8.0,2.0,4.0,4.0,,12.0,7.0,,5.0,4.0,1.0,9.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,12.0,4.0,1.0,3.0,4.0,5.0,,4.0,5.0,1.2127,,12.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561922,2025-08-30 15:00:00,"Stadium of Light, Sunderland",46267.0,Away,Brentford,Sunderland,1,2,L,0.0,0.0,0,0,0.0,35.0,0.0,0.0,17.0,34.0,1.0,0.0,131.0,0.0,1.0,83.0,130.0,49.0,24.0,16.0,7.0,0.0,34.0,17.0,1.0843,115.0,0.0,0.0,79.0,12.0,0.0,,0.0,35.0,49.0,59.0,13.0,0.0,0.0,6.0,130.0,9.0,0.0,81.0,541.0,10.0,4.0,269.0,22.0,6.0,24.0,2.0,0.816688,16.0,328.0,44.0,33.2,502500,174.0,194.0,4.0,107948.14,0.0,65.0,0.0,0.0,2.0,1.0,11.0,0.0,46.0,283.0,4.0,21.0,53.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,45.9,9.0,,2.0,22.0,354.0,4.0,14.0,21.0,176.0,22.0,47.0,9.0,,24.0,9.0,1.0,2.0,22.0,,1.0,,,1.45,2.0,1.0,5.0,1.0,6.0,8.0,1.0,4.0,,4.0,7.0,2.0,,1.0,3.0,5.0,,1.0,1.0,,2.0,,,11.0,2.0,,2.0,14.0,2.0,,,3.0,2.0,5.0,7.0,,7.0,13.0,,3.0,5.0,1.0,10.0,1.0,2.0,1.0,,5.0,4.0,5.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.1977,,7.0,4.0,,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561927,2025-09-13 20:00:00,"Gtech Community Stadium, Brentford",16795.0,Home,Brentford,Chelsea,2,2,D,1.0,0.0,0,0,1.0,39.0,0.0,2.0,28.0,33.0,4.0,0.0,106.0,0.0,2.0,61.0,115.0,44.0,14.0,18.0,10.0,0.0,33.0,33.0,2.2305,93.0,0.0,0.0,70.0,13.0,0.0,2.0,0.0,36.0,37.0,43.0,14.0,0.0,0.0,4.0,115.0,10.0,1.0,74.0,480.0,9.0,6.0,197.0,20.0,8.0,11.0,3.0,0.805632,15.0,259.0,35.0,35.57,513418,128.0,144.0,3.0,109996.83,2.0,46.0,0.0,0.0,6.0,1.0,12.0,0.0,50.0,215.0,4.0,20.0,54.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,0.0,34.3,9.0,4.0,7.0,27.0,284.0,6.0,6.0,24.0,158.0,7.0,43.0,6.0,,11.0,17.0,0.0,1.0,20.0,,1.0,1.0,1.0,2.2957,,1.0,7.0,1.0,6.0,11.0,1.0,7.0,,4.0,7.0,2.0,1.0,,4.0,3.0,,,1.0,1.0,5.0,1.0,1.0,8.0,,,4.0,20.0,1.0,,1.0,7.0,2.0,6.0,9.0,,6.0,7.0,,6.0,3.0,,9.0,1.0,3.0,1.0,,1.0,4.0,2.0,1.0,,1.0,5.0,21.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,5.0,1.4263,,6.0,5.0,2.0,1.0,1.0,,,3.0,,1.0,,,,1.0,,2.0,,,,,1.0,,2.0,1.0,,2.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561939,2025-09-20 20:00:00,"Craven Cottage, London",26113.0,Away,Brentford,Fulham,1,3,L,1.0,2.0,0,0,0.0,38.0,0.0,1.0,17.0,18.0,2.0,0.0,134.0,0.0,1.0,92.0,144.0,36.0,15.0,21.0,6.0,0.0,18.0,24.0,0.8459,109.0,0.0,0.0,89.0,13.0,0.0,,1.0,54.0,52.0,58.0,12.0,0.0,0.0,4.0,144.0,9.0,0.0,114.0,588.0,2.0,5.0,307.0,15.0,2.0,5.0,1.0,0.371122,23.0,375.0,46.0,34.11,513418,217.0,232.0,5.0,113236.08,1.0,54.0,1.0,0.0,3.0,1.0,20.0,0.0,46.0,324.0,8.0,19.0,62.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,47.0,13.0,4.0,3.0,35.0,398.0,5.0,10.0,34.0,187.0,10.0,51.0,15.0,,5.0,13.0,0.0,3.0,13.0,,1.0,,3.0,0.8847,,2.0,8.0,,2.0,4.0,1.0,4.0,1.0,3.0,8.0,2.0,,,9.0,4.0,,,,1.0,2.0,,2.0,20.0,,,2.0,17.0,2.0,,,5.0,2.0,5.0,7.0,1.0,10.0,6.0,,6.0,4.0,,10.0,2.0,,1.0,,1.0,2.0,3.0,1.0,,3.0,10.0,12.0,2.0,1.0,2.0,3.0,4.0,,4.0,5.0,0.6027,,10.0,10.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,3.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561946,2025-09-27 12:30:00,"Gtech Community Stadium, Brentford",17193.0,Home,Brentford,Manchester United,3,1,W,2.0,1.0,0,0,0.0,41.0,1.0,0.0,21.0,24.0,5.0,2.0,132.0,0.0,3.0,88.0,143.0,52.0,19.0,14.0,8.0,0.0,24.0,31.0,2.4251,145.0,1.0,0.0,99.0,14.0,0.0,3.0,0.0,49.0,69.0,59.0,10.0,1.0,0.0,1.0,143.0,9.0,1.0,80.0,554.0,8.0,7.0,262.0,16.0,9.0,12.0,2.0,1.28302,22.0,342.0,61.0,35.67,513418,136.0,157.0,7.0,111083.65,1.0,51.0,0.0,0.0,4.0,3.0,22.0,0.0,50.0,274.0,2.0,25.0,67.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,44.2,14.0,2.0,4.0,33.0,359.0,7.0,8.0,29.0,216.0,22.0,61.0,18.0,1.0,12.0,14.0,0.0,1.0,14.0,1.0,2.0,2.0,,3.0263,3.0,5.0,7.0,2.0,7.0,6.0,5.0,8.0,1.0,8.0,10.0,5.0,,,4.0,10.0,1.0,,,5.0,7.0,1.0,,18.0,3.0,1.0,5.0,23.0,2.0,,,4.0,1.0,4.0,4.0,1.0,15.0,9.0,,5.0,7.0,,10.0,1.0,2.0,1.0,3.0,4.0,5.0,2.0,,,1.0,4.0,14.0,1.0,2.0,,3.0,8.0,2.0,6.0,5.0,2.0213,,15.0,4.0,2.0,3.0,,,,4.0,2.0,5.0,1.0,4.0,,1.0,2.0,2.0,2.0,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,,4.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2561958,2025-10-05 16:30:00,"Gtech Community Stadium, Brentford",17140.0,Home,Brentford,Manchester City,0,1,L,0.0,1.0,0,0,0.0,42.0,0.0,0.0,17.0,14.0,3.0,0.0,99.0,0.0,0.0,74.0,110.0,31.0,17.0,14.0,10.0,0.0,14.0,25.0,0.6512,92.0,0.0,0.0,71.0,10.0,0.0,1.0,0.0,28.0,41.0,63.0,12.0,0.0,0.0,6.0,110.0,6.0,0.0,75.0,466.0,5.0,11.0,239.0,9.0,6.0,7.0,3.0,0.205601,16.0,298.0,44.0,33.79,502500,159.0,180.0,4.0,112931.13,0.0,51.0,0.0,0.0,9.0,0.0,11.0,0.0,45.0,249.0,10.0,22.0,39.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,30.0,7.0,5.0,9.0,19.0,311.0,11.0,7.0,19.0,145.0,8.0,42.0,19.0,1.0,7.0,16.0,0.0,1.0,9.0,1.0,,1.0,1.0,0.232,2.0,1.0,4.0,1.0,2.0,2.0,,4.0,,1.0,6.0,1.0,,,2.0,3.0,1.0,,,,1.0,1.0,,12.0,2.0,1.0,4.0,8.0,,,,3.0,3.0,3.0,6.0,,8.0,3.0,,4.0,2.0,1.0,5.0,,,,,1.0,2.0,1.0,1.0,,2.0,3.0,11.0,3.0,,2.0,4.0,3.0,,3.0,5.0,0.6952,,8.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,2561974,2025-10-20 20:00:00,"London Stadium, London",62452.0,Away,Brentford,West Ham United,2,0,W,1.0,0.0,0,0,0.0,44.0,0.0,1.0,23.0,26.0,1.0,0.0,165.0,0.0,2.0,112.0,132.0,62.0,15.0,24.0,8.0,0.0,26.0,29.0,0.2026,154.0,0.0,0.0,121.0,10.0,0.0,1.0,0.0,52.0,52.0,63.0,16.0,0.0,0.0,4.0,132.0,2.0,1.0,111.0,654.0,11.0,7.0,352.0,19.0,6.0,14.0,1.0,1.7682,23.0,429.0,52.0,35.28,513418,231.0,246.0,3.0,113095.79,2.0,43.0,0.0,0.0,5.0,2.0,16.0,0.0,48.0,372.0,2.0,22.0,60.0,1.0,0.0,0.0,0.0,6.0,,2.0,0.0,0.0,56.3,17.0,3.0,5.0,33.0,451.0,7.0,4.0,48.0,229.0,36.0,81.0,17.0,2.0,14.0,11.0,0.0,0.0,18.0,2.0,1.0,1.0,4.0,1.7499,2.0,5.0,20.0,2.0,13.0,6.0,2.0,20.0,2.0,7.0,22.0,5.0,,,8.0,13.0,1.0,,,3.0,10.0,1.0,1.0,16.0,2.0,1.0,13.0,42.0,3.0,1.0,,3.0,10.0,13.0,9.0,3.0,10.0,8.0,,5.0,6.0,1.0,10.0,5.0,4.0,,1.0,3.0,9.0,10.0,5.0,1.0,5.0,10.0,16.0,10.0,4.0,7.0,6.0,13.0,1.0,14.0,3.0,2.3733,,10.0,10.0,3.0,1.0,4.0,,1.0,3.0,2.0,4.0,1.0,4.0,,2.0,2.0,3.0,2.0,,,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,
9,2561978,2025-10-25 20:00:00,"Gtech Community Stadium, Brentford",17214.0,Home,Brentford,Liverpool,3,2,W,2.0,1.0,0,0,0.0,58.0,0.0,0.0,22.0,35.0,3.0,1.0,132.0,3.0,3.0,56.0,148.0,59.0,26.0,19.0,9.0,0.0,35.0,25.0,2.0593,109.0,0.0,0.0,109.0,7.0,0.0,1.0,2.0,46.0,39.0,50.0,15.0,0.0,0.0,4.0,148.0,12.0,0.0,50.0,514.0,10.0,14.0,186.0,21.0,6.0,17.0,3.0,1.08898,23.0,265.0,50.0,35.14,513418,98.0,116.0,4.0,120226.54,2.0,63.0,0.0,0.0,5.0,1.0,13.0,1.0,64.0,201.0,9.0,34.0,55.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,33.7,13.0,4.0,5.0,21.0,288.0,14.0,8.0,34.0,191.0,27.0,61.0,23.0,,17.0,15.0,0.0,2.0,20.0,,3.0,2.0,2.0,2.4917,5.0,5.0,12.0,2.0,6.0,7.0,1.0,11.0,,8.0,17.0,3.0,1.0,2.0,4.0,8.0,1.0,1.0,1.0,,7.0,1.0,1.0,7.0,5.0,3.0,10.0,34.0,1.0,,1.0,6.0,4.0,8.0,11.0,1.0,2.0,7.0,,6.0,5.0,3.0,10.0,,,,2.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,14.0,7.0,1.0,4.0,7.0,7.0,1.0,12.0,5.0,2.7526,1.0,2.0,5.0,1.0,2.0,2.0,2.0,,2.0,,5.0,1.0,4.0,,3.0,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,2.0,,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10,2561987,2025-11-01 15:00:00,"Selhurst Park, London",25083.0,Away,Brentford,Crystal Palace,0,2,L,0.0,1.0,0,0,0.0,60.0,0.0,0.0,27.0,38.0,2.0,0.0,153.0,0.0,0.0,133.0,147.0,53.0,16.0,17.0,11.0,0.0,38.0,35.0,0.8182,150.0,0.0,0.0,116.0,11.0,0.0,,0.0,58.0,58.0,76.0,12.0,0.0,0.0,4.0,147.0,7.0,0.0,131.0,680.0,7.0,4.0,381.0,22.0,6.0,22.0,3.0,0.454923,19.0,478.0,66.0,33.52,513418,243.0,273.0,5.0,107213.1,0.0,42.0,1.0,0.0,8.0,0.0,9.0,0.0,68.0,392.0,2.0,24.0,73.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,64.3,16.0,3.0,8.0,32.0,493.0,4.0,6.0,32.0,237.0,25.0,64.0,24.0,1.0,22.0,16.0,0.0,2.0,13.0,1.0,,1.0,,0.7742,4.0,2.0,2.0,1.0,1.0,6.0,2.0,3.0,,2.0,6.0,1.0,,1.0,5.0,9.0,,,,,3.0,1.0,,10.0,4.0,1.0,3.0,16.0,1.0,,,4.0,,1.0,8.0,,3.0,5.0,,4.0,4.0,1.0,6.0,,1.0,,1.0,2.0,,1.0,,,2.0,5.0,14.0,2.0,1.0,1.0,3.0,7.0,,3.0,5.0,0.5368,,3.0,5.0,1.0,,1.0,,,1.0,3.0,1.0,,1.0,,,3.0,1.0,3.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,0.1681,1.0,,,,,,,,,,
