team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
94,Brentford,6,True,1,Man Utd,3,1,3,True
1,Man Utd,6,False,94,Brentford,1,3,3,True
8,Chelsea,6,True,36,Brighton,1,3,3,True
36,Brighton,6,False,8,Chelsea,3,1,3,True
31,Crystal Palace,6,True,14,Liverpool,2,1,3,True
14,Liverpool,6,False,31,Crystal Palace,1,2,3,True
2,Leeds,6,True,91,Bournemouth,2,2,3,True
91,Bournemouth,6,False,2,Leeds,2,2,3,True
43,Man City,6,True,90,Burnley,5,1,1,True
90,Burnley,6,False,43,Man City,1,5,5,True
17,Nott'm Forest,6,True,56,Sunderland,0,1,2,True
56,Sunderland,6,False,17,Nott'm Forest,1,0,3,True
6,Spurs,6,True,39,Wolves,1,1,1,True
39,Wolves,6,False,6,Spurs,1,1,3,True
7,Aston Villa,6,True,54,Fulham,3,1,3,True
54,Fulham,6,False,7,Aston Villa,1,3,4,True
4,Newcastle,6,True,3,Arsenal,1,2,4,True
3,Arsenal,6,False,4,Newcastle,2,1,3,True
11,Everton,6,True,21,West Ham,1,1,2,True
21,West Ham,6,False,11,Everton,1,1,3,True
