element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_code,first_name,second_name
1,252,5,2,False,2026-02-12T20:00:00Z,1,1,26,False,90,0,0,0,1,0,0,0,0,0,2,0,13,20.0,0.0,0.0,2.0,2,11,0,0,1,0.00,0.00,0.00,1.51,59,194830,4576749,245385,50555,154561,David,Raya Martín
1,310,20,1,False,2026-02-18T20:00:00Z,2,2,26,False,90,0,0,0,2,0,0,0,0,0,0,0,-3,0.0,0.0,0.0,0.0,1,6,0,0,1,0.00,0.00,0.00,0.29,59,194830,4576749,245385,50555,154561,David,Raya Martín
2,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,41,-712,49233,306,1018,109745,Kepa,Arrizabalaga Revuelta
2,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,41,-712,49233,306,1018,109745,Kepa,Arrizabalaga Revuelta
3,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-413,26486,0,413,463748,Karl,Hein
3,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-413,26486,0,413,463748,Karl,Hein
4,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-1341,28452,183,1524,551221,Tommy,Setford
4,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-1341,28452,183,1524,551221,Tommy,Setford
5,252,5,3,False,2026-02-12T20:00:00Z,1,1,26,False,90,0,0,0,1,0,0,0,1,0,0,0,14,43.0,6.4,8.0,5.7,14,4,4,18,1,0.12,0.03,0.15,1.51,71,262848,5593857,289752,26904,226597,Gabriel,dos Santos Magalhães
5,310,20,4,False,2026-02-18T20:00:00Z,2,2,26,False,90,0,1,0,2,0,0,0,0,0,0,0,21,32.8,15.0,0.0,4.8,6,5,0,6,1,0.00,0.14,0.14,0.29,71,262848,5593857,289752,26904,226597,Gabriel,dos Santos Magalhães
6,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,61,164047,1872059,188142,24095,462424,William,Saliba
6,310,20,1,False,2026-02-18T20:00:00Z,2,2,26,False,90,0,0,0,2,0,0,0,0,0,0,0,7,18.0,2.7,0.0,2.1,5,5,3,8,1,0.00,0.01,0.01,0.29,61,164047,1872059,188142,24095,462424,William,Saliba
7,252,5,1,False,2026-02-12T20:00:00Z,1,1,26,False,9,0,0,0,0,0,0,0,0,0,0,0,2,1.4,1.3,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.33,56,53825,849400,61848,8023,466075,Riccardo,Calafiori
7,310,20,1,False,2026-02-18T20:00:00Z,2,2,26,False,1,0,0,0,1,0,0,0,0,0,0,0,-1,0.2,0.3,0.0,0.1,0,0,0,0,0,0.00,0.01,0.01,0.17,56,53825,849400,61848,8023,466075,Riccardo,Calafiori
8,252,5,2,False,2026-02-12T20:00:00Z,1,1,26,False,90,0,0,0,1,0,0,0,0,0,0,0,15,13.0,21.8,4.0,3.9,2,4,1,3,1,0.00,0.10,0.10,1.51,64,253679,4060996,321351,67672,445122,Jurriën,Timber
8,310,20,1,False,2026-02-18T20:00:00Z,2,2,26,False,90,0,0,0,2,0,0,0,0,0,0,0,9,13.2,8.1,6.0,2.7,2,6,2,4,1,0.00,0.03,0.03,0.29,64,253679,4060996,321351,67672,445122,Jurriën,Timber
9,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-13,6181,0,13,440854,Jakub,Kiwior
9,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-13,6181,0,13,440854,Jakub,Kiwior
10,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-2066,184790,1048,3114,499169,Myles,Lewis-Skelly
10,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-2066,184790,1048,3114,499169,Myles,Lewis-Skelly
11,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-4724,67480,1897,6621,198869,Benjamin,White
11,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-4724,67480,1897,6621,198869,Benjamin,White
13,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,38,-1604,54488,259,1863,563324,Brayden,Clarke
13,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,38,-1604,54488,259,1863,563324,Brayden,Clarke
