team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
21,West Ham,2,True,8,Chelsea,1,5,3,True
8,Chelsea,2,False,21,West Ham,5,1,3,True
43,Man City,2,True,6,Spurs,0,2,3,True
6,Spurs,2,False,43,Man City,2,0,5,True
91,Bournemouth,2,True,39,Wolves,1,0,1,True
39,Wolves,2,False,91,Bournemouth,0,1,4,True
94,Brentford,2,True,7,Aston Villa,1,0,3,True
7,Aston Villa,2,False,94,Brentford,0,1,3,True
90,Burnley,2,True,56,Sunderland,2,0,2,True
56,Sunderland,2,False,90,Burnley,0,2,2,True
3,Arsenal,2,True,2,Leeds,5,0,2,True
2,Leeds,2,False,3,Arsenal,0,5,5,True
31,Crystal Palace,2,True,17,Nott'm Forest,1,1,3,True
17,Nott'm Forest,2,False,31,Crystal Palace,1,1,3,True
11,Everton,2,True,36,Brighton,2,0,3,True
36,Brighton,2,False,11,Everton,0,2,3,True
54,Fulham,2,True,1,Man Utd,1,1,3,True
1,Man Utd,2,False,54,Fulham,1,1,3,True
4,Newcastle,2,True,14,Liverpool,2,3,3,True
14,Liverpool,2,False,4,Newcastle,3,2,3,True
