element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
109,GKP,489639,Bart,Verbruggen,2645201,6,False,90,0,0,1,0,0,0,0,0,0,0,0,25,6.6,0.0,0.0,0.7,0,4,0,0,1,0.00,0.00,0.00,0.29,45,0,1987586,0,0,36
109,GKP,489639,Bart,Verbruggen,2645207,0,False,90,0,0,0,4,0,0,0,0,0,1,0,-1,10.2,0.0,0.0,1.0,0,14,0,0,1,0.00,0.00,0.00,2.93,45,39276,2133814,84756,45480,36
109,GKP,489639,Bart,Verbruggen,2645217,3,False,90,0,0,0,1,0,0,0,0,0,3,0,17,29.2,3.0,0.0,3.2,0,5,0,0,1,0.00,0.20,0.20,2.49,45,114050,2293721,270948,156898,36
109,GKP,489639,Bart,Verbruggen,2645228,8,False,90,0,0,1,0,0,0,0,0,0,6,0,39,47.8,0.0,0.0,4.8,3,7,0,0,1,0.00,0.00,0.00,1.33,45,51727,2390519,248699,196972,36
109,GKP,489639,Bart,Verbruggen,2645237,6,False,90,0,0,1,0,0,0,0,0,0,2,0,27,20.0,0.0,0.0,2.0,0,4,0,0,1,0.00,0.00,0.00,1.63,45,-47432,2292499,89072,136504,36
111,GKP,49262,Jason,Steele,2645201,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,369830,0,0,36
111,GKP,49262,Jason,Steele,2645207,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-3330,398691,10714,14044,36
111,GKP,49262,Jason,Steele,2645217,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,27834,459848,62093,34259,36
111,GKP,49262,Jason,Steele,2645228,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,10916,460442,46956,36040,36
111,GKP,49262,Jason,Steele,2645237,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-988,463243,20424,21412,36
