element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
167,FWD,463034,Liam,Delap,2645204,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,40156,0,0,17
167,FWD,463034,Liam,Delap,2645211,1,False,24,0,0,0,1,0,0,0,0,0,0,0,9,4.0,10.1,7.0,2.1,0,0,0,0,0,0.07,0.00,0.07,0.33,55,175,48067,7740,7565,17
167,FWD,463034,Liam,Delap,2645224,2,False,73,0,0,1,0,0,0,0,0,0,0,0,6,2.4,20.8,5.0,2.8,2,3,0,5,1,0.06,0.06,0.12,0.89,55,24969,83350,36946,11977,17
167,FWD,463034,Liam,Delap,2645226,5,False,90,1,0,0,1,0,0,0,1,0,0,0,25,28.6,12.6,38.0,7.9,1,2,1,4,1,0.63,0.08,0.71,0.73,55,7672,93051,20097,12425,17
167,FWD,463034,Liam,Delap,2645243,1,False,90,0,0,0,1,0,0,0,1,0,0,0,9,5.0,25.1,21.0,5.1,2,5,1,8,1,0.13,0.21,0.34,0.67,55,200788,344489,222393,21605,17
201,DEF,247348,Daniel,Muñoz Mejía,2645197,0,False,54,0,0,0,2,0,0,0,0,0,0,0,-4,1.2,1.8,21.0,2.4,3,1,1,4,1,0.23,0.01,0.24,0.84,55,0,873015,0,0,17
201,DEF,247348,Daniel,Muñoz Mejía,2645209,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-109781,815530,15645,125426,17
201,DEF,247348,Daniel,Muñoz Mejía,2645224,1,False,31,0,0,0,0,0,0,0,0,0,0,0,5,2.4,0.8,4.0,0.7,0,0,1,1,0,0.03,0.00,0.03,0.26,54,-158458,658550,23260,181718,17
201,DEF,247348,Daniel,Muñoz Mejía,2645226,2,False,90,0,0,0,1,0,0,0,0,0,0,0,23,31.6,55.9,39.0,12.7,3,4,4,7,1,0.22,0.18,0.40,0.82,54,-83474,588016,11222,94696,17
201,DEF,247348,Daniel,Muñoz Mejía,2645243,2,False,82,0,0,0,1,0,0,0,0,0,0,0,5,4.0,3.8,15.0,2.3,2,3,1,3,1,0.12,0.02,0.14,0.67,54,48095,706118,100431,52336,17
467,GKP,85633,Matz,Sels,2645200,2,False,90,0,0,0,1,0,0,0,0,0,2,0,11,14.2,0.0,0.0,1.4,0,9,0,0,1,0.00,0.00,0.00,0.47,50,0,140711,0,0,17
467,GKP,85633,Matz,Sels,2645211,1,False,90,0,0,0,2,0,0,0,0,0,2,0,6,16.6,0.0,0.0,1.7,3,6,0,0,1,0.00,0.01,0.01,1.75,50,-8396,148147,3350,11746,17
467,GKP,85633,Matz,Sels,2645224,6,False,90,0,0,1,0,0,0,0,0,0,0,0,21,2.4,0.0,0.0,0.2,1,11,0,0,1,0.00,0.00,0.00,1.06,50,-9819,143042,8404,18223,17
467,GKP,85633,Matz,Sels,2645226,3,False,90,0,0,0,1,0,0,0,0,0,5,0,19,35.0,0.0,0.0,3.5,2,11,0,0,1,0.00,0.00,0.00,0.82,50,2211,147158,15113,12902,17
467,GKP,85633,Matz,Sels,2645243,2,False,90,0,0,0,1,0,0,0,0,0,2,0,10,13.8,0.0,0.0,1.4,0,9,0,0,1,0.00,0.00,0.00,0.67,50,26195,207232,39386,13191,17
468,GKP,221389,John Victor,Maciel Furtado,2645200,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,5970,0,0,17
468,GKP,221389,John Victor,Maciel Furtado,2645211,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-288,6338,178,466,17
468,GKP,221389,John Victor,Maciel Furtado,2645224,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-392,6270,259,651,17
468,GKP,221389,John Victor,Maciel Furtado,2645226,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-238,6251,173,411,17
468,GKP,221389,John Victor,Maciel Furtado,2645243,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-135,6278,197,332,17
469,DEF,215136,Neco,Williams,2645200,2,False,90,0,0,0,1,0,0,0,0,0,0,0,13,15.2,5.8,6.0,2.7,3,10,3,6,1,0.00,0.02,0.02,0.47,50,0,924685,0,0,17
469,DEF,215136,Neco,Williams,2645211,6,False,90,0,1,0,2,0,0,0,0,0,0,0,16,34.4,25.3,6.0,6.6,6,1,6,12,1,0.12,0.15,0.27,1.75,50,-67984,880209,14150,82134,17
469,DEF,215136,Neco,Williams,2645224,7,False,90,0,0,1,0,0,0,0,0,0,0,1,28,11.4,10.9,4.0,2.6,3,8,3,6,1,0.00,0.07,0.07,1.06,50,-35180,851007,53518,88698,17
469,DEF,215136,Neco,Williams,2645226,2,False,90,0,0,0,1,0,0,0,0,0,0,0,9,8.8,19.9,10.0,3.9,2,1,1,3,1,0.20,0.16,0.36,0.82,50,7392,864022,91886,84494,17
469,DEF,215136,Neco,Williams,2645243,2,False,90,0,0,0,1,0,0,0,0,0,0,0,19,20.6,61.8,16.0,9.8,1,8,1,2,1,0.09,0.21,0.30,0.67,50,105000,1063643,154932,49932,17
470,DEF,485047,Felipe,Rodrigues da Silva,2645200,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,4345,0,0,17
470,DEF,485047,Felipe,Rodrigues da Silva,2645211,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-437,4633,230,667,17
470,DEF,485047,Felipe,Rodrigues da Silva,2645224,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1172,3599,194,1366,17
470,DEF,485047,Felipe,Rodrigues da Silva,2645226,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1122,2529,0,1122,17
470,DEF,485047,Felipe,Rodrigues da Silva,2645243,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-425,2127,0,425,17
471,DEF,227444,Nikola,Milenković,2645200,2,False,90,0,0,0,1,0,0,0,0,0,0,0,4,7.6,0.6,14.0,2.2,7,6,0,7,1,0.11,0.02,0.13,0.47,55,0,173511,0,0,17
471,DEF,227444,Nikola,Milenković,2645211,3,False,90,0,0,0,2,0,0,0,0,0,0,0,3,17.0,0.0,0.0,1.7,10,3,3,13,1,0.00,0.00,0.00,1.75,55,-14450,176049,2591,17041,17
471,DEF,227444,Nikola,Milenković,2645224,7,False,90,0,0,1,0,0,0,0,1,0,0,0,27,28.6,0.8,2.0,3.1,9,3,2,11,1,0.00,0.01,0.01,1.06,55,-12221,168090,5627,17848,17
471,DEF,227444,Nikola,Milenković,2645226,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-346,171183,9458,9804,17
471,DEF,227444,Nikola,Milenković,2645243,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-50208,119506,256,50464,17
472,DEF,575476,Murillo,Costa dos Santos,2645200,4,False,90,0,0,0,1,0,0,0,0,0,0,0,15,32.2,25.9,0.0,5.8,12,3,2,14,1,0.00,0.28,0.28,0.47,55,0,134909,0,0,17
472,DEF,575476,Murillo,Costa dos Santos,2645211,1,False,90,0,0,0,2,0,0,0,0,0,0,0,2,11.2,0.3,8.0,2.0,6,3,0,6,1,0.18,0.00,0.18,1.75,55,-3257,162661,8580,11837,17
472,DEF,575476,Murillo,Costa dos Santos,2645224,8,False,89,0,0,1,0,0,0,0,0,0,0,0,25,17.8,1.2,10.0,2.9,6,4,4,10,1,0.17,0.00,0.17,1.06,55,-10492,160118,9660,20152,17
472,DEF,575476,Murillo,Costa dos Santos,2645226,6,False,90,0,1,0,1,0,0,0,1,0,0,0,18,33.0,10.9,0.0,4.4,10,6,2,12,1,0.00,0.01,0.01,0.82,55,5868,172739,15727,9859,17
472,DEF,575476,Murillo,Costa dos Santos,2645243,4,False,90,0,0,0,1,0,0,0,0,0,0,0,16,30.0,24.3,9.0,6.3,10,2,1,11,1,0.07,0.08,0.15,0.67,55,50117,260474,61530,11413,17
473,DEF,159506,Ola,Aina,2645200,5,False,73,0,0,1,0,0,0,0,1,0,0,0,24,16.0,35.6,11.0,6.3,2,4,0,2,1,0.04,0.17,0.21,0.34,45,0,328883,0,0,17
473,DEF,159506,Ola,Aina,2645211,0,False,85,0,0,0,2,0,0,0,1,0,0,0,2,11.8,15.5,4.0,3.1,3,4,2,5,1,0.00,0.35,0.35,1.75,45,-5067,345943,17770,22837,17
