team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
3,Arsenal,1,False,1,Man Utd,1,0,4,True
7,Aston Villa,1,True,4,Newcastle,0,0,3,True
91,Bournemouth,1,False,14,Liverpool,2,4,4,True
94,Brentford,1,False,17,Nott'm Forest,1,3,3,True
36,Brighton,1,True,54,Fulham,1,1,3,True
90,Burnley,1,False,6,Spurs,0,3,3,True
8,Chelsea,1,True,31,Crystal Palace,0,0,3,True
31,Crystal Palace,1,False,8,Chelsea,0,0,3,True
11,Everton,1,False,2,Leeds,0,1,3,True
54,Fulham,1,False,36,Brighton,1,1,4,True
2,Leeds,1,True,11,Everton,1,0,3,True
14,Liverpool,1,True,91,Bournemouth,4,2,3,True
43,Man City,1,False,39,Wolves,4,0,2,True
1,Man Utd,1,True,3,Arsenal,0,1,4,True
4,Newcastle,1,False,7,Aston Villa,0,0,4,True
17,Nott'm Forest,1,True,94,Brentford,3,1,3,True
6,Spurs,1,True,90,Burnley,3,0,1,True
56,Sunderland,1,True,21,West Ham,3,0,2,True
21,West Ham,1,False,56,Sunderland,0,3,3,True
39,Wolves,1,True,43,Man City,0,4,4,True
3,Arsenal,2,True,2,Leeds,5,0,2,True
7,Aston Villa,2,False,94,Brentford,0,1,3,True
91,Bournemouth,2,True,39,Wolves,1,0,1,True
94,Brentford,2,True,7,Aston Villa,1,0,3,True
36,Brighton,2,False,11,Everton,0,2,3,True
90,Burnley,2,True,56,Sunderland,2,0,2,True
8,Chelsea,2,False,21,West Ham,5,1,3,True
31,Crystal Palace,2,True,17,Nott'm Forest,1,1,3,True
11,Everton,2,True,36,Brighton,2,0,3,True
54,Fulham,2,True,1,Man Utd,1,1,3,True
2,Leeds,2,False,3,Arsenal,0,5,5,True
14,Liverpool,2,False,4,Newcastle,3,2,3,True
43,Man City,2,True,6,Spurs,0,2,3,True
1,Man Utd,2,False,54,Fulham,1,1,3,True
4,Newcastle,2,True,14,Liverpool,2,3,3,True
17,Nott'm Forest,2,False,31,Crystal Palace,1,1,3,True
6,Spurs,2,False,43,Man City,2,0,5,True
56,Sunderland,2,False,90,Burnley,0,2,2,True
21,West Ham,2,True,8,Chelsea,1,5,3,True
39,Wolves,2,False,91,Bournemouth,0,1,4,True
3,Arsenal,3,False,14,Liverpool,0,1,4,True
7,Aston Villa,3,True,31,Crystal Palace,0,3,3,True
91,Bournemouth,3,False,6,Spurs,1,0,3,True
94,Brentford,3,False,56,Sunderland,1,2,3,True
36,Brighton,3,True,43,Man City,2,1,4,True
90,Burnley,3,False,1,Man Utd,2,3,4,True
8,Chelsea,3,True,54,Fulham,2,0,3,True
31,Crystal Palace,3,False,7,Aston Villa,3,0,4,True
11,Everton,3,False,39,Wolves,3,2,2,True
54,Fulham,3,False,8,Chelsea,0,2,3,True
2,Leeds,3,True,4,Newcastle,0,0,3,True
14,Liverpool,3,True,3,Arsenal,1,0,4,True
43,Man City,3,False,36,Brighton,1,2,4,True
1,Man Utd,3,True,90,Burnley,3,2,1,True
4,Newcastle,3,False,2,Leeds,0,0,3,True
17,Nott'm Forest,3,True,21,West Ham,0,3,2,True
6,Spurs,3,True,91,Bournemouth,0,1,3,True
56,Sunderland,3,True,94,Brentford,2,1,3,True
21,West Ham,3,False,17,Nott'm Forest,3,0,3,True
39,Wolves,3,True,11,Everton,2,3,3,True
3,Arsenal,4,True,17,Nott'm Forest,3,0,3,True
7,Aston Villa,4,False,11,Everton,0,0,3,True
91,Bournemouth,4,True,36,Brighton,2,1,3,True
94,Brentford,4,True,8,Chelsea,2,2,3,True
36,Brighton,4,False,91,Bournemouth,1,2,4,True
90,Burnley,4,True,14,Liverpool,0,1,3,True
8,Chelsea,4,False,94,Brentford,2,2,3,True
31,Crystal Palace,4,True,56,Sunderland,0,0,2,True
11,Everton,4,True,7,Aston Villa,0,0,3,True
54,Fulham,4,True,2,Leeds,1,0,2,True
2,Leeds,4,False,54,Fulham,0,1,3,True
14,Liverpool,4,False,90,Burnley,1,0,2,True
43,Man City,4,True,1,Man Utd,3,0,3,True
1,Man Utd,4,False,43,Man City,0,3,5,True
4,Newcastle,4,True,39,Wolves,1,0,1,True
17,Nott'm Forest,4,False,3,Arsenal,0,3,5,True
6,Spurs,4,False,21,West Ham,3,0,3,True
56,Sunderland,4,False,31,Crystal Palace,0,0,3,True
21,West Ham,4,True,6,Spurs,0,3,3,True
39,Wolves,4,False,4,Newcastle,0,1,3,True
3,Arsenal,5,True,43,Man City,1,1,4,True
7,Aston Villa,5,False,56,Sunderland,1,1,3,True
91,Bournemouth,5,True,4,Newcastle,0,0,3,True
94,Brentford,5,False,54,Fulham,1,3,3,True
36,Brighton,5,True,6,Spurs,2,2,3,True
90,Burnley,5,True,17,Nott'm Forest,1,1,3,True
8,Chelsea,5,False,1,Man Utd,1,2,4,True
31,Crystal Palace,5,False,21,West Ham,2,1,3,True
11,Everton,5,False,14,Liverpool,1,2,4,True
54,Fulham,5,True,94,Brentford,3,1,3,True
2,Leeds,5,False,39,Wolves,3,1,2,True
14,Liverpool,5,True,11,Everton,2,1,3,True
43,Man City,5,False,3,Arsenal,1,1,5,True
1,Man Utd,5,True,8,Chelsea,2,1,3,True
4,Newcastle,5,False,91,Bournemouth,0,0,4,True
17,Nott'm Forest,5,False,90,Burnley,1,1,2,True
6,Spurs,5,False,36,Brighton,2,2,4,True
56,Sunderland,5,True,7,Aston Villa,1,1,3,True
21,West Ham,5,True,31,Crystal Palace,1,2,3,True
39,Wolves,5,True,2,Leeds,1,3,2,True
3,Arsenal,6,False,4,Newcastle,2,1,3,True
7,Aston Villa,6,True,54,Fulham,3,1,3,True
91,Bournemouth,6,False,2,Leeds,2,2,3,True
94,Brentford,6,True,1,Man Utd,3,1,3,True
36,Brighton,6,False,8,Chelsea,3,1,3,True
90,Burnley,6,False,43,Man City,1,5,5,True
8,Chelsea,6,True,36,Brighton,1,3,3,True
