fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round
9,14,False,2025-08-17T15:30:00Z,0,1,1
11,11,True,2025-08-23T16:30:00Z,5,0,2
25,12,False,2025-08-31T15:30:00Z,1,0,3
33,7,True,2025-09-13T19:00:00Z,2,2,4
45,10,False,2025-09-20T19:00:00Z,3,1,5
52,14,True,2025-09-27T11:30:00Z,3,1,6
64,13,True,2025-10-05T15:30:00Z,0,1,7
80,19,False,2025-10-20T19:00:00Z,0,2,8
84,12,True,2025-10-25T19:00:00Z,3,2,9
93,8,False,2025-11-01T15:00:00Z,2,0,10
102,15,True,2025-11-09T14:00:00Z,3,1,11
113,6,False,2025-11-22T15:00:00Z,2,1,12
122,3,True,2025-11-29T15:00:00Z,3,1,13
131,1,False,2025-12-03T19:30:00Z,2,0,14
149,18,False,2025-12-06T15:00:00Z,2,0,15
152,11,True,2025-12-14T16:30:00Z,1,1,16
170,20,False,2025-12-20T15:00:00Z,0,2,17
172,4,True,2025-12-27T15:00:00Z,4,1,18
182,18,True,2026-01-01T20:00:00Z,0,0,19
194,9,False,2026-01-04T15:00:00Z,2,4,20
203,17,True,2026-01-07T19:30:00Z,3,0,21
213,7,False,2026-01-17T15:00:00Z,2,0,22
223,16,True,2026-01-25T14:00:00Z,0,2,23
231,2,False,2026-02-01T14:00:00Z,0,1,24
249,15,False,2026-02-07T17:30:00Z,2,3,25
252,1,True,2026-02-12T20:00:00Z,1,1,26
262,6,True,2026-02-21T15:00:00Z,0,2,27
274,3,False,2026-02-28T15:00:00Z,3,4,28
282,4,False,2026-03-03T19:30:00Z,0,0,29
292,20,True,2026-03-16T20:00:00Z,2,2,30
306,11,False,2026-03-21T20:00:00Z,0,0,31
312,9,True,2026-04-11T14:00:00Z,2,2,32
322,10,True,2026-04-18T11:30:00Z,0,0,33
337,14,False,2026-04-27T19:00:00Z,2,1,34
344,19,True,2026-05-02T14:00:00Z,3,0,35
356,13,False,2026-05-09T16:30:00Z,3,0,36
364,8,True,2026-05-17T14:00:00Z,2,2,37
375,12,False,2026-05-24T15:00:00Z,1,1,38
