gw,is_home,opponent_name,opponent_code,difficulty,finished
1,True,Fulham,54,3,True
2,False,Everton,11,3,True
3,True,Man City,43,4,True
4,False,Bournemouth,91,4,True
5,True,Spurs,6,3,True
6,False,Chelsea,8,3,True
7,False,Wolves,39,2,True
8,True,Newcastle,4,3,True
9,False,Man Utd,1,4,True
10,True,Leeds,2,2,True
11,False,Crystal Palace,31,3,True
12,True,Brentford,94,3,True
13,False,Nott'm Forest,17,3,True
14,True,Aston Villa,7,3,True
15,True,West Ham,21,2,True
16,False,Liverpool,14,4,True
17,True,Sunderland,56,2,True
18,False,Arsenal,3,5,True
19,False,West Ham,21,3,True
20,True,Burnley,90,1,True
21,False,Man City,43,5,True
22,True,Bournemouth,91,3,True
23,False,Fulham,54,3,True
24,True,Everton,11,3,True
25,True,Crystal Palace,31,3,True
26,False,Aston Villa,7,4,True
27,False,Brentford,94,3,True
28,True,Nott'm Forest,17,3,True
29,True,Arsenal,3,4,True
30,False,Sunderland,56,3,True
31,True,Liverpool,14,3,True
32,False,Burnley,90,2,True
33,False,Spurs,6,3,True
33,True,Chelsea,8,3,True
35,False,Newcastle,4,3,True
36,True,Wolves,39,1,True
37,False,Leeds,2,3,True
38,True,Man Utd,1,3,True
