fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round
7,13,True,2025-08-16T16:30:00Z,0,4,1
12,4,False,2025-08-23T14:00:00Z,1,0,2
30,9,True,2025-08-30T14:00:00Z,2,3,3
39,15,False,2025-09-13T14:00:00Z,1,0,4
50,11,True,2025-09-20T14:00:00Z,1,3,5
60,18,False,2025-09-27T19:00:00Z,1,1,6
70,6,True,2025-10-05T13:00:00Z,1,1,7
78,17,False,2025-10-18T14:00:00Z,2,0,8
90,3,True,2025-10-26T14:00:00Z,2,3,9
94,10,False,2025-11-01T15:00:00Z,3,0,10
103,7,False,2025-11-08T20:00:00Z,3,0,11
120,8,True,2025-11-22T15:00:00Z,0,2,12
121,2,False,2025-11-30T14:05:00Z,1,0,13
140,16,True,2025-12-03T19:30:00Z,0,1,14
150,14,True,2025-12-08T20:00:00Z,1,4,15
151,1,False,2025-12-13T20:00:00Z,2,1,16
170,5,True,2025-12-20T15:00:00Z,0,2,17
176,12,False,2025-12-27T15:00:00Z,2,1,18
187,14,False,2025-12-30T20:15:00Z,1,1,19
200,19,True,2026-01-03T15:00:00Z,3,0,20
206,9,False,2026-01-07T19:30:00Z,1,1,21
220,15,True,2026-01-18T14:00:00Z,0,0,22
228,13,False,2026-01-24T15:00:00Z,2,0,23
240,4,True,2026-01-31T15:00:00Z,0,2,24
250,7,True,2026-02-07T15:00:00Z,1,3,25
257,16,False,2026-02-11T19:30:00Z,0,0,26
264,8,False,2026-02-22T14:00:00Z,1,0,27
280,2,True,2026-02-27T20:00:00Z,2,0,28
290,12,True,2026-03-03T20:15:00Z,2,1,29
292,5,False,2026-03-16T20:00:00Z,2,2,30
320,19,False,2026-04-10T19:00:00Z,4,0,32
326,11,False,2026-04-18T14:00:00Z,3,0,33
340,18,True,2026-04-25T14:00:00Z,0,1,34
350,17,True,2026-05-02T14:00:00Z,1,1,35
351,6,False,2026-05-09T14:00:00Z,3,0,36
370,10,True,2026-05-17T14:00:00Z,1,1,37
372,3,False,2026-05-24T15:00:00Z,1,1,38
