matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2444471,1,2024-08-17 15:00:00,"Emirates Stadium, London",60261,Home,Arsenal,Wolves,2,0,W,1,0,0,0,2.0,18.0,6.0,6.0,6.0,,,2.0,1.0,1.0,,,2.0,17.0,12.0,30.0,40.0,420.0,357.0,53.0,50.0,18.0,13.0,8.0,15.0,15.0,5.0,1.0,2.0,,8.0,9.0,110.0,3.0,,,1.0,,58.0,57.0,17.0,13.0,8.0,8.0,2.0,17.0,14.0,0.0,0.0,,,,
2444481,2,2024-08-24 17:30:00,"Villa Park, Birmingham",41587,Away,Arsenal,Aston Villa,2,0,W,0,0,0,0,2.0,9.0,4.0,4.0,1.0,,,2.0,,2.0,,,1.0,7.0,3.0,30.0,48.0,514.0,469.0,60.7,35.0,17.0,9.0,8.0,15.0,15.0,6.0,4.0,1.0,,11.0,13.0,93.0,3.0,,,1.0,,38.0,58.0,7.0,10.0,1.0,1.0,,16.0,8.0,0.0,0.0,,,1.0,
2444490,3,2024-08-31 12:30:00,"Emirates Stadium, London",60326,Home,Arsenal,Brighton,1,1,D,1,0,1,0,1.0,11.0,7.0,2.0,2.0,,,5.0,1.0,4.0,,,1.0,8.0,7.0,14.0,37.0,270.0,200.0,35.8,31.0,17.0,11.0,12.0,20.0,20.0,8.0,8.0,1.0,,10.0,11.0,107.0,3.0,1.0,,,,46.0,58.0,14.0,19.0,3.0,3.0,1.0,12.0,7.0,0.0,0.0,,,3.0,100688.91
2444508,4,2024-09-15 14:00:00,"Tottenham Hotspur Stadium, London",61645,Away,Arsenal,Spurs,1,0,W,0,0,0,0,1.0,7.0,4.0,,3.0,,,2.0,1.0,1.0,,,1.0,6.0,6.0,24.0,37.0,282.0,213.0,36.3,24.0,21.0,12.0,9.0,32.0,32.0,11.0,5.0,1.0,,7.0,12.0,112.0,5.0,,,1.0,,59.0,51.0,15.0,14.0,6.0,6.0,,10.0,12.0,0.0,0.0,,,3.0,107361.27
2444516,5,2024-09-22 16:30:00,"Etihad Stadium, Manchester",52846,Away,Arsenal,Man City,2,2,D,2,1,1,0,2.0,5.0,3.0,2.0,,,,2.0,1.0,2.0,,,2.0,4.0,2.0,10.0,34.0,208.0,148.0,22.8,8.0,16.0,10.0,4.0,37.0,37.0,8.0,13.0,1.0,,10.0,6.0,89.0,9.0,2.0,,,,37.0,46.0,12.0,16.0,2.0,2.0,,10.0,6.0,0.0,0.0,,,1.0,104725.85
2444521,6,2024-09-28 15:00:00,"Emirates Stadium, London",60323,Home,Arsenal,Leicester,4,2,W,2,0,0,0,4.0,35.0,16.0,10.0,9.0,4.95706,5.7093,7.0,3.0,6.0,1.0,2.46778,2.0,25.0,19.0,69.0,62.0,664.0,592.0,74.6,77.0,19.0,12.0,4.0,8.0,8.0,5.0,1.0,,,4.0,14.0,142.0,1.0,2.0,0.2144,,0.0,61.0,54.0,18.0,15.0,17.0,17.0,1.0,11.0,6.0,0.0,0.0,,0.0,,110633.19
2444530,7,2024-10-05 15:00:00,"Emirates Stadium, London",60307,Home,Arsenal,Southampton,3,1,W,0,0,0,0,3.0,29.0,6.0,13.0,10.0,,,4.0,2.0,2.0,1.0,,2.0,22.0,13.0,48.0,61.0,536.0,483.0,58.6,65.0,16.0,12.0,9.0,10.0,10.0,4.0,4.0,,,6.0,10.0,107.0,1.0,1.0,,,,48.0,45.0,9.0,15.0,13.0,13.0,,10.0,9.0,0.0,0.0,,,1.0,112736.29
2444540,8,2024-10-19 17:30:00,"Vitality Stadium, Bournemouth",11235,Away,Arsenal,Bournemouth,0,2,L,0,0,1,0,,6.0,1.0,4.0,1.0,,,1.0,,2.0,,,,3.0,2.0,19.0,49.0,439.0,348.0,51.3,22.0,17.0,10.0,6.0,26.0,26.0,8.0,5.0,3.0,,17.0,10.0,145.0,2.0,2.0,,,,53.0,56.0,17.0,12.0,4.0,4.0,,11.0,12.0,0.0,0.0,,,1.0,
2444550,9,2024-10-27 16:30:00,"Emirates Stadium, London",60383,Home,Arsenal,Liverpool,2,2,D,2,1,0,0,2.0,9.0,3.0,4.0,2.0,,,2.0,2.0,,,,2.0,8.0,4.0,25.0,41.0,383.0,306.0,44.7,33.0,17.0,11.0,7.0,24.0,24.0,8.0,2.0,1.0,,9.0,10.0,129.0,2.0,2.0,,,,55.0,50.0,18.0,11.0,1.0,1.0,2.0,14.0,14.0,0.0,0.0,,,2.0,
2444565,10,2024-11-02 12:30:00,"St. James' Park, Newcastle",52249,Away,Arsenal,Newcastle,0,1,L,0,1,0,0,,10.0,1.0,6.0,3.0,,,1.0,,1.0,,,,9.0,4.0,41.0,58.0,502.0,433.0,63.9,31.0,17.0,10.0,6.0,18.0,18.0,13.0,3.0,,,6.0,13.0,128.0,3.0,1.0,,,,50.0,65.0,14.0,19.0,6.0,6.0,,18.0,16.0,0.0,0.0,,,,
2444572,11,2024-11-10 16:30:00,"Stamford Bridge, London",39780,Away,Arsenal,Chelsea,1,1,D,0,0,0,0,1.0,13.0,3.0,4.0,6.0,,,3.0,1.0,3.0,,,1.0,10.0,6.0,24.0,54.0,425.0,375.0,50.7,19.0,13.0,6.0,6.0,17.0,17.0,6.0,8.0,1.0,,7.0,16.0,103.0,2.0,1.0,,,,43.0,47.0,10.0,9.0,3.0,3.0,,12.0,12.0,0.0,0.0,,,7.0,
2444581,12,2024-11-23 15:00:00,"Emirates Stadium, London",60298,Home,Arsenal,Nott'm Forest,3,0,W,1,0,0,0,3.0,19.0,7.0,7.0,5.0,,,1.0,,1.0,,,3.0,18.0,12.0,41.0,54.0,587.0,536.0,66.1,48.0,15.0,13.0,4.0,14.0,14.0,5.0,1.0,,,4.0,6.0,100.0,,,,1.0,,45.0,44.0,11.0,14.0,8.0,8.0,,10.0,11.0,0.0,0.0,,,4.0,
2444598,13,2024-11-30 17:30:00,"London Stadium, London",62475,Away,Arsenal,West Ham,5,2,W,5,2,0,0,5.0,16.0,7.0,5.0,4.0,,,3.0,5.0,,,,3.0,12.0,8.0,32.0,56.0,479.0,400.0,59.9,32.0,17.0,6.0,6.0,14.0,14.0,1.0,4.0,1.0,,5.0,14.0,133.0,3.0,2.0,,,,42.0,57.0,11.0,17.0,10.0,10.0,1.0,13.0,10.0,0.0,0.0,2.0,2.0,1.0,
2444601,14,2024-12-04 20:15:00,"Emirates Stadium, London",60256,Home,Arsenal,Man Utd,2,0,W,0,0,0,0,2.0,14.0,6.0,3.0,5.0,,,4.0,2.0,3.0,,,2.0,10.0,8.0,31.0,51.0,463.0,403.0,50.3,36.0,15.0,11.0,3.0,8.0,8.0,5.0,,1.0,,8.0,9.0,112.0,2.0,,,1.0,,42.0,48.0,12.0,9.0,13.0,13.0,,12.0,8.0,0.0,0.0,,,2.0,
2444614,15,2024-12-08 14:00:00,"Craven Cottage, London",26954,Away,Arsenal,Fulham,1,1,D,0,1,0,0,1.0,12.0,4.0,8.0,,,,4.0,1.0,3.0,,,1.0,9.0,3.0,45.0,69.0,587.0,522.0,66.2,36.0,9.0,6.0,6.0,11.0,11.0,7.0,,,,5.0,13.0,135.0,1.0,1.0,,,,36.0,47.0,10.0,6.0,6.0,6.0,2.0,9.0,9.0,0.0,0.0,,,3.0,
