gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attRfTarget,attGoalLowCentre,attMissLeft,attGoalHighRight,divingSave,penaltyConceded,attMissHigh,attSvLowRight,shieldBallOop,attSvHighCentre,penaltyFaced,penGoalsConceded,accuratePullBack,attSvHighRight,totalPullBack,errorLeadToGoal,fouledFinalThird,attCmissRight,attBxRight,freekickCross,attObxdRight,accurateFreekickCross,attBxCentre,ownGoals,goalsOpenplay,foulThrowIn,attIboxOwnGoal,attOpenplay,postScoringAtt,attIboxPost,attPostLeft,attHdTarget,attAssistSetplay,accurateCornersIntobox,cleanSheet,attGoalHighCentre,sixYardBlock,attOboxPost,attFreekickMiss,punches,attHdPost,attPostHigh,goalsConcededObox,expectedGoalsOnTarget,attemptsIbox,saves,expectedGoalsOnTargetConceded,winningGoal,totalFastbreak,attemptsObox,keeperGoals,subsGoals,touchesInOppBox,successfulOpenPlayPass,expectedAssists,openPlayPass,expectedGoalsFreekick,attPenGoal,attCorner,attObpGoal,attCmissLeft,attFreekickGoal,attBxLeft,ptsDroppedWinningPos,expectedGoals,attCmissHigh,attPenTarget,penaltyWon,attPostRight,penaltySave,attLgCentre,errorLeadToShot,attCmissHighRight,attObxLeft
1,284004,2009-08-15 17:30:00,"Goodison Park, Liverpool",39309.0,Away,Arsenal,Everton,6,1,W,3,0,0,0,1.0,3.0,63.0,1.0,4.0,2.0,3.0,2.0,2.0,33.0,45.0,8.0,9.0,1.0,5.0,7.0,6.0,14.0,9.0,162.0,55.0,2.0,18.0,2.0,15.0,2.0,2.0,2.0,3.0,1.0,2.0,28.0,12.0,1.0,22.0,9.0,20.0,25.0,231.0,2.0,2.0,0.0,167.0,14.0,1.0,3.0,1.0,5.0,62.0,64.0,11.0,2.0,1.0,19.0,2.0,2.0,3.0,139.0,4.0,750.0,9.0,8.0,1.0,29.0,27.0,1.0,10.0,29.0,5.0,2.0,0.0,2.0,3.0,12.0,84.0,1.0,6254,155.0,15.0,2.0,171.0,3.0,7.0,52.0,5.0,2.0,4.0,5.0,7.0,5.0,64.0,381.0,12.0,5.0,32.0,83.0,2.0,1.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,5.0,4.0,3.0,54.3,10.0,1.0,3.0,5.0,5.0,1.0,44.0,9.0,5.0,470.0,29.0,14.0,16.0,4.0,27.0,1.0,327.0,6.0,17.0,16.0,117.0,21.0,1.0,2.0,13.0,20.0,2.0,1.0,3.0,12.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284010,2010-01-20 19:45:00,"Emirates Stadium, London",59084.0,Home,Arsenal,Bolton Wanderers,4,2,W,1,2,0,0,2.0,5.0,59.0,1.0,,2.0,,,,21.0,40.0,9.0,10.0,1.0,3.0,12.0,4.0,15.0,13.0,169.0,59.0,2.0,21.0,2.0,22.0,5.0,1.0,1.0,2.0,7.0,,21.0,9.0,4.0,13.0,7.0,35.0,15.0,265.0,1.0,,0.0,176.0,22.0,,3.0,,2.0,54.0,58.0,10.0,2.0,,14.0,2.0,5.0,3.0,142.0,3.0,795.0,13.0,4.0,,25.0,23.0,,3.0,26.0,2.0,1.0,1.0,3.0,5.0,20.0,93.0,3.0,8597,160.0,6.0,1.0,173.0,3.0,8.0,69.0,8.0,1.0,4.0,6.0,9.0,2.0,42.0,422.0,15.0,4.0,20.0,94.0,1.0,1.0,0.0,,3.0,,4.0,2.0,,0.0,3.0,1.0,,62.9,17.0,,4.0,6.0,2.0,,60.0,9.0,2.0,510.0,25.0,15.0,9.0,6.0,24.0,3.0,358.0,11.0,32.0,18.0,130.0,20.0,,4.0,9.0,14.0,,2.0,3.0,20.0,4.0,9.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284020,2009-08-22 15:00:00,"Emirates Stadium, London",60049.0,Home,Arsenal,Portsmouth,4,1,W,2,1,0,0,,5.0,70.0,2.0,1.0,1.0,3.0,1.0,,21.0,15.0,11.0,11.0,,4.0,16.0,4.0,20.0,12.0,120.0,55.0,3.0,23.0,4.0,10.0,2.0,2.0,3.0,3.0,2.0,1.0,25.0,15.0,6.0,11.0,6.0,29.0,27.0,315.0,1.0,,0.0,174.0,9.0,,3.0,4.0,,75.0,61.0,16.0,2.0,1.0,19.0,3.0,3.0,1.0,116.0,7.0,868.0,16.0,8.0,,28.0,25.0,,,12.0,4.0,3.0,1.0,2.0,4.0,18.0,77.0,7.0,6254,220.0,15.0,2.0,231.0,3.0,5.0,49.0,22.0,1.0,5.0,7.0,3.0,4.0,30.0,531.0,12.0,9.0,7.0,77.0,2.0,,0.0,1.0,4.0,1.0,4.0,1.0,3.0,0.0,4.0,4.0,1.0,59.5,15.0,,3.0,7.0,7.0,,64.0,8.0,,596.0,28.0,15.0,14.0,4.0,27.0,3.0,390.0,10.0,28.0,9.0,131.0,31.0,,1.0,9.0,18.0,1.0,1.0,3.0,22.0,1.0,8.0,3.0,,2.0,1.0,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284035,2009-08-29 17:15:00,"Old Trafford, Manchester",75095.0,Away,Arsenal,Manchester United,1,2,L,1,0,0,0,,2.0,76.0,,,1.0,1.0,,,20.0,25.0,5.0,4.0,,5.0,9.0,1.0,8.0,3.0,175.0,66.0,1.0,12.0,2.0,9.0,1.0,,3.0,1.0,1.0,,28.0,14.0,1.0,14.0,4.0,14.0,14.0,191.0,,1.0,0.0,140.0,16.0,,1.0,,2.0,58.0,57.0,5.0,2.0,4.0,24.0,1.0,7.0,2.0,164.0,9.0,645.0,7.0,12.0,1.0,34.0,40.0,1.0,7.0,14.0,1.0,4.0,6.0,3.0,3.0,18.0,74.0,2.0,6254,126.0,13.0,,143.0,1.0,6.0,62.0,6.0,,4.0,5.0,6.0,2.0,50.0,312.0,22.0,7.0,35.0,96.0,,1.0,0.0,1.0,6.0,1.0,,2.0,1.0,0.0,5.0,,1.0,48.9,12.0,1.0,2.0,5.0,3.0,,49.0,4.0,2.0,405.0,34.0,19.0,7.0,6.0,20.0,4.0,290.0,7.0,13.0,16.0,91.0,25.0,,6.0,9.0,19.0,,2.0,3.0,21.0,6.0,5.0,,,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,5.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284044,2009-09-12 15:00:00,"Etihad Stadium, Manchester",47339.0,Away,Arsenal,Manchester City,2,4,L,0,1,0,0,,3.0,63.0,1.0,,1.0,3.0,,,12.0,24.0,7.0,7.0,1.0,10.0,9.0,2.0,18.0,7.0,154.0,64.0,,23.0,1.0,6.0,3.0,,2.0,2.0,3.0,,41.0,21.0,2.0,6.0,11.0,20.0,24.0,239.0,3.0,1.0,0.0,164.0,12.0,,1.0,,2.0,63.0,60.0,8.0,1.0,2.0,30.0,,5.0,3.0,136.0,5.0,729.0,10.0,4.0,1.0,17.0,22.0,1.0,2.0,16.0,2.0,2.0,2.0,2.0,10.0,21.0,65.0,2.0,8597,145.0,20.0,2.0,162.0,1.0,5.0,53.0,8.0,,2.0,7.0,5.0,5.0,25.0,374.0,13.0,15.0,10.0,61.0,,,0.0,,3.0,,1.0,4.0,2.0,0.0,5.0,1.0,5.0,60.9,18.0,4.0,3.0,7.0,4.0,,41.0,12.0,2.0,454.0,17.0,14.0,9.0,12.0,30.0,8.0,333.0,10.0,19.0,14.0,122.0,31.0,1.0,3.0,4.0,28.0,,4.0,3.0,15.0,3.0,12.0,1.0,1.0,2.0,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284050,2009-09-19 15:00:00,"Emirates Stadium, London",59103.0,Home,Arsenal,Wigan Athletic,4,0,W,1,0,0,0,1.0,3.0,57.0,,2.0,1.0,4.0,1.0,1.0,29.0,15.0,9.0,11.0,1.0,5.0,17.0,4.0,21.0,9.0,153.0,80.0,2.0,26.0,3.0,17.0,5.0,2.0,1.0,3.0,1.0,,26.0,22.0,,5.0,5.0,23.0,15.0,231.0,1.0,1.0,0.0,160.0,8.0,,2.0,1.0,,41.0,69.0,13.0,3.0,1.0,21.0,2.0,1.0,4.0,143.0,7.0,732.0,16.0,11.0,2.0,22.0,26.0,1.0,8.0,7.0,4.0,1.0,2.0,4.0,8.0,22.0,71.0,4.0,8597,142.0,16.0,2.0,164.0,2.0,7.0,62.0,8.0,2.0,2.0,5.0,6.0,3.0,45.0,368.0,20.0,7.0,24.0,77.0,2.0,1.0,0.0,,4.0,4.0,3.0,,10.0,0.0,4.0,2.0,3.0,61.9,19.0,1.0,1.0,5.0,7.0,,54.0,6.0,,449.0,22.0,26.0,11.0,10.0,25.0,5.0,311.0,12.0,21.0,18.0,116.0,24.0,,2.0,3.0,25.0,1.0,,3.0,22.0,2.0,6.0,1.0,,4.0,,3.0,,2.0,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284062,2009-09-26 17:30:00,"Craven Cottage, London",25700.0,Away,Arsenal,Fulham,1,0,W,0,0,0,0,3.0,,74.0,1.0,,3.0,2.0,,,34.0,52.0,5.0,1.0,,4.0,11.0,1.0,13.0,4.0,180.0,69.0,1.0,16.0,,18.0,2.0,1.0,3.0,1.0,2.0,,23.0,11.0,1.0,33.0,6.0,17.0,30.0,189.0,2.0,,0.0,141.0,13.0,,,1.0,3.0,59.0,53.0,5.0,,,17.0,1.0,4.0,4.0,161.0,10.0,767.0,10.0,12.0,,32.0,27.0,,12.0,26.0,1.0,3.0,0.0,3.0,8.0,21.0,70.0,6.0,8597,153.0,8.0,1.0,181.0,1.0,9.0,67.0,15.0,,2.0,9.0,10.0,3.0,63.0,338.0,14.0,11.0,36.0,87.0,1.0,,0.0,,4.0,5.0,1.0,,5.0,0.0,3.0,1.0,2.0,50.9,15.0,2.0,4.0,9.0,2.0,,44.0,6.0,3.0,437.0,32.0,17.0,18.0,10.0,27.0,6.0,279.0,12.0,16.0,24.0,93.0,28.0,1.0,4.0,15.0,20.0,,,2.0,22.0,4.0,6.0,3.0,,3.0,,5.0,,5.0,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284070,2009-10-04 13:30:00,"Emirates Stadium, London",59431.0,Home,Arsenal,Blackburn Rovers,6,2,W,3,2,0,0,1.0,1.0,66.0,1.0,4.0,3.0,2.0,,,27.0,36.0,11.0,7.0,4.0,6.0,10.0,6.0,21.0,16.0,157.0,59.0,,24.0,1.0,27.0,5.0,1.0,2.0,6.0,6.0,1.0,25.0,10.0,5.0,17.0,4.0,28.0,36.0,270.0,,3.0,0.0,190.0,11.0,,3.0,3.0,2.0,74.0,60.0,17.0,3.0,2.0,21.0,,2.0,2.0,138.0,3.0,809.0,14.0,8.0,1.0,30.0,35.0,2.0,5.0,26.0,6.0,2.0,1.0,2.0,4.0,23.0,77.0,7.0,8597,166.0,19.0,,182.0,2.0,4.0,59.0,19.0,1.0,4.0,6.0,4.0,,45.0,430.0,10.0,4.0,19.0,74.0,1.0,1.0,0.0,,1.0,,3.0,2.0,2.0,0.0,4.0,3.0,3.0,65.1,19.0,,,6.0,3.0,,44.0,8.0,2.0,518.0,30.0,11.0,25.0,5.0,24.0,2.0,361.0,13.0,25.0,22.0,137.0,21.0,2.0,4.0,13.0,17.0,,2.0,3.0,17.0,4.0,8.0,7.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,1.0,2.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284080,2009-10-17 15:00:00,"Emirates Stadium, London",,Home,Arsenal,Birmingham City,3,1,W,2,1,0,0,,,78.0,,2.0,1.0,4.0,,,27.0,27.0,9.0,6.0,2.0,4.0,11.0,3.0,17.0,10.0,144.0,60.0,,24.0,2.0,10.0,3.0,3.0,2.0,3.0,3.0,1.0,35.0,11.0,4.0,19.0,5.0,38.0,31.0,333.0,2.0,,0.0,204.0,9.0,2.0,2.0,1.0,1.0,65.0,93.0,11.0,,3.0,30.0,,9.0,4.0,136.0,2.0,935.0,12.0,2.0,1.0,28.0,40.0,,,20.0,3.0,2.0,1.0,,6.0,16.0,75.0,2.0,8597,229.0,19.0,2.0,244.0,1.0,5.0,51.0,5.0,,2.0,4.0,1.0,2.0,39.0,558.0,16.0,3.0,7.0,75.0,3.0,,0.0,,3.0,,3.0,1.0,,0.0,3.0,2.0,1.0,63.0,15.0,,2.0,4.0,6.0,,59.0,7.0,3.0,628.0,28.0,14.0,17.0,8.0,26.0,3.0,419.0,17.0,37.0,14.0,164.0,31.0,1.0,4.0,14.0,19.0,,1.0,3.0,26.0,4.0,7.0,6.0,,2.0,1.0,1.0,,,1.0,2.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,284098,2009-10-25 16:15:00,"Boleyn Ground, London",34442.0,Away,Arsenal,West Ham United,2,2,D,2,0,0,1,,1.0,61.0,1.0,0.0,1.0,2.0,1.0,1.0,29.0,36.0,6.0,5.0,1.0,6.0,16.0,2.0,15.0,6.0,132.0,69.0,2.0,17.0,3.0,23.0,3.0,1.0,,,1.0,,26.0,16.0,1.0,17.0,8.0,14.0,19.0,221.0,1.0,0.0,0.0,150.0,16.0,1.0,0.0,1.0,1.0,70.0,64.0,9.0,,4.0,18.0,2.0,4.0,2.0,132.0,7.0,653.0,11.0,8.0,,27.0,34.0,,2.0,20.0,1.0,,2.0,6.0,6.0,17.0,76.0,2.0,6254,108.0,12.0,,118.0,0.0,9.0,66.0,6.0,1.0,2.0,5.0,9.0,5.0,62.0,323.0,17.0,9.0,29.0,78.0,1.0,1.0,0.0,,6.0,,2.0,2.0,1.0,0.0,4.0,1.0,6.0,53.1,14.0,3.0,3.0,5.0,5.0,,38.0,8.0,1.0,412.0,27.0,10.0,12.0,6.0,32.0,4.0,320.0,6.0,12.0,9.0,101.0,18.0,1.0,4.0,7.0,27.0,1.0,2.0,2.0,24.0,4.0,8.0,2.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,2.0,1.0,4.0,4.0,,2.0,,,6.0,0.0,1.0,,,13.0,,,,1.0,3.0,2.0,,0.0,,,,,,,0.0,1.4179,11.0,1.0,1.4827,0.0,1.0,6.0,0.0,0.0,21.0,307.0,1.0822,386.0,0.09,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.1379,,,,,,,,,
