gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,attGoalLowCentre,fouledFinalThird,accuratePullBack,attIboxTarget,shotFastbreak,postScoringAtt,cleanSheet,penaltyWon,totalFastbreak,freekickCross,goodHighClaim,contentiousDecision,attPostLeft,hitWoodwork,attMissHighLeft,attRfGoal,goalKicks,totalOffside,accurateGoalKicks,attMissHigh,attPenGoal,attFastbreak,punches,attIboxGoal,attOboxPost,goalAssistIntentional,totalHighClaim,handBall,attIboxPost,attSvHighLeft,midfielderGoals,attGoalHighCentre,attHdTarget,accurateFreekickCross,errorLeadToShot,ownGoals,attPostHigh,attPostRight,attIboxOwnGoal,attHdGoal,ptsDroppedWinningPos,attFreekickTotal,freekickTotal,shieldBallOop,attSvHighCentre,attFreekickMiss,errorLeadToGoal,ptsGainedLosingPos,attCmissHigh,attSvLowRight,foulThrowIn,accurateKeeperSweeper,totalKeeperSweeper,attCmissHighLeft,attGoalHighRight,attOneOnOne,secondYellow,attCmissRight,attPenMiss,attFreekickTarget,winningGoal,keeperGoals,subsGoals,defenderGoals,attGoalHighLeft,attObpGoal,attFreekickGoal,attSvHighRight,attHdPost,attLgCentre,goalAssistSetplay,goalAssistDeadball,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attPenPost,attObxLeft,attObxdRight
1,2128294,2020-09-14 20:15:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Chelsea,1,3,L,0,1,0,0,1.0,37.0,62.0,1.0,1.0,3.0,39.0,8.0,6.0,3.0,7.0,2.0,1.0,2.0,155.0,15.0,3.0,8.0,1.0,10.0,3.0,133.0,136.0,46.0,13.0,1.0,13.0,1.0,1.0,1.0,3.0,14.0,11.0,2.0,8.0,4.0,4.0,45.0,185.0,1.0,1.0,0.0,132.0,8.0,1.0,1.0,69.0,66.0,5.0,81.0,1.0,2.0,11.0,12.0,6.0,5.0,2.0,136.0,2.0,7.0,138.0,681.0,8.0,3.0,15.0,15.0,394.0,21.0,3.0,2.0,1.0,1.0,3.0,5.0,24.0,486.0,54.0,1.0,83299,1.0,232.0,2.0,6.0,1.0,1.0,1.0,259.0,4.0,1.0,12.0,42.0,1.0,7.0,1.0,9.0,3.0,64.0,414.0,11.0,5.0,1.0,10.0,2.0,57.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,52.3,20.0,1.0,4.0,3.0,7.0,4.0,35.0,4.0,1.0,507.0,1.0,15.0,8.0,22.0,6.0,21.0,1.0,4.0,262.0,7.0,3.0,10.0,86.0,29.0,1.0,2.0,2.0,17.0,2.0,10.0,3.0,16.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128303,2020-09-20 14:00:00,"St. James' Park, Newcastle",,Away,Brighton and Hove Albion,Newcastle United,3,0,W,2,0,1,0,,20.0,53.0,1.0,,1.0,39.0,20.0,7.0,5.0,6.0,,1.0,1.0,145.0,12.0,1.0,2.0,3.0,8.0,6.0,110.0,122.0,40.0,13.0,,21.0,,2.0,3.0,,9.0,3.0,2.0,20.0,1.0,6.0,42.0,170.0,,,0.0,117.0,15.0,,,51.0,60.0,5.0,73.0,1.0,,8.0,12.0,7.0,1.0,4.0,122.0,1.0,3.0,116.0,598.0,6.0,3.0,13.0,11.0,342.0,20.0,3.0,13.0,2.0,0.0,2.0,3.0,17.0,424.0,55.0,,83299,3.0,189.0,,4.0,,1.0,,218.0,10.0,2.0,12.0,47.0,,7.0,2.0,11.0,3.0,80.0,358.0,15.0,2.0,,27.0,,63.0,,0.0,1.0,7.0,,,1.0,1.0,1.0,,52.8,13.0,,3.0,1.0,7.0,1.0,33.0,1.0,,444.0,,11.0,5.0,24.0,6.0,21.0,,1.0,235.0,8.0,6.0,15.0,79.0,22.0,3.0,2.0,13.0,8.0,,11.0,3.0,7.0,2.0,10.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128306,2020-09-26 12:30:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Manchester United,2,3,L,1,1,0,0,,19.0,57.0,1.0,1.0,1.0,31.0,4.0,6.0,9.0,12.0,1.0,,,150.0,8.0,6.0,20.0,2.0,14.0,5.0,122.0,126.0,58.0,18.0,3.0,11.0,1.0,1.0,1.0,1.0,29.0,7.0,,4.0,6.0,5.0,36.0,185.0,1.0,,0.0,160.0,18.0,,1.0,58.0,65.0,6.0,84.0,4.0,1.0,23.0,24.0,6.0,2.0,1.0,126.0,4.0,7.0,132.0,676.0,13.0,,30.0,14.0,394.0,26.0,2.0,3.0,1.0,4.0,2.0,8.0,18.0,466.0,56.0,,83299,4.0,234.0,3.0,17.0,,1.0,1.0,256.0,4.0,1.0,24.0,56.0,,2.0,1.0,12.0,1.0,62.0,413.0,16.0,14.0,,14.0,4.0,56.0,,0.0,,1.0,,3.0,,0.0,6.0,2.0,53.3,18.0,,7.0,6.0,2.0,4.0,37.0,7.0,1.0,488.0,1.0,14.0,9.0,18.0,9.0,41.0,,4.0,261.0,7.0,5.0,10.0,120.0,22.0,1.0,,3.0,12.0,3.0,12.0,2.0,26.0,,8.0,7.0,2.0,2.0,,,5.0,,3.0,1.0,4.0,,1.0,1.0,4.0,,1.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128319,2020-10-03 15:00:00,"Goodison Park, Liverpool",,Away,Brighton and Hove Albion,Everton,2,4,L,1,2,0,0,,28.0,58.0,1.0,2.0,4.0,18.0,14.0,5.0,2.0,6.0,2.0,,,146.0,14.0,1.0,16.0,2.0,6.0,3.0,203.0,144.0,52.0,11.0,1.0,9.0,,1.0,,1.0,16.0,13.0,,14.0,3.0,12.0,31.0,316.0,1.0,1.0,0.0,203.0,14.0,2.0,,80.0,96.0,5.0,97.0,,,13.0,18.0,5.0,5.0,3.0,144.0,,6.0,172.0,800.0,5.0,,24.0,9.0,499.0,18.0,2.0,7.0,1.0,1.0,3.0,1.0,16.0,591.0,55.0,,83299,3.0,211.0,,8.0,1.0,,,237.0,8.0,1.0,18.0,51.0,,5.0,2.0,10.0,5.0,41.0,526.0,12.0,9.0,,9.0,1.0,48.0,,0.0,3.0,3.0,,4.0,,0.0,1.0,,56.6,14.0,,7.0,2.0,5.0,5.0,30.0,10.0,,618.0,,9.0,14.0,13.0,3.0,35.0,,,397.0,9.0,9.0,4.0,156.0,28.0,1.0,,7.0,20.0,4.0,9.0,3.0,22.0,,8.0,10.0,1.0,1.0,,1.0,3.0,,1.0,,,,,,,,,,,,2.0,3.0,2.0,3.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128327,2020-10-18 14:00:00,"Selhurst Park, London",,Away,Brighton and Hove Albion,Crystal Palace,1,1,D,0,1,1,0,,33.0,53.0,1.0,,6.0,29.0,8.0,8.0,6.0,12.0,,,2.0,154.0,20.0,7.0,10.0,1.0,14.0,3.0,158.0,149.0,55.0,20.0,2.0,20.0,1.0,1.0,1.0,3.0,17.0,9.0,1.0,8.0,5.0,4.0,39.0,236.0,,1.0,0.0,167.0,13.0,,1.0,79.0,88.0,7.0,68.0,1.0,2.0,12.0,19.0,8.0,4.0,4.0,149.0,,1.0,164.0,746.0,10.0,3.0,37.0,7.0,436.0,18.0,1.0,4.0,1.0,2.0,,7.0,34.0,528.0,78.0,,83299,8.0,220.0,,5.0,1.0,2.0,1.0,243.0,8.0,2.0,19.0,58.0,,4.0,1.0,18.0,,63.0,449.0,12.0,6.0,3.0,10.0,5.0,69.0,2.0,0.0,2.0,2.0,,1.0,3.0,1.0,4.0,3.0,65.7,31.0,3.0,4.0,2.0,4.0,8.0,38.0,5.0,1.0,544.0,1.0,7.0,15.0,17.0,9.0,31.0,3.0,5.0,318.0,10.0,4.0,18.0,115.0,27.0,,4.0,4.0,15.0,1.0,13.0,3.0,14.0,4.0,8.0,5.0,,,,,3.0,1.0,1.0,,,,,,3.0,,,,,2.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128338,2020-10-26 17:30:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,West Bromwich Albion,1,1,D,1,0,0,0,,32.0,62.0,,2.0,1.0,25.0,21.0,2.0,,3.0,2.0,,3.0,159.0,17.0,3.0,7.0,1.0,4.0,3.0,122.0,146.0,55.0,5.0,,17.0,,,,,16.0,10.0,2.0,21.0,6.0,2.0,44.0,173.0,,,0.0,111.0,14.0,2.0,,52.0,59.0,3.0,72.0,2.0,1.0,10.0,10.0,2.0,4.0,,146.0,1.0,3.0,120.0,656.0,4.0,10.0,15.0,13.0,367.0,33.0,3.0,9.0,,2.0,1.0,1.0,21.0,454.0,49.0,,78916,3.0,213.0,1.0,5.0,,,,238.0,11.0,2.0,10.0,57.0,,3.0,,13.0,6.0,64.0,383.0,7.0,5.0,,25.0,1.0,75.0,,0.0,4.0,2.0,,1.0,4.0,0.0,2.0,1.0,49.7,19.0,1.0,4.0,,3.0,1.0,40.0,6.0,,473.0,,13.0,11.0,26.0,1.0,26.0,1.0,1.0,251.0,4.0,2.0,22.0,79.0,19.0,,2.0,9.0,20.0,1.0,4.0,3.0,18.0,2.0,3.0,6.0,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,8.0,2.0,7.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128354,2020-11-01 19:15:00,"Tottenham Hotspur Stadium, London",,Away,Brighton and Hove Albion,Tottenham Hotspur,1,2,L,0,1,0,0,,29.0,56.0,1.0,,1.0,27.0,12.0,1.0,1.0,5.0,2.0,,,155.0,10.0,4.0,6.0,1.0,6.0,2.0,147.0,154.0,44.0,6.0,1.0,17.0,,1.0,,1.0,17.0,8.0,,12.0,4.0,6.0,40.0,193.0,,,0.0,119.0,13.0,1.0,,68.0,74.0,4.0,67.0,1.0,1.0,13.0,14.0,1.0,3.0,,154.0,,5.0,134.0,673.0,3.0,3.0,25.0,7.0,385.0,23.0,5.0,7.0,1.0,1.0,,2.0,24.0,481.0,55.0,,78916,4.0,217.0,,9.0,,1.0,1.0,242.0,9.0,,14.0,46.0,,2.0,1.0,18.0,4.0,58.0,406.0,13.0,2.0,2.0,17.0,2.0,62.0,,0.0,1.0,4.0,1.0,2.0,1.0,0.0,3.0,3.0,56.6,20.0,2.0,4.0,1.0,2.0,2.0,36.0,5.0,1.0,503.0,1.0,7.0,8.0,14.0,2.0,32.0,1.0,2.0,278.0,2.0,5.0,12.0,73.0,26.0,,1.0,7.0,13.0,2.0,3.0,3.0,14.0,1.0,7.0,5.0,,,,,1.0,,1.0,,,,,,1.0,,2.0,,,,1.0,5.0,4.0,4.0,,,,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128357,2020-11-06 17:30:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Burnley,0,0,D,0,0,0,0,,23.0,64.0,,,5.0,15.0,10.0,7.0,3.0,12.0,1.0,,1.0,191.0,8.0,11.0,12.0,,14.0,3.0,123.0,144.0,39.0,19.0,4.0,25.0,,,2.0,2.0,35.0,7.0,,10.0,,6.0,44.0,241.0,,,0.0,179.0,11.0,,1.0,66.0,108.0,8.0,87.0,1.0,1.0,35.0,11.0,7.0,9.0,3.0,144.0,2.0,3.0,129.0,704.0,14.0,2.0,50.0,9.0,423.0,19.0,2.0,3.0,,1.0,,6.0,23.0,514.0,63.0,1.0,78916,10.0,207.0,2.0,26.0,1.0,1.0,,230.0,6.0,3.0,11.0,55.0,2.0,6.0,,8.0,1.0,47.0,437.0,3.0,5.0,,18.0,1.0,67.0,,0.0,,3.0,1.0,,,0.0,11.0,4.0,58.9,20.0,3.0,6.0,1.0,6.0,9.0,31.0,5.0,,530.0,,9.0,6.0,14.0,7.0,42.0,,4.0,335.0,11.0,6.0,13.0,136.0,33.0,,2.0,3.0,11.0,,16.0,2.0,21.0,2.0,4.0,5.0,1.0,,,,2.0,2.0,3.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,5.0,1.0,4.0,3.0,,1.0,2.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128366,2020-11-21 15:00:00,"Villa Park, Birmingham",,Away,Brighton and Hove Albion,Aston Villa,2,1,W,1,0,1,0,,21.0,52.0,1.0,2.0,1.0,26.0,47.0,1.0,3.0,6.0,3.0,,,110.0,13.0,3.0,2.0,2.0,6.0,3.0,101.0,110.0,37.0,7.0,,11.0,,2.0,,3.0,16.0,8.0,1.0,47.0,3.0,4.0,38.0,98.0,,,0.0,66.0,18.0,1.0,1.0,43.0,25.0,4.0,54.0,4.0,,13.0,15.0,1.0,5.0,,110.0,3.0,8.0,120.0,572.0,4.0,2.0,21.0,9.0,295.0,27.0,2.0,22.0,2.0,1.0,5.0,2.0,14.0,364.0,35.0,1.0,83299,6.0,218.0,2.0,7.0,1.0,,,246.0,14.0,1.0,15.0,44.0,2.0,7.0,2.0,12.0,7.0,58.0,313.0,5.0,8.0,,19.0,,52.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,1.0,3.0,1.0,44.6,9.0,1.0,1.0,,7.0,1.0,30.0,3.0,,385.0,,9.0,3.0,21.0,3.0,27.0,,3.0,155.0,3.0,4.0,12.0,34.0,16.0,1.0,1.0,22.0,18.0,1.0,7.0,3.0,6.0,1.0,10.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,2.0,12.0,,11.0,,,1.0,1.0,2.0,,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,2128377,2020-11-28 12:30:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Liverpool,1,1,D,0,0,0,0,,32.0,66.0,,1.0,2.0,28.0,14.0,4.0,5.0,7.0,1.0,,,145.0,15.0,3.0,13.0,1.0,6.0,3.0,77.0,128.0,60.0,11.0,,18.0,2.0,,,1.0,13.0,11.0,1.0,14.0,4.0,5.0,42.0,107.0,,,0.0,90.0,9.0,,1.0,40.0,46.0,3.0,46.0,2.0,4.0,9.0,12.0,4.0,3.0,3.0,128.0,1.0,3.0,84.0,536.0,5.0,7.0,19.0,14.0,263.0,27.0,3.0,8.0,,2.0,3.0,3.0,20.0,335.0,49.0,1.0,83299,3.0,168.0,2.0,5.0,,,,191.0,4.0,,12.0,46.0,1.0,5.0,,18.0,3.0,69.0,272.0,13.0,7.0,1.0,24.0,2.0,65.0,,0.0,1.0,3.0,,1.0,3.0,0.0,2.0,1.0,40.4,16.0,1.0,5.0,2.0,5.0,2.0,29.0,4.0,,352.0,,14.0,6.0,22.0,6.0,24.0,1.0,3.0,174.0,5.0,5.0,13.0,56.0,26.0,,,8.0,22.0,1.0,6.0,3.0,20.0,,9.0,4.0,2.0,1.0,,1.0,4.0,,1.0,,,,2.0,,1.0,,1.0,,,,1.0,2.0,2.0,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
