playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,blocks,interceptions,backwardPasses,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,tacklesLost,lastPlayerTackle,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,attemptsFromSetPieces,clearancesOffTheLine,throwInsToOwnPlayer,handballsConceded,expectedGoals,oboxBlocked,rightFootGoals,unsuccessfulDribbles,goalAssists,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,substituteOff,shotsBlockedOutsideBox,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,successfulCornersIntoBox,secondGoalAssists,overruns,leftFootGoals,penaltiesTaken,penaltyGoals,setPiecesGoals
489639,Bart Verbruggen,Goalkeeper,Brighton and Hove Albion,Netherlands,2025-26,5.0,1.0,0.1126,0.0,24.0,1.0,24.0,5.0,38.0,38.0,371.0,1549.0,103.0,2.0,12.0,10.0,6.0,3420.0,1.0,16.0,8.0,1.0,4.0,5.0,981.0,1.0,15.0,5.0,48.0275,1.0,1.0,68.0,32.0,46.0,4.0,371.0,106.0,3.0,0.0,21.0,6.0,770.0,331.0,38.0,103.0,38.0,9.0,11.0,0.0,192.0,1370.0,378.0,1.0,1.0,46.0,33.0,408.0,2.0,197.0,1869.0,1.0,239.0,1075.0,2.0,76.0,3.0,366.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49262,Jason Steele,Goalkeeper,Brighton and Hove Albion U21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209288,Tom McGill,Goalkeeper,Brighton and Hove Albion U21,Canada,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627550,Nils Ramming,Goalkeeper,Brighton and Hove Albion U21,Sweden,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223434,Igor Julio,Defender,Brighton and Hove Albion,Brazil,2025-26,2.0,,,0.0,,,,2.0,4.0,1.0,6.0,22.0,,,1.0,,,103.0,1.0,,,,,,14.0,,,1.0,,,1.0,1.0,10.0,3.0,1.0,6.0,,,0.0,2.0,,10.0,3.0,4.0,5.0,3.0,1.0,,0.0,,21.0,9.0,,,,,4.0,1.0,2.0,43.0,,4.0,11.0,1.0,,0.0,4.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110735,Adam Webster,Defender,Brighton and Hove Albion,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83299,Lewis Dunk,Defender,Brighton and Hove Albion,England,2025-26,90.0,,0.5731,0.0,,35.0,,101.0,33.0,31.0,191.0,2492.0,155.0,,126.0,7.0,,2837.0,50.0,127.0,7.0,1.0,18.0,51.0,2219.0,,,4.0,40.5528,,7.0,13.0,142.0,40.0,40.0,1095.0,,12.0,0.0,217.0,,723.0,136.0,33.0,625.0,33.0,91.0,76.0,0.0,154.0,2254.0,218.0,22.0,4.0,1.0,,477.0,15.0,82.0,2862.0,,38.0,1677.0,5.0,,10.0,90.0,68.0,2.0,27.0,30.0,197.0,1.0,0.1136,5.0,3.0,0.7002,19.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,43.0,1.0,5.0,10.0,1.0,13.0,2.0,1.0,4.0,5.0,3.0,5.0,16.0,2.0,3.0,1.0,7.0,1.0,1.7055,,,,,,,,,,,,,,,,,,
469142,Jan Paul van Hecke,Defender,Brighton and Hove Albion,Netherlands,2025-26,133.0,,1.6165,0.0,,53.0,,174.0,36.0,36.0,323.0,2521.0,11.0,,194.0,9.0,,3211.0,80.0,209.0,8.0,1.0,41.0,95.0,2065.0,,,5.0,46.5322,1.0,10.0,6.0,189.0,44.0,53.0,363.0,,43.0,0.0,342.0,,958.0,113.0,36.0,863.0,36.0,148.0,114.0,0.0,11.0,2446.0,366.0,30.0,3.0,,,1021.0,27.0,133.0,3041.0,1.0,54.0,1345.0,13.0,,9.0,149.0,77.0,,28.0,47.0,179.0,10.0,,7.0,10.0,3.827,16.0,1.0,1.0,,13.0,3.0,4.0,1.0,10.0,6.0,6.0,50.0,1.0,3.0,25.0,2.0,23.0,2.0,1.0,13.0,8.0,,3.0,6.0,4.0,,,3.0,2.0,3.298,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,
204120,Olivier Boscagli,Defender,Brighton and Hove Albion,France,2025-26,26.0,,0.4616,0.0,,16.0,,56.0,12.0,9.0,102.0,754.0,29.0,,30.0,3.0,,800.0,13.0,46.0,1.0,,10.0,29.0,620.0,,,1.0,10.2912,,3.0,4.0,42.0,10.0,13.0,306.0,,11.0,0.0,72.0,,263.0,54.0,12.0,252.0,9.0,42.0,17.0,0.0,29.0,703.0,121.0,9.0,2.0,,,129.0,7.0,32.0,902.0,,24.0,405.0,5.0,,2.0,46.0,33.0,3.0,2.0,18.0,56.0,5.0,,,,,1.0,,2.0,,7.0,,,,5.0,,,5.0,3.0,,4.0,,7.0,1.0,,10.0,1.0,,,1.0,,,,11.0,,0.0382,,,,1.0,,,,2.0,,4.0,3.0,,,,,,,
231416,Ferdi Kadioglu,Defender,Brighton and Hove Albion,Turkey,2025-26,116.0,,3.3291,0.0,,57.0,,148.0,37.0,34.0,197.0,1367.0,,,64.0,10.0,,3134.0,32.0,136.0,6.0,,42.0,104.0,1126.0,,,5.0,43.9184,,21.0,15.0,81.0,41.0,84.0,395.0,,36.0,1.0,252.0,,426.0,130.0,37.0,692.0,35.0,188.0,32.0,0.0,,1353.0,394.0,39.0,12.0,,,249.0,22.0,44.0,2065.0,2.0,31.0,501.0,9.0,,6.0,49.0,65.0,3.0,7.0,26.0,297.0,17.0,,6.0,13.0,3.1403,22.0,2.0,17.0,,64.0,1.0,7.0,0.0,23.0,6.0,6.0,58.0,27.0,3.0,17.0,1.0,18.0,,,85.0,28.0,,3.0,9.0,16.0,,2.0,148.0,2.0,2.0286,3.0,1.0,10.0,,6.0,2.0,6.0,4.0,3.0,25.0,19.0,5.0,1.0,3.0,,,,
