matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
694903,1,2013-08-18 13:30:00,"Selhurst Park, London",23285,Home,Crystal Palace,Spurs,0,1,L,0,0,0,0,,5.0,3.0,2.0,,,,,,,4.0,2.0,20.0,71.0,362.0,259.0,41.8,,21.0,18.0,9.0,27.0,26.0,9.0,3.0,,,17.0,14.0,159.0,2.0,1.0,,,62.0,62.0,29.0,16.0,3.0,3.0,1.0,9.0,7.0,0.0,0.0,,,4.0
694919,2,2013-08-24 15:00:00,"bet365 Stadium, Stoke",25270,Away,Crystal Palace,Stoke,1,2,L,1,0,0,0,1.0,14.0,5.0,7.0,2.0,,,,,1.0,10.0,5.0,13.0,56.0,437.0,347.0,50.4,,31.0,21.0,9.0,37.0,37.0,24.0,4.0,,,13.0,19.0,143.0,2.0,2.0,,,71.0,65.0,24.0,28.0,,,2.0,6.0,13.0,0.0,0.0,,,
694923,3,2013-08-31 17:30:00,"Selhurst Park, London",22671,Home,Crystal Palace,Sunderland,3,1,W,1,0,0,1,3.0,18.0,7.0,8.0,3.0,,1.0,,,,13.0,7.0,20.0,52.0,419.0,330.0,50.0,,28.0,22.0,14.0,51.0,51.0,13.0,6.0,,,10.0,16.0,152.0,1.0,1.0,,,80.0,62.0,32.0,22.0,6.0,6.0,,6.0,6.0,0.0,0.0,1.0,1.0,2.0
694935,4,2013-09-14 12:45:00,"Old Trafford, Manchester",75170,Away,Crystal Palace,Man Utd,0,2,L,0,1,1,0,,4.0,,4.0,,1.0,,1.0,,,4.0,,6.0,46.0,377.0,269.0,39.6,,24.0,18.0,24.0,33.0,33.0,14.0,3.0,,1.0,9.0,9.0,148.0,6.0,2.0,,,53.0,45.0,19.0,15.0,1.0,1.0,1.0,12.0,8.0,0.0,0.0,,,
694943,5,2013-09-22 13:30:00,"Selhurst Park, London",22466,Home,Crystal Palace,Swansea,0,2,L,0,1,0,0,,9.0,1.0,3.0,5.0,,,,,,7.0,4.0,24.0,60.0,413.0,323.0,43.4,,20.0,19.0,11.0,20.0,20.0,20.0,4.0,,,8.0,6.0,144.0,5.0,2.0,,,60.0,49.0,22.0,15.0,6.0,6.0,1.0,13.0,9.0,0.0,0.0,,,1.0
694956,6,2013-09-28 15:00:00,"St. Mary's Stadium, Southampton",30699,Away,Crystal Palace,Southampton,0,2,L,0,0,0,0,,8.0,,2.0,6.0,1.0,,1.0,,,5.0,4.0,24.0,68.0,338.0,229.0,39.2,,22.0,18.0,11.0,27.0,27.0,20.0,4.0,,,5.0,8.0,170.0,1.0,2.0,,,69.0,45.0,29.0,14.0,2.0,2.0,2.0,15.0,11.0,0.0,0.0,,,2.0
694964,7,2013-10-05 15:00:00,"Anfield, Liverpool",44721,Away,Crystal Palace,Liverpool,1,3,L,0,3,0,0,1.0,11.0,2.0,5.0,4.0,1.0,,2.0,,1.0,7.0,5.0,17.0,60.0,394.0,308.0,39.0,,29.0,23.0,26.0,32.0,32.0,15.0,2.0,,,17.0,13.0,141.0,4.0,3.0,,,54.0,54.0,10.0,12.0,3.0,3.0,1.0,6.0,9.0,0.0,0.0,,,1.0
694973,8,2013-10-21 20:00:00,"Selhurst Park, London",24881,Home,Crystal Palace,Fulham,1,4,L,1,2,0,0,1.0,14.0,4.0,7.0,3.0,,,,,,8.0,5.0,18.0,58.0,374.0,283.0,45.9,,22.0,17.0,13.0,11.0,11.0,17.0,2.0,1.0,,3.0,14.0,158.0,2.0,4.0,,,68.0,55.0,27.0,15.0,5.0,5.0,,10.0,13.0,0.0,0.0,,,2.0
694983,9,2013-10-26 12:45:00,"Selhurst Park, London",20050,Home,Crystal Palace,Arsenal,0,2,L,0,0,0,1,,13.0,4.0,7.0,2.0,,,,1.0,,9.0,4.0,27.0,62.0,395.0,308.0,37.5,18.0,25.0,18.0,27.0,24.0,24.0,11.0,1.0,,,11.0,14.0,138.0,2.0,2.0,,,59.0,60.0,20.0,13.0,4.0,4.0,1.0,12.0,8.0,0.0,0.0,,,2.0
694998,10,2013-11-02 15:00:00,"The Hawthorns, West Bromwich",26397,Away,Crystal Palace,West Brom,0,2,L,0,1,0,0,,12.0,4.0,5.0,3.0,1.0,,1.0,,,10.0,6.0,22.0,63.0,437.0,323.0,50.2,,23.0,16.0,15.0,37.0,37.0,16.0,3.0,,,8.0,10.0,172.0,1.0,2.0,,,69.0,58.0,26.0,25.0,3.0,3.0,1.0,9.0,11.0,0.0,0.0,,,
695003,11,2013-11-09 15:00:00,"Selhurst Park, London",25231,Home,Crystal Palace,Everton,0,0,D,0,0,0,0,,9.0,2.0,5.0,2.0,3.0,,5.0,,,8.0,3.0,13.0,46.0,222.0,146.0,27.2,,21.0,17.0,24.0,29.0,29.0,21.0,4.0,,,11.0,8.0,129.0,2.0,,1.0,,48.0,55.0,18.0,17.0,4.0,4.0,,16.0,8.0,0.0,0.0,,,4.0
695014,12,2013-11-23 15:00:00,"The MKM Stadium, Hull",23043,Away,Crystal Palace,Hull,1,0,W,0,0,1,0,1.0,9.0,2.0,4.0,3.0,1.0,1.0,,,1.0,8.0,5.0,22.0,64.0,326.0,217.0,37.7,12.0,13.0,11.0,26.0,69.0,69.0,14.0,6.0,,,8.0,11.0,169.0,2.0,,1.0,,57.0,58.0,30.0,22.0,4.0,4.0,,11.0,8.0,0.0,0.0,,,2.0
695028,13,2013-11-30 15:00:00,"Carrow Road, Norwich",26851,Away,Crystal Palace,Norwich,0,1,L,0,1,0,0,,13.0,3.0,3.0,7.0,,,,1.0,,8.0,5.0,28.0,75.0,336.0,230.0,40.0,,18.0,13.0,13.0,35.0,35.0,14.0,3.0,,,10.0,8.0,160.0,2.0,1.0,,,67.0,63.0,33.0,30.0,4.0,4.0,1.0,14.0,12.0,0.0,0.0,,,2.0
