matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803163,1,2015-08-08 15:00:00,"Carrow Road, Norwich",27036,Away,Crystal Palace,Norwich,3,1,W,1,0,0,0,3.0,11.0,7.0,2.0,2.0,4.0,3.0,1.0,,3.0,10.0,8.0,23.0,47.0,272.0,200.0,37.1,14.0,14.0,12.0,34.0,28.0,8.0,3.0,,,3.0,13.0,124.0,4.0,1.0,,,46.0,50.0,8.0,10.0,4.0,4.0,,20.0,14.0,0.0,0.0,,,2.0
803172,2,2015-08-16 13:30:00,"Selhurst Park, London",24732,Home,Crystal Palace,Arsenal,1,2,L,1,1,0,0,1.0,11.0,4.0,4.0,3.0,1.0,,1.0,1.0,1.0,7.0,5.0,35.0,61.0,376.0,302.0,40.8,18.0,13.0,19.0,35.0,23.0,18.0,8.0,2.0,,7.0,15.0,155.0,5.0,2.0,,1.0,54.0,66.0,15.0,19.0,6.0,6.0,1.0,14.0,12.0,0.0,0.0,,,3.0
803182,3,2015-08-22 15:00:00,"Selhurst Park, London",25295,Home,Crystal Palace,Aston Villa,2,1,W,0,0,0,0,2.0,16.0,6.0,7.0,3.0,2.0,,2.0,,2.0,14.0,7.0,37.0,58.0,357.0,283.0,49.9,15.0,12.0,11.0,21.0,15.0,7.0,3.0,1.0,,9.0,12.0,140.0,2.0,1.0,,1.0,59.0,61.0,24.0,27.0,6.0,6.0,2.0,12.0,14.0,0.0,0.0,,,4.0
803193,4,2015-08-29 15:00:00,"Stamford Bridge, London",41581,Away,Crystal Palace,Chelsea,2,1,W,0,0,0,0,2.0,13.0,5.0,6.0,2.0,3.0,2.0,2.0,,1.0,10.0,5.0,26.0,56.0,321.0,239.0,36.3,17.0,13.0,9.0,45.0,38.0,17.0,8.0,,,13.0,10.0,145.0,7.0,1.0,,,45.0,65.0,15.0,21.0,7.0,7.0,,15.0,9.0,0.0,0.0,,,2.0
803206,5,2015-09-12 15:00:00,"Selhurst Park, London",25167,Home,Crystal Palace,Man City,0,1,L,0,0,0,0,,10.0,2.0,6.0,2.0,1.0,,1.0,,,7.0,3.0,31.0,56.0,359.0,273.0,42.2,17.0,15.0,21.0,29.0,21.0,17.0,5.0,,1.0,4.0,10.0,144.0,6.0,1.0,,,57.0,42.0,19.0,10.0,4.0,4.0,1.0,13.0,13.0,0.0,0.0,,,5.0
803213,6,2015-09-20 13:30:00,"White Hart Lane, London",35723,Away,Crystal Palace,Spurs,0,1,L,0,0,0,0,,12.0,4.0,4.0,4.0,,,,2.0,,9.0,6.0,32.0,51.0,323.0,237.0,42.9,31.0,26.0,17.0,35.0,22.0,19.0,9.0,,,11.0,22.0,166.0,5.0,1.0,,,68.0,61.0,18.0,9.0,5.0,5.0,,11.0,9.0,0.0,0.0,,,3.0
803226,7,2015-09-27 16:00:00,"Vicarage Road, Watford",20168,Away,Crystal Palace,Watford,1,0,W,0,0,0,0,1.0,16.0,3.0,8.0,5.0,3.0,1.0,3.0,1.0,,8.0,2.0,27.0,60.0,313.0,234.0,44.7,14.0,9.0,6.0,50.0,40.0,10.0,4.0,,,3.0,6.0,140.0,2.0,,1.0,,51.0,58.0,10.0,21.0,4.0,4.0,2.0,22.0,17.0,0.0,0.0,1.0,1.0,
803240,8,2015-10-03 12:45:00,"Selhurst Park, London",24033,Home,Crystal Palace,West Brom,2,0,W,0,0,0,0,2.0,21.0,8.0,7.0,6.0,1.0,2.0,,,1.0,12.0,7.0,40.0,80.0,443.0,356.0,60.4,16.0,13.0,11.0,32.0,25.0,14.0,2.0,2.0,,15.0,13.0,166.0,2.0,,1.0,,60.0,66.0,14.0,16.0,8.0,8.0,4.0,14.0,13.0,0.0,0.0,1.0,1.0,3.0
803251,9,2015-10-17 15:00:00,"Selhurst Park, London",24812,Home,Crystal Palace,West Ham,1,3,L,1,1,1,0,1.0,6.0,1.0,3.0,2.0,,1.0,,,,5.0,2.0,25.0,70.0,326.0,236.0,38.5,21.0,16.0,26.0,14.0,12.0,18.0,8.0,,,17.0,19.0,150.0,1.0,3.0,,,49.0,66.0,13.0,13.0,1.0,1.0,1.0,9.0,10.0,0.0,0.0,1.0,1.0,2.0
803253,10,2015-10-24 15:00:00,"King Power Stadium, Leicester",31752,Away,Crystal Palace,Leicester,0,1,L,0,0,0,0,,9.0,4.0,3.0,2.0,,,,,,7.0,6.0,33.0,59.0,456.0,347.0,52.3,15.0,12.0,16.0,14.0,12.0,16.0,4.0,,1.0,12.0,13.0,176.0,2.0,1.0,,,57.0,61.0,27.0,20.0,2.0,2.0,,11.0,7.0,0.0,0.0,,,3.0
803267,11,2015-10-31 15:00:00,"Selhurst Park, London",24854,Home,Crystal Palace,Man Utd,0,0,D,0,0,0,0,,10.0,5.0,3.0,2.0,1.0,,1.0,1.0,,5.0,3.0,28.0,64.0,355.0,271.0,44.6,20.0,14.0,18.0,13.0,12.0,10.0,2.0,,,5.0,6.0,150.0,1.0,,1.0,,59.0,54.0,15.0,15.0,7.0,7.0,1.0,12.0,14.0,0.0,0.0,,,
803273,12,2015-11-08 16:00:00,"Anfield, Liverpool",44115,Away,Crystal Palace,Liverpool,2,1,W,1,1,0,0,2.0,9.0,4.0,4.0,1.0,1.0,1.0,1.0,,,5.0,3.0,21.0,52.0,287.0,191.0,36.2,25.0,20.0,17.0,40.0,24.0,18.0,8.0,,,17.0,16.0,181.0,3.0,1.0,,,57.0,69.0,10.0,18.0,6.0,6.0,1.0,6.0,7.0,0.0,0.0,,,2.0
803290,13,2015-11-23 20:00:00,"Selhurst Park, London",24361,Home,Crystal Palace,Sunderland,0,1,L,0,0,0,0,,19.0,7.0,8.0,4.0,,,,,,14.0,9.0,49.0,78.0,452.0,371.0,66.6,15.0,13.0,13.0,22.0,18.0,16.0,3.0,,1.0,12.0,15.0,169.0,2.0,1.0,,,54.0,74.0,18.0,20.0,11.0,11.0,,18.0,11.0,0.0,0.0,,,1.0
803296,14,2015-11-28 15:00:00,"Selhurst Park, London",24833,Home,Crystal Palace,Newcastle,5,1,W,3,1,0,0,5.0,19.0,8.0,6.0,5.0,1.0,1.0,,,3.0,15.0,10.0,38.0,71.0,449.0,375.0,53.7,18.0,16.0,15.0,17.0,10.0,13.0,4.0,,,9.0,8.0,142.0,1.0,1.0,,,61.0,49.0,17.0,13.0,7.0,7.0,1.0,7.0,13.0,0.0,0.0,,,3.0
803304,15,2015-12-07 20:00:00,"Goodison Park, Liverpool",35736,Away,Crystal Palace,Everton,1,1,D,0,0,0,0,1.0,14.0,5.0,8.0,1.0,1.0,,1.0,,1.0,11.0,4.0,33.0,67.0,331.0,251.0,38.0,25.0,16.0,25.0,40.0,32.0,18.0,7.0,,,14.0,10.0,154.0,3.0,1.0,,,56.0,53.0,14.0,5.0,6.0,6.0,,11.0,4.0,0.0,0.0,,,3.0
803317,16,2015-12-12 15:00:00,"Selhurst Park, London",24914,Home,Crystal Palace,Southampton,1,0,W,1,0,0,0,1.0,12.0,5.0,3.0,4.0,1.0,1.0,,,1.0,9.0,6.0,34.0,64.0,296.0,190.0,43.8,17.0,14.0,10.0,40.0,36.0,12.0,4.0,,,7.0,9.0,170.0,3.0,,1.0,,59.0,50.0,18.0,18.0,8.0,8.0,,11.0,12.0,0.0,0.0,,,3.0
