matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2561902,1,2025-08-17 14:00:00,"Stamford Bridge, London",39678.0,Away,Crystal Palace,Chelsea,0,0,D,0,0,0,0,0.0,11.0,4.0,3.0,4.0,0.6573,0.2606,1.0,,1.0,,0.093333,,5.0,4.0,18.0,28.0,226.0,168.0,28.5,8.0,16.0,13.0,7.0,41.0,41.0,5.0,10.0,1.0,,12.0,11.0,101.0,2.0,0.0,0.6538,1.0,0.0,47.0,52.0,16.0,17.0,2.0,2.0,2.0,12.0,10.0,0.0,0.0,,0.0,,105191.01
2561909,2,2025-08-24 14:00:00,"Selhurst Park, London",24876.0,Home,Crystal Palace,Nott'm Forest,1,1,D,1,0,0,0,1.0,8.0,4.0,4.0,,1.1023,0.8252,2.0,1.0,1.0,1.0,0.904364,1.0,7.0,4.0,26.0,51.0,377.0,287.0,42.1,21.0,20.0,11.0,7.0,21.0,21.0,7.0,1.0,,,6.0,8.0,128.0,,1.0,0.2584,,0.0,49.0,45.0,16.0,17.0,1.0,1.0,1.0,11.0,11.0,0.0,0.0,,0.0,2.0,104795.25
2561915,3,2025-08-31 19:00:00,"Villa Park, Birmingham",41036.0,Away,Crystal Palace,Aston Villa,3,0,W,1,0,0,0,3.0,6.0,4.0,1.0,1.0,2.6496,2.4469,3.0,2.0,2.0,,1.1862,1.0,4.0,3.0,17.0,51.0,386.0,328.0,41.6,14.0,26.0,16.0,10.0,37.0,37.0,4.0,1.0,1.0,,7.0,9.0,95.0,4.0,0.0,1.0148,1.0,0.0,48.0,37.0,9.0,6.0,1.0,1.0,,14.0,7.0,0.0,0.0,1.0,1.0,2.0,115843.16
2561929,4,2025-09-13 15:00:00,"Selhurst Park, London",25154.0,Home,Crystal Palace,Sunderland,0,0,D,0,0,0,0,0.0,14.0,6.0,4.0,4.0,1.7696,1.3646,1.0,,3.0,,1.01059,,8.0,5.0,38.0,45.0,491.0,410.0,55.9,21.0,10.0,6.0,6.0,25.0,25.0,10.0,2.0,1.0,,11.0,5.0,125.0,,0.0,,1.0,0.0,33.0,53.0,14.0,21.0,5.0,5.0,2.0,10.0,7.0,0.0,0.0,,0.0,,111356.99
2561943,5,2025-09-20 15:00:00,"London Stadium, London",62455.0,Away,Crystal Palace,West Ham,2,1,W,1,0,0,0,2.0,18.0,3.0,9.0,6.0,2.3102,1.3703,2.0,2.0,2.0,2.0,1.31784,,13.0,4.0,31.0,47.0,345.0,284.0,43.4,27.0,22.0,16.0,10.0,35.0,35.0,13.0,1.0,,,14.0,8.0,104.0,2.0,1.0,1.5549,,0.0,70.0,46.0,29.0,18.0,8.0,8.0,3.0,5.0,15.0,0.0,0.0,,0.0,2.0,109902.4
2561948,6,2025-09-27 15:00:00,"Selhurst Park, London",25118.0,Home,Crystal Palace,Liverpool,2,1,W,1,0,0,0,2.0,16.0,7.0,7.0,2.0,2.9201,2.6497,6.0,2.0,5.0,1.0,1.11665,1.0,12.0,8.0,26.0,58.0,270.0,175.0,28.1,33.0,24.0,16.0,9.0,32.0,32.0,7.0,4.0,2.0,1.0,6.0,6.0,125.0,3.0,1.0,1.7945,,0.0,48.0,45.0,12.0,22.0,2.0,2.0,1.0,10.0,7.0,0.0,0.0,,0.0,2.0,120374.34
2561960,7,2025-10-05 14:00:00,"Hill Dickinson Stadium, Liverpool",51770.0,Away,Crystal Palace,Everton,1,2,L,1,0,0,0,1.0,15.0,8.0,4.0,3.0,1.5266,1.3981,2.0,1.0,4.0,1.0,1.37496,1.0,8.0,6.0,28.0,56.0,432.0,349.0,49.7,23.0,31.0,15.0,14.0,38.0,38.0,9.0,2.0,,,6.0,9.0,136.0,5.0,2.0,2.6158,,0.0,73.0,62.0,27.0,24.0,4.0,4.0,1.0,16.0,13.0,0.0,0.0,,0.0,1.0,114021.77
2561967,8,2025-10-18 15:00:00,"Selhurst Park, London",25125.0,Home,Crystal Palace,Bournemouth,3,3,D,0,2,0,0,3.0,20.0,7.0,6.0,7.0,4.4449,3.9307,5.0,3.0,4.0,,2.57848,1.0,12.0,8.0,45.0,60.0,404.0,308.0,52.3,41.0,23.0,14.0,6.0,32.0,32.0,12.0,1.0,1.0,1.0,6.0,6.0,145.0,2.0,3.0,2.8101,,0.0,73.0,53.0,32.0,22.0,6.0,6.0,,8.0,14.0,0.0,0.0,1.0,1.0,3.0,109653.67
2561976,9,2025-10-26 14:00:00,"Emirates Stadium, London",60103.0,Away,Crystal Palace,Arsenal,0,1,L,0,1,0,0,0.0,7.0,1.0,3.0,3.0,0.4548,0.4775,,,,,0.288373,,4.0,2.0,20.0,46.0,360.0,265.0,40.3,15.0,16.0,9.0,12.0,44.0,44.0,6.0,3.0,,,5.0,10.0,133.0,2.0,1.0,1.0192,,0.0,42.0,48.0,16.0,21.0,3.0,3.0,,11.0,6.0,0.0,0.0,,0.0,1.0,115418.92
2561987,10,2025-11-01 15:00:00,"Selhurst Park, London",25083.0,Home,Crystal Palace,Brentford,2,0,W,1,0,0,0,2.0,10.0,3.0,3.0,4.0,0.6997,0.8182,,,1.0,1.0,0.213478,1.0,4.0,3.0,35.0,57.0,268.0,178.0,35.7,24.0,13.0,7.0,12.0,31.0,31.0,6.0,2.0,,,6.0,9.0,144.0,2.0,0.0,0.7742,1.0,0.0,42.0,53.0,16.0,25.0,6.0,6.0,1.0,7.0,11.0,0.0,0.0,,0.0,1.0,110240.12
