matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803168,1,2015-08-08 17:30:00,"Stamford Bridge, London",41232,Home,Chelsea,Swansea,2,2,D,2,1,1,0,2.0,11.0,3.0,5.0,3.0,,,,,,8.0,4.0,35.0,75.0,433.0,347.0,52.0,16.0,12.0,13.0,14.0,10.0,11.0,5.0,1.0,,13.0,9.0,150.0,7.0,2.0,,,59.0,70.0,14.0,21.0,4.0,4.0,1.0,15.0,15.0,0.0,0.0,,,2.0
803174,2,2015-08-16 16:00:00,"Etihad Stadium, Manchester",54331,Away,Chelsea,Man City,0,3,L,0,1,0,0,,10.0,3.0,4.0,3.0,,,,1.0,,7.0,5.0,24.0,74.0,443.0,367.0,50.8,20.0,13.0,15.0,25.0,19.0,24.0,4.0,1.0,1.0,14.0,7.0,131.0,5.0,3.0,,,68.0,59.0,18.0,15.0,1.0,1.0,2.0,13.0,19.0,0.0,0.0,,,3.0
803184,3,2015-08-23 13:30:00,"The Hawthorns, West Bromwich",23256,Away,Chelsea,West Brom,3,2,W,3,1,1,0,3.0,15.0,5.0,7.0,3.0,1.0,1.0,1.0,,2.0,13.0,6.0,27.0,80.0,496.0,404.0,56.1,9.0,9.0,9.0,24.0,19.0,16.0,3.0,1.0,,6.0,8.0,134.0,4.0,2.0,,,43.0,45.0,19.0,16.0,7.0,7.0,1.0,12.0,8.0,0.0,0.0,,,1.0
803193,4,2015-08-29 15:00:00,"Stamford Bridge, London",41581,Home,Chelsea,Crystal Palace,1,2,L,0,0,0,0,1.0,26.0,9.0,9.0,8.0,,,,,1.0,19.0,11.0,48.0,80.0,582.0,487.0,63.7,16.0,13.0,9.0,19.0,13.0,17.0,2.0,,,4.0,13.0,156.0,3.0,2.0,,,65.0,45.0,21.0,15.0,7.0,7.0,4.0,9.0,15.0,0.0,0.0,,,
803204,5,2015-09-12 12:45:00,"Goodison Park, Liverpool",38311,Away,Chelsea,Everton,1,3,L,1,2,0,0,1.0,15.0,2.0,6.0,7.0,,,,,1.0,13.0,8.0,39.0,71.0,561.0,493.0,61.2,21.0,15.0,11.0,12.0,11.0,15.0,,,,9.0,5.0,131.0,6.0,3.0,,,44.0,56.0,5.0,12.0,14.0,14.0,,12.0,12.0,0.0,0.0,,,2.0
803212,6,2015-09-19 12:45:00,"Stamford Bridge, London",41584,Home,Chelsea,Arsenal,2,0,W,0,0,0,2,2.0,22.0,6.0,6.0,10.0,2.0,1.0,1.0,,1.0,20.0,15.0,31.0,75.0,628.0,547.0,62.9,23.0,21.0,11.0,16.0,14.0,17.0,3.0,2.0,,17.0,12.0,133.0,2.0,,1.0,,61.0,56.0,13.0,7.0,5.0,5.0,1.0,12.0,10.0,0.0,0.0,,,
803225,7,2015-09-26 17:30:00,"St. James' Park, Newcastle",48682,Away,Chelsea,Newcastle,2,2,D,0,1,0,0,2.0,16.0,4.0,8.0,4.0,2.0,,2.0,,1.0,11.0,6.0,34.0,80.0,532.0,429.0,64.5,27.0,24.0,13.0,17.0,11.0,21.0,3.0,,,11.0,10.0,179.0,3.0,2.0,,,69.0,72.0,20.0,17.0,6.0,6.0,1.0,15.0,12.0,0.0,0.0,,,3.0
803236,8,2015-10-03 17:30:00,"Stamford Bridge, London",41642,Home,Chelsea,Southampton,1,3,L,1,1,0,0,1.0,10.0,3.0,4.0,3.0,,,,,,7.0,3.0,24.0,84.0,551.0,435.0,60.2,22.0,13.0,18.0,12.0,9.0,21.0,4.0,2.0,,8.0,7.0,166.0,2.0,3.0,,,59.0,65.0,19.0,26.0,4.0,4.0,,14.0,13.0,0.0,0.0,,,1.0
803243,9,2015-10-17 15:00:00,"Stamford Bridge, London",41596,Home,Chelsea,Aston Villa,2,0,W,1,0,0,0,2.0,9.0,3.0,3.0,3.0,2.0,1.0,1.0,,1.0,8.0,5.0,27.0,63.0,415.0,306.0,49.0,31.0,22.0,21.0,24.0,19.0,25.0,3.0,,,10.0,14.0,171.0,1.0,,1.0,,80.0,78.0,24.0,28.0,4.0,4.0,3.0,22.0,17.0,0.0,0.0,,,1.0
803252,10,2015-10-24 15:00:00,"Boleyn Ground, London",34977,Away,Chelsea,West Ham,1,2,L,0,1,1,0,1.0,9.0,4.0,5.0,,1.0,1.0,,,1.0,8.0,3.0,26.0,67.0,457.0,365.0,54.5,18.0,16.0,15.0,27.0,18.0,8.0,3.0,,1.0,11.0,9.0,141.0,3.0,2.0,,,55.0,53.0,15.0,13.0,4.0,4.0,,12.0,10.0,0.0,0.0,,,5.0
