matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2444478,1,2024-08-18 16:30:00,"Stamford Bridge, London",39818,Home,Chelsea,Man City,0,2,L,0,1,0,0,,10.0,3.0,3.0,4.0,,,1.0,,1.0,,,,9.0,6.0,23.0,47.0,490.0,436.0,48.2,26.0,20.0,14.0,10.0,13.0,13.0,7.0,3.0,1.0,,15.0,9.0,97.0,3.0,2.0,,,36.0,48.0,3.0,5.0,4.0,4.0,,12.0,9.0,0.0,0.0,,,2.0,
2444489,2,2024-08-25 14:00:00,"Molineux Stadium, Wolverhampton",31235,Away,Chelsea,Wolves,6,2,W,2,2,0,0,6.0,14.0,8.0,3.0,3.0,,,4.0,4.0,1.0,1.0,,5.0,12.0,9.0,18.0,41.0,495.0,426.0,60.4,21.0,14.0,11.0,9.0,18.0,18.0,9.0,2.0,2.0,,8.0,10.0,112.0,2.0,2.0,,,41.0,48.0,5.0,8.0,5.0,5.0,,13.0,13.0,0.0,0.0,,,1.0,
2444492,3,2024-09-01 13:30:00,"Stamford Bridge, London",39298,Home,Chelsea,Crystal Palace,1,1,D,1,0,0,0,1.0,13.0,7.0,5.0,1.0,,,4.0,1.0,4.0,1.0,,1.0,10.0,5.0,32.0,76.0,590.0,532.0,62.8,20.0,13.0,7.0,8.0,17.0,17.0,8.0,5.0,,,6.0,6.0,116.0,2.0,1.0,,,47.0,41.0,10.0,7.0,4.0,4.0,1.0,9.0,13.0,0.0,0.0,,,,101508.2
2444500,4,2024-09-14 20:00:00,"Vitality Stadium, Bournemouth",11235,Away,Chelsea,Bournemouth,1,0,W,0,0,0,0,1.0,10.0,3.0,3.0,4.0,0.772,1.1734,1.0,1.0,,,0.492805,1.0,8.0,5.0,17.0,50.0,579.0,494.0,66.7,21.0,12.0,7.0,6.0,18.0,18.0,4.0,4.0,,,9.0,8.0,133.0,7.0,,2.4786,1.0,51.0,47.0,11.0,15.0,3.0,3.0,,9.0,16.0,0.0,0.0,,,3.0,106013.66
2444519,5,2024-09-21 12:30:00,"London Stadium, London",62473,Away,Chelsea,West Ham,3,0,W,2,0,0,0,3.0,12.0,5.0,4.0,3.0,,,5.0,3.0,2.0,,,3.0,12.0,8.0,15.0,37.0,454.0,393.0,47.0,32.0,19.0,9.0,8.0,34.0,34.0,4.0,5.0,1.0,,9.0,11.0,94.0,7.0,,,1.0,52.0,43.0,10.0,10.0,5.0,5.0,,9.0,17.0,0.0,0.0,,,1.0,101116.15
2444523,6,2024-09-28 15:00:00,"Stamford Bridge, London",39495,Home,Chelsea,Brighton,4,2,W,4,2,0,0,4.0,15.0,7.0,5.0,3.0,,,6.0,2.0,5.0,2.0,,2.0,12.0,8.0,22.0,38.0,376.0,288.0,41.1,27.0,22.0,13.0,7.0,17.0,17.0,10.0,5.0,,2.0,11.0,4.0,132.0,4.0,2.0,,,51.0,49.0,7.0,12.0,8.0,8.0,,11.0,8.0,0.0,0.0,1.0,1.0,6.0,108226.02
2444534,7,2024-10-06 14:00:00,"Stamford Bridge, London",39501,Home,Chelsea,Nott'm Forest,1,1,D,0,0,0,1,1.0,22.0,8.0,9.0,5.0,,,3.0,,3.0,1.0,,1.0,17.0,9.0,45.0,70.0,591.0,519.0,66.1,51.0,14.0,10.0,8.0,17.0,17.0,8.0,6.0,1.0,,9.0,8.0,120.0,8.0,1.0,,,48.0,47.0,14.0,16.0,11.0,11.0,,12.0,10.0,0.0,0.0,,,1.0,105994.17
2444543,8,2024-10-20 16:30:00,"Anfield, Liverpool",60277,Away,Chelsea,Liverpool,1,2,L,0,1,0,0,1.0,12.0,2.0,6.0,4.0,,,2.0,1.0,2.0,1.0,,1.0,8.0,3.0,29.0,56.0,542.0,476.0,57.5,26.0,12.0,10.0,8.0,11.0,11.0,7.0,,,,5.0,8.0,118.0,3.0,2.0,,,44.0,49.0,10.0,6.0,5.0,6.0,1.0,13.0,12.0,0.0,0.0,,,,
2444554,9,2024-10-27 14:00:00,"Stamford Bridge, London",39526,Home,Chelsea,Newcastle,2,1,W,1,1,0,0,2.0,17.0,7.0,6.0,4.0,,,1.0,1.0,,1.0,,2.0,14.0,9.0,22.0,65.0,459.0,388.0,50.4,31.0,12.0,8.0,16.0,23.0,23.0,11.0,4.0,,,6.0,6.0,117.0,1.0,1.0,,,47.0,46.0,13.0,14.0,7.0,7.0,,13.0,15.0,0.0,0.0,,,2.0,
2444564,10,2024-11-03 16:30:00,"Old Trafford, Manchester",73813,Away,Chelsea,Man Utd,1,1,D,0,0,0,0,1.0,12.0,3.0,4.0,5.0,,,1.0,,1.0,1.0,,,8.0,5.0,26.0,47.0,475.0,397.0,54.0,30.0,20.0,11.0,7.0,19.0,19.0,9.0,3.0,1.0,,10.0,13.0,132.0,3.0,1.0,,,71.0,53.0,17.0,8.0,8.0,8.0,1.0,14.0,19.0,0.0,0.0,,,,
2444572,11,2024-11-10 16:30:00,"Stamford Bridge, London",39780,Home,Chelsea,Arsenal,1,1,D,0,0,0,0,1.0,17.0,3.0,6.0,8.0,,,1.0,,1.0,,,1.0,13.0,8.0,18.0,44.0,419.0,358.0,49.3,22.0,19.0,16.0,7.0,18.0,18.0,7.0,6.0,1.0,1.0,8.0,8.0,95.0,2.0,1.0,,,47.0,43.0,9.0,10.0,4.0,4.0,1.0,12.0,12.0,0.0,0.0,,,1.0,
2444586,12,2024-11-23 12:30:00,"King Power Stadium, Leicester",31880,Away,Chelsea,Leicester,2,1,W,1,0,0,0,2.0,16.0,7.0,6.0,3.0,,,2.0,2.0,2.0,,,1.0,11.0,8.0,30.0,67.0,609.0,528.0,63.3,38.0,18.0,11.0,9.0,11.0,11.0,7.0,1.0,,,6.0,4.0,133.0,,1.0,,,51.0,42.0,8.0,7.0,9.0,9.0,,12.0,15.0,0.0,0.0,,,1.0,
2444592,13,2024-12-01 13:30:00,"Stamford Bridge, London",39689,Home,Chelsea,Aston Villa,3,0,W,2,0,0,0,3.0,17.0,8.0,6.0,3.0,,,,,2.0,,,2.0,10.0,6.0,18.0,66.0,623.0,561.0,64.1,32.0,17.0,10.0,3.0,5.0,5.0,9.0,4.0,1.0,,5.0,9.0,99.0,3.0,,,1.0,34.0,47.0,5.0,7.0,3.0,3.0,3.0,21.0,4.0,0.0,0.0,,,3.0,
2444609,14,2024-12-04 19:30:00,"St. Mary's Stadium, Southampton",31193,Away,Chelsea,Southampton,5,1,W,3,1,0,1,5.0,26.0,13.0,7.0,6.0,,,8.0,3.0,9.0,3.0,,5.0,17.0,13.0,31.0,59.0,535.0,494.0,54.9,51.0,15.0,10.0,8.0,9.0,9.0,8.0,2.0,1.0,,14.0,6.0,71.0,3.0,1.0,,,31.0,46.0,6.0,7.0,7.0,7.0,,14.0,6.0,0.0,0.0,,,1.0,
2444618,15,2024-12-08 16:30:00,"Tottenham Hotspur Stadium, London",61184,Away,Chelsea,Spurs,4,3,W,1,2,0,0,4.0,17.0,8.0,4.0,5.0,2.8274,4.1897,1.0,2.0,1.0,,1.73995,1.0,14.0,9.0,31.0,51.0,517.0,446.0,61.5,47.0,18.0,13.0,12.0,7.0,7.0,8.0,3.0,2.0,2.0,8.0,8.0,117.0,2.0,3.0,2.0263,,52.0,46.0,8.0,8.0,10.0,10.0,,11.0,16.0,0.0,0.0,2.0,2.0,2.0,
2444623,16,2024-12-15 19:00:00,"Stamford Bridge, London",39751,Home,Chelsea,Brentford,2,1,W,1,0,1,0,2.0,26.0,8.0,10.0,8.0,,,3.0,1.0,3.0,,,2.0,19.0,11.0,40.0,69.0,518.0,443.0,61.7,51.0,15.0,8.0,8.0,20.0,20.0,6.0,2.0,,,4.0,6.0,137.0,3.0,1.0,,,47.0,49.0,20.0,19.0,8.0,8.0,1.0,11.0,7.0,0.0,0.0,,,1.0,
2444633,17,2024-12-22 14:00:00,"Goodison Park, Liverpool",39308,Away,Chelsea,Everton,0,0,D,0,0,0,0,,12.0,5.0,3.0,4.0,,,2.0,,3.0,1.0,,,7.0,5.0,23.0,64.0,642.0,577.0,75.0,23.0,23.0,14.0,2.0,12.0,12.0,5.0,1.0,1.0,,5.0,12.0,120.0,4.0,,,1.0,68.0,55.0,9.0,9.0,5.0,5.0,,12.0,19.0,0.0,0.0,,,1.0,95894.27
2444643,18,2024-12-26 15:00:00,"Stamford Bridge, London",39687,Home,Chelsea,Fulham,1,2,L,1,0,0,0,1.0,12.0,8.0,1.0,3.0,,,2.0,,3.0,,,1.0,9.0,8.0,20.0,67.0,506.0,422.0,47.1,24.0,12.0,7.0,6.0,16.0,16.0,4.0,,,,14.0,4.0,118.0,5.0,2.0,,,40.0,46.0,7.0,11.0,3.0,3.0,3.0,13.0,13.0,0.0,0.0,,,3.0,
2444655,19,2024-12-30 19:45:00,"Portman Road, Ipswich",29968,Away,Chelsea,Ipswich,0,2,L,0,1,0,0,,20.0,5.0,7.0,8.0,,,3.0,,4.0,2.0,,,19.0,12.0,40.0,80.0,729.0,655.0,75.9,36.0,11.0,5.0,5.0,14.0,14.0,3.0,2.0,1.0,1.0,3.0,10.0,128.0,4.0,2.0,,,38.0,39.0,16.0,15.0,7.0,7.0,2.0,5.0,7.0,0.0,0.0,,,2.0,
2444663,20,2025-01-04 15:00:00,"Selhurst Park, London",25179,Away,Chelsea,Crystal Palace,1,1,D,1,0,0,0,1.0,15.0,1.0,10.0,4.0,,,2.0,1.0,1.0,,,1.0,13.0,4.0,32.0,62.0,566.0,487.0,61.6,32.0,12.0,5.0,8.0,13.0,13.0,7.0,5.0,1.0,1.0,4.0,15.0,132.0,5.0,1.0,,,35.0,57.0,8.0,17.0,6.0,6.0,2.0,12.0,9.0,0.0,0.0,,,,
