gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,winningGoal,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateThroughBall,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,savedObox,attRfTarget,accuratePullBack,attOboxBlocked,attBxRight,accurateKeeperSweeper,totalCornersIntobox,cleanSheet,attSvLowLeft,freekickCross,attHdTarget,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,sixYardBlock,attMissHigh,attCorner,punches,accurateFlickOn,shieldBallOop,attHdTotal,attHdMiss,accurateCornersIntobox,goalAssistSetplay,goalAssistOpenplay,attMissRight,goalAssist,goalAssistIntentional,attSvHighCentre,goalAssistDeadball,attOboxTarget,penaltyWon,overrun,clearanceOffLine,attSvHighRight,hitWoodwork,attSetpiece,ptsDroppedWinningPos,errorLeadToGoal,attObxdLeft,attCmissHigh,attFreekickTarget,postScoringAtt,attIboxPost,attPostLeft,attHdPost,attOboxPost,attPostRight,attCmissRight,secondYellow,attSvHighLeft,attOneOnOne,forwardGoals,goalFastbreak,accurateFreekickCross,attCmissHighLeft,attPostHigh,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickPost,attFreekickMiss,attObxLeft,attPenTarget,fastestPlayer,attIboxOwnGoal
1,2561902,2025-08-17 14:00:00,"Stamford Bridge, London",39678.0,Home,Chelsea,Crystal Palace,0,0,D,0.0,0.0,0,0,0.0,,,,39.0,0.0,0.0,3.0,0.6538,21.0,19.0,8.0,9.0,11.0,4.0,0.0,129.0,0.0,6.0,12.0,0.0,3.0,10.0,3.0,188.0,117.0,52.0,1.0,19.0,16.0,3.0,,1.0,,29.0,6.0,0.0,19.0,7.0,29.0,0.2606,260.0,3.0,0.0,0.0,151.0,10.0,,0.0,2.0,,0.0,,72.0,60.0,6.0,54.0,1.0,19.0,13.0,8.0,1.0,0.0,0.0,4.0,2.0,117.0,1.0,,4.0,0.0,197.0,763.0,7.0,2.0,31.0,11.0,492.0,13.0,6.0,10.0,2.0,4.0,4.0,1.3362,21.0,548.0,0.0498,62.0,1.0,35.09,247632,6.0,256.0,2.0,13.0,269.0,6.0,101102.05,0.0,1.0,6.0,7.0,47.0,0.0,4.0,0.0,,2.0,0.0,19.0,7.0,6.0,0.0,49.0,510.0,10.0,5.0,3.0,19.0,70.0,,0.0,0.0,1.0,,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,71.5,20.0,8.0,1.0,2.0,9.0,47.0,11.0,,568.0,11.0,4.0,16.0,7.0,34.0,5.0,328.0,6.0,7.0,17.0,119.0,13.0,,10.0,13.0,0.0,0.0,12.0,4.0,24.0,1.6046,,6.0,11.0,3.0,1.0,1.0,6.0,1.0,1.0,10.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561914,2025-08-22 20:00:00,"London Stadium, London",62462.0,Away,Chelsea,West Ham United,5,1,W,3.0,1.0,0,0,1.0,1.0,1.0,5.0,36.0,1.0,0.0,1.0,5.1386,17.0,17.0,2.0,4.0,10.0,3.0,2.0,147.0,3.0,3.0,4.0,5.0,1.0,7.0,7.0,169.0,103.0,45.0,,12.0,14.0,2.0,1.0,,,15.0,13.0,0.0,17.0,19.0,25.0,0.3267,245.0,1.0,0.0,0.0,123.0,10.0,3.0,0.0,,1.0,4.0,1.0,72.0,55.0,6.0,85.0,1.0,10.0,10.0,2.0,,1.0,0.0,4.0,2.0,103.0,6.0,,9.0,0.0,176.0,714.0,3.0,7.0,26.0,4.0,485.0,12.0,5.0,10.0,1.0,3.0,1.0,1.47202,14.0,557.0,,63.0,1.0,32.87,247632,6.0,263.0,2.0,6.0,279.0,7.0,105029.72,2.0,,4.0,7.0,39.0,0.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,7.0,0.0,43.0,505.0,7.0,5.0,,18.0,62.0,1.0,0.0,0.0,,,0.0,0.0,7.0,2.0,5.0,1.0,,0.0,2.0,59.2,12.0,2.0,,5.0,1.0,40.0,5.0,1.0,577.0,4.0,7.0,10.0,4.0,18.0,2.0,313.0,6.0,19.0,15.0,83.0,17.0,,10.0,19.0,1.0,0.0,8.0,5.0,8.0,2.7427,,4.0,5.0,1.0,1.0,,,1.0,,5.0,,1.0,,,1.0,,,,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561917,2025-08-30 12:30:00,"Stamford Bridge, London",39745.0,Home,Chelsea,Fulham,2,0,W,1.0,0.0,0,0,0.0,,3.0,2.0,48.0,0.0,1.0,5.0,3.1877,17.0,20.0,3.0,4.0,10.0,1.0,0.0,138.0,1.0,4.0,8.0,2.0,3.0,11.0,6.0,130.0,127.0,60.0,,13.0,13.0,2.0,1.0,1.0,1.0,13.0,9.0,0.0,20.0,8.0,33.0,0.1025,201.0,,0.0,0.0,142.0,11.0,,0.0,,1.0,2.0,,64.0,60.0,10.0,79.0,1.0,9.0,8.0,3.0,,0.0,0.0,4.0,,127.0,1.0,1.0,8.0,0.0,147.0,705.0,8.0,2.0,27.0,18.0,406.0,17.0,2.0,16.0,2.0,3.0,1.0,0.832111,18.0,468.0,,64.0,1.0,34.69,109646,4.0,232.0,1.0,4.0,247.0,5.0,107608.29,1.0,,3.0,7.0,56.0,0.0,2.0,0.0,3.0,3.0,0.0,18.0,3.0,6.0,1.0,47.0,429.0,16.0,3.0,2.0,16.0,66.0,1.0,0.0,0.0,2.0,,0.0,0.0,4.0,2.0,2.0,0.0,,0.0,1.0,53.8,17.0,4.0,2.0,3.0,6.0,39.0,6.0,,494.0,18.0,18.0,15.0,1.0,26.0,1.0,260.0,6.0,8.0,17.0,111.0,22.0,1.0,16.0,19.0,1.0,0.0,6.0,4.0,19.0,2.3502,1.0,3.0,6.0,1.0,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,5.0,,2.0,,3.0,1.0,3.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561927,2025-09-13 20:00:00,"Gtech Community Stadium, Brentford",16795.0,Away,Chelsea,Brentford,2,2,D,0.0,1.0,0,0,0.0,,1.0,1.0,42.0,2.0,0.0,4.0,2.2305,23.0,33.0,6.0,10.0,10.0,3.0,1.0,141.0,0.0,3.0,4.0,2.0,4.0,13.0,6.0,167.0,113.0,46.0,1.0,16.0,7.0,3.0,1.0,1.0,1.0,17.0,9.0,0.0,33.0,14.0,24.0,2.2957,297.0,2.0,1.0,0.0,158.0,9.0,1.0,0.0,2.0,1.0,1.0,3.0,54.0,73.0,10.0,88.0,1.0,15.0,7.0,6.0,1.0,0.0,0.0,7.0,1.0,113.0,2.0,,7.0,1.0,174.0,779.0,12.0,1.0,38.0,13.0,496.0,11.0,3.0,16.0,2.0,1.0,3.0,1.0484,20.0,549.0,0.0274,70.0,1.0,35.34,247632,5.0,222.0,1.0,8.0,239.0,4.0,104450.02,1.0,4.0,2.0,2.0,44.0,0.0,2.0,0.0,4.0,5.0,2.0,22.0,,2.0,0.0,41.0,516.0,13.0,11.0,,11.0,54.0,1.0,0.0,0.0,,,0.0,0.0,5.0,2.0,1.0,2.0,,0.0,3.0,65.7,19.0,3.0,3.0,6.0,7.0,39.0,6.0,3.0,570.0,13.0,11.0,9.0,3.0,28.0,2.0,348.0,5.0,13.0,14.0,127.0,20.0,1.0,16.0,15.0,0.0,2.0,12.0,5.0,10.0,1.2524,1.0,2.0,6.0,,3.0,2.0,3.0,2.0,1.0,2.0,,2.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561941,2025-09-20 17:30:00,"Old Trafford, Manchester",74124.0,Away,Chelsea,Manchester United,1,2,L,0.0,2.0,1,1,0.0,,,1.0,45.0,0.0,1.0,1.0,0.5938,21.0,29.0,1.0,,4.0,2.0,0.0,155.0,0.0,2.0,8.0,1.0,2.0,4.0,1.0,160.0,135.0,53.0,,5.0,12.0,,,,1.0,15.0,13.0,0.0,29.0,18.0,27.0,1.8708,209.0,,0.0,0.0,102.0,14.0,,0.0,1.0,,0.0,,46.0,65.0,2.0,77.0,1.0,12.0,19.0,1.0,,0.0,0.0,1.0,,135.0,1.0,,6.0,0.0,158.0,738.0,2.0,2.0,16.0,8.0,442.0,19.0,3.0,16.0,5.0,3.0,2.0,0.326202,20.0,523.0,,54.0,1.0,33.29,225796,2.0,259.0,,11.0,295.0,9.0,100879.23,0.0,,8.0,6.0,51.0,0.0,2.0,1.0,2.0,1.0,0.0,13.0,5.0,4.0,0.0,45.0,466.0,13.0,5.0,1.0,11.0,60.0,,0.0,0.0,,1.0,0.0,0.0,5.0,1.0,1.0,2.0,,1.0,1.0,58.8,19.0,,,1.0,2.0,37.0,5.0,,550.0,8.0,11.0,13.0,2.0,19.0,2.0,270.0,3.0,16.0,16.0,78.0,21.0,2.0,16.0,16.0,1.0,2.0,1.0,5.0,18.0,0.4251,2.0,8.0,5.0,1.0,,,1.0,1.0,2.0,3.0,,,,,,3.0,1.0,,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561947,2025-09-27 15:00:00,"Stamford Bridge, London",39597.0,Home,Chelsea,Brighton and Hove Albion,1,3,L,1.0,0.0,1,0,0.0,,,1.0,35.0,0.0,0.0,4.0,2.1236,15.0,8.0,5.0,5.0,7.0,,0.0,140.0,0.0,3.0,10.0,1.0,5.0,9.0,3.0,108.0,126.0,54.0,2.0,13.0,11.0,,1.0,,2.0,14.0,11.0,0.0,8.0,13.0,31.0,1.7729,162.0,,0.0,0.0,110.0,9.0,,0.0,,1.0,1.0,4.0,41.0,52.0,6.0,92.0,1.0,11.0,18.0,6.0,2.0,0.0,0.0,3.0,2.0,126.0,1.0,1.0,8.0,0.0,130.0,664.0,8.0,4.0,17.0,10.0,374.0,16.0,5.0,3.0,3.0,2.0,3.0,0.459438,21.0,437.0,0.1214,53.0,,36.32,247632,1.0,237.0,1.0,6.0,261.0,6.0,97357.59,0.0,1.0,11.0,11.0,48.0,0.0,2.0,0.0,2.0,6.0,1.0,12.0,4.0,5.0,0.0,53.0,396.0,16.0,7.0,1.0,20.0,64.0,1.0,1.0,0.0,,2.0,0.0,0.0,7.0,,1.0,3.0,,1.0,2.0,59.5,18.0,2.0,2.0,6.0,6.0,33.0,5.0,5.0,470.0,10.0,9.0,9.0,4.0,23.0,2.0,223.0,6.0,13.0,8.0,75.0,7.0,,3.0,21.0,1.0,3.0,6.0,4.0,22.0,1.81,,11.0,5.0,,2.0,,2.0,2.0,,3.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,2.0,,3.0,,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2561959,2025-10-04 17:30:00,"Stamford Bridge, London",39767.0,Home,Chelsea,Liverpool,2,1,W,1.0,0.0,0,0,0.0,1.0,1.0,1.0,53.0,0.0,0.0,1.0,1.6621,29.0,12.0,6.0,2.0,6.0,1.0,0.0,170.0,1.0,3.0,6.0,2.0,3.0,9.0,6.0,119.0,138.0,41.0,,12.0,6.0,2.0,,1.0,,20.0,12.0,0.0,12.0,11.0,45.0,0.956,201.0,,1.0,0.0,156.0,9.0,,0.0,,,1.0,1.0,60.0,60.0,6.0,92.0,1.0,17.0,13.0,6.0,,0.0,0.0,6.0,1.0,138.0,2.0,,8.0,1.0,127.0,688.0,7.0,5.0,22.0,13.0,401.0,18.0,2.0,3.0,0.0,5.0,3.0,1.08905,17.0,481.0,,56.0,,34.72,225796,4.0,224.0,1.0,9.0,249.0,3.0,113659.46,2.0,,7.0,12.0,32.0,0.0,1.0,0.0,2.0,8.0,2.0,15.0,4.0,8.0,0.0,67.0,422.0,8.0,2.0,,13.0,61.0,,1.0,0.0,1.0,,0.0,0.0,2.0,,1.0,1.0,,0.0,3.0,53.2,16.0,5.0,,8.0,2.0,26.0,7.0,1.0,508.0,13.0,8.0,20.0,4.0,36.0,1.0,279.0,6.0,8.0,7.0,114.0,21.0,,3.0,21.0,0.0,1.0,9.0,5.0,14.0,1.0039,,7.0,7.0,1.0,2.0,,1.0,1.0,,3.0,,2.0,2.0,1.0,,,,,,2.0,,2.0,2.0,4.0,1.0,,,2.0,2.0,2.0,1.0,1.0,,2.0,,1.0,,,2.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,2561971,2025-10-18 12:30:00,"The City Ground, Nottingham",30495.0,Away,Chelsea,Nottingham Forest,3,0,W,0.0,0.0,1,0,0.0,1.0,,2.0,52.0,0.0,1.0,3.0,2.1575,28.0,19.0,6.0,5.0,11.0,2.0,1.0,131.0,1.0,3.0,12.0,3.0,4.0,12.0,6.0,135.0,111.0,53.0,2.0,17.0,5.0,2.0,1.0,1.0,2.0,9.0,8.0,0.0,19.0,14.0,24.0,0.5539,165.0,1.0,1.0,0.0,101.0,16.0,,0.0,1.0,1.0,1.0,1.0,43.0,44.0,7.0,82.0,2.0,8.0,12.0,6.0,2.0,0.0,0.0,3.0,2.0,111.0,3.0,,8.0,0.0,115.0,648.0,10.0,2.0,20.0,13.0,374.0,15.0,7.0,5.0,2.0,2.0,5.0,1.17264,12.0,435.0,0.1521,52.0,2.0,33.5,463936,5.0,235.0,2.0,4.0,255.0,7.0,102633.35,1.0,1.0,7.0,14.0,47.0,0.0,4.0,2.0,2.0,5.0,0.0,15.0,4.0,10.0,0.0,57.0,397.0,13.0,8.0,,22.0,65.0,1.0,1.0,0.0,2.0,,1.0,0.0,5.0,2.0,2.0,0.0,,1.0,3.0,50.3,12.0,5.0,3.0,6.0,5.0,40.0,2.0,1.0,463.0,13.0,11.0,15.0,6.0,21.0,4.0,217.0,9.0,12.0,13.0,75.0,23.0,3.0,5.0,15.0,1.0,0.0,12.0,5.0,20.0,1.6745,3.0,7.0,2.0,,2.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,,2.0,2.0,,,,3.0,1.0,,2.0,,1.0,2.0,2.0,,1.0,1.0,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
9,2561979,2025-10-25 15:00:00,"Stamford Bridge, London",39489.0,Home,Chelsea,Sunderland,1,2,L,1.0,1.0,0,0,0.0,,1.0,1.0,47.0,0.0,0.0,2.0,0.9874,19.0,18.0,6.0,4.0,10.0,2.0,1.0,140.0,1.0,4.0,9.0,1.0,3.0,14.0,7.0,206.0,118.0,40.0,,16.0,17.0,4.0,,2.0,1.0,29.0,8.0,0.0,18.0,13.0,29.0,1.5775,309.0,1.0,0.0,0.0,187.0,15.0,,0.0,1.0,,1.0,1.0,66.0,81.0,9.0,82.0,,22.0,10.0,6.0,,0.0,0.0,8.0,2.0,118.0,2.0,,7.0,0.0,201.0,802.0,13.0,4.0,26.0,3.0,546.0,24.0,2.0,11.0,1.0,4.0,5.0,1.17312,15.0,607.0,,61.0,,34.54,247632,5.0,262.0,1.0,13.0,281.0,8.0,108515.56,0.0,,4.0,4.0,48.0,0.0,1.0,0.0,3.0,4.0,1.0,12.0,3.0,4.0,0.0,39.0,567.0,13.0,4.0,,13.0,59.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,,0.0,2.0,68.4,14.0,2.0,1.0,5.0,4.0,45.0,9.0,1.0,629.0,3.0,8.0,14.0,5.0,40.0,3.0,377.0,9.0,13.0,10.0,157.0,15.0,1.0,11.0,8.0,0.0,2.0,9.0,5.0,15.0,0.895,1.0,4.0,9.0,1.0,4.0,,2.0,1.0,,7.0,,1.0,1.0,1.0,,,,1.0,2.0,7.0,,3.0,,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,2.0,,,,,,,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10,2561993,2025-11-01 17:30:00,"Tottenham Hotspur Stadium, London",61202.0,Away,Chelsea,Tottenham Hotspur,1,0,W,1.0,0.0,0,0,0.0,1.0,1.0,1.0,64.0,0.0,0.0,1.0,3.1654,26.0,19.0,3.0,3.0,12.0,1.0,0.0,149.0,0.0,3.0,8.0,1.0,4.0,14.0,9.0,99.0,151.0,64.0,,15.0,19.0,7.0,2.0,2.0,1.0,13.0,12.0,0.0,19.0,10.0,32.0,0.1577,187.0,,0.0,0.0,128.0,12.0,,0.0,1.0,2.0,0.0,5.0,63.0,57.0,9.0,88.0,1.0,10.0,20.0,3.0,,0.0,0.0,4.0,2.0,151.0,6.0,,2.0,0.0,89.0,649.0,13.0,7.0,36.0,17.0,324.0,16.0,8.0,9.0,2.0,1.0,5.0,1.78168,22.0,401.0,,53.0,,34.48,247632,5.0,159.0,5.0,5.0,184.0,7.0,104898.63,1.0,4.0,9.0,4.0,69.0,0.0,1.0,0.0,1.0,6.0,1.0,24.0,1.0,4.0,0.0,53.0,343.0,14.0,9.0,,23.0,62.0,2.0,1.0,0.0,4.0,,0.0,0.0,6.0,1.0,1.0,0.0,,0.0,3.0,52.1,20.0,7.0,2.0,6.0,1.0,38.0,5.0,5.0,425.0,17.0,11.0,16.0,5.0,20.0,3.0,254.0,10.0,10.0,22.0,94.0,31.0,1.0,9.0,20.0,0.0,0.0,14.0,4.0,27.0,3.6847,1.0,9.0,5.0,,6.0,1.0,,2.0,1.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,
