playerId,displayName,firstName,lastName,shirtNumber,position,preferredFoot,nationality,isoCode,birthDate,birthCountry,age,height_cm,weight_kg,joinDate,onLoan
105666,Jack Butland,Jack,Butland,1,Goalkeeper,Right,England,GB-ENG,1993-03-10,England,33,196.0,95.0,2020-10-16,False
20066,Wayne Hennessey,Wayne,Hennessey,13,Goalkeeper,Right,Wales,GB-WLS,1987-01-24,,39,198.0,90.0,2014-01-31,False
42525,Stephen Henderson,Stephen,Henderson,19,Goalkeeper,Right,Ireland,IE,1988-05-02,,38,193.0,87.0,2019-07-06,False
40836,Vicente Guaita,Vicente,Guaita,31,Goalkeeper,Right,Spain,ES,1987-01-10,Spain,39,190.0,81.0,2018-07-01,False
55494,Joel Ward,Joel,Ward,2,Defender,Right,England,GB-ENG,1989-10-29,,36,188.0,83.0,2012-05-29,False
74230,Patrick van Aanholt,Patrick,van Aanholt,3,Defender,Left,Netherlands,NL,1990-08-29,Netherlands,35,176.0,74.0,2017-01-30,False
49413,James Tomkins,James,Tomkins,5,Defender,Right,England,GB-ENG,1989-03-29,,37,192.0,74.0,2016-06-05,False
19188,Scott Dann,Scott,Dann,6,Defender,Right,England,GB-ENG,1987-02-14,,39,188.0,76.0,2014-01-31,False
40784,Mamadou Sakho,Mamadou,Sakho,12,Defender,Left,France,FR,1990-02-13,France,36,187.0,83.0,2017-08-31,False
57328,Nathaniel Clyne,Nathaniel,Clyne,17,Defender,Right,England,GB-ENG,1991-04-05,,35,175.0,67.0,2020-10-14,False
19419,Gary Cahill,Gary,Cahill,24,Defender,Right,England,GB-ENG,1985-12-19,England,40,193.0,86.0,2019-08-05,False
244723,Tyrick Mitchell,Tyrick,Mitchell,27,Defender,,England,GB-ENG,1999-09-01,,26,,,2019-12-15,False
58786,Martin Kelly,Martin,Kelly,34,Defender,Right,England,GB-ENG,1990-04-27,,36,191.0,77.0,2014-08-14,False
221272,Sam Woods,Sam,Woods,35,Defender,Right,England,GB-ENG,1998-09-11,,27,,,2018-07-01,False
232423,Nathan Ferguson,Nathan,Ferguson,36,Defender,,England,GB-ENG,2000-10-06,England,25,178.0,74.0,2020-07-27,False
223824,Reece Hannam,Reece,Hannam,38,Defender,,England,GB-ENG,2000-09-11,,25,,,2021-02-27,False
66975,Luka Milivojevic,Luka,Milivojevic,4,Midfielder,Right,Serbia,RS,1991-04-07,Yugoslavia,35,186.0,80.0,2017-01-31,False
55037,Cheikhou Kouyaté,Cheikhou,Kouyaté,8,Midfielder,Right,Senegal,SN,1989-12-21,Senegal,36,189.0,83.0,2018-08-01,False
60252,Andros Townsend,Andros,Townsend,10,Midfielder,Left,England,GB-ENG,1991-07-16,England,34,181.0,77.0,2016-07-01,False
86417,Jeffrey Schlupp,Jeffrey,Schlupp,15,Midfielder,Left,Ghana,GH,1992-12-23,Germany,33,178.0,72.0,2017-01-13,False
50471,James McArthur,James,McArthur,18,Midfielder,Both,Scotland,GB-SCT,1987-10-07,,38,178.0,75.0,2014-09-01,False
50472,James McCarthy,James,McCarthy,22,Midfielder,Right,Ireland,IE,1990-11-12,,35,180.0,72.0,2019-08-07,False
232413,Eberechi Eze,Eberechi,Eze,25,Midfielder,,England,GB-ENG,1998-06-29,,27,,,2020-08-28,False
450542,Jesurun Rak-Sakyi,Jesurun,Rak-Sakyi,39,Midfielder,,England,GB-ENG,2002-10-05,,23,,,2021-04-09,False
173954,Jairo Riedewald,Jairo,Riedewald,44,Midfielder,Left,Netherlands,NL,1996-09-09,Netherlands,29,182.0,79.0,2017-07-24,False
80146,Jordan Ayew,Jordan,Ayew,9,Forward,Right,Ghana,GH,1991-09-11,France,34,182.0,80.0,2019-07-25,False
82403,Wilfried Zaha,Wilfried,Zaha,11,Forward,Right,Cote d’Ivoire,CI,1992-11-10,Côte d'Ivoire,33,180.0,66.0,2015-02-02,False
231747,Jean-Philippe Mateta,Jean-Philippe,Mateta,14,Forward,,France,FR,1997-06-28,France,28,192.0,88.0,2021-01-21,True
54861,Christian Benteke,Christian,Benteke,20,Forward,Right,Belgium,BE,1990-12-03,Congo DR,35,190.0,83.0,2016-08-20,False
59125,Connor Wickham,Connor,Wickham,21,Forward,Right,England,GB-ENG,1993-03-31,,33,191.0,90.0,2015-08-03,False
94245,Michy Batshuayi,Michy,Batshuayi,23,Forward,Right,Belgium,BE,1993-10-02,Belgium,32,184.0,76.0,2020-09-10,True
