playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,groundDuelsLost,homeGoals,oboxTarget,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,successfulDribbles,blocks,totalFoulsConceded,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,foulWonPenalty,penaltiesConceded,headedGoals,goalAssists,unsuccessfulLayoffs,hitWoodwork,clearancesOffTheLine,handballsConceded,penaltiesTaken,leftFootGoals,penaltyGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,setPiecesGoals
80201,Bernd Leno,Goalkeeper,Fulham,Germany,2025-26,1.0,0.0391,0.0,28.0,4.0,36.0,3.0,38.0,38.0,316.0,1394.0,203.0,2.0,22.0,9.0,4.0,3420.0,1.0,28.0,6.0,2.0,7.0,905.0,30.0,3.0,44.9768,1.0,59.0,45.0,51.0,359.0,98.0,6.0,0.0,29.0,1.0,5.0,693.0,318.0,38.0,2.0,1.0,3.0,2.0,99.0,45.0,7.0,21.0,0.0,288.0,1093.0,1.0,329.0,1.0,94.0,25.0,342.0,1.0,173.0,1.0,1776.0,176.0,979.0,61.0,3.0,313.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86873,Benjamin Lecomte,Goalkeeper,Fulham,France,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505079,Alfie McNally,Goalkeeper,Fulham U21,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167074,Kenny Tete,Defender,Fulham,Netherlands,2025-26,87.0,1.4208,0.0,,65.0,,97.0,22.0,21.0,138.0,886.0,,,45.0,5.0,,1794.0,18.0,131.0,2.0,37.0,104.0,712.0,,3.0,22.9496,,6.0,68.0,25.0,77.0,,31.0,0.0,218.0,14.0,,353.0,82.0,22.0,,,27.0,1.0,341.0,23.0,173.0,27.0,0.0,,870.0,7.0,237.0,38.0,,,293.0,27.0,36.0,163.0,1407.0,20.0,420.0,,2.0,41.0,64.0,13.0,6.0,3.0,2.0,0.4984,10.0,1.0,1.0,21.0,1.0,1.0,1.0,2.0,1.0,1.0,13.0,1.0,1.0,24.0,26.0,11.0,4.0,69.0,0.0,1.0,1.0,14.0,21.0,30.0,4.0,7.0,8.0,6.0,27.0,128.0,6.0,2.0,8.0,0.9581,,,,,,,,,,,,,,,,,,
232892,Calvin Bassey,Defender,Fulham,Nigeria,2025-26,94.0,0.3854,0.0,,62.0,,111.0,30.0,28.0,209.0,1706.0,72.0,,72.0,7.0,,2532.0,33.0,151.0,6.0,41.0,112.0,1441.0,,3.0,34.7384,,8.0,99.0,40.0,680.0,,40.0,0.0,245.0,21.0,,584.0,119.0,30.0,,,26.0,2.0,468.0,34.0,173.0,39.0,0.0,72.0,1578.0,3.0,280.0,36.0,,,326.0,22.0,56.0,116.0,2130.0,40.0,1032.0,,5.0,98.0,68.0,3.0,6.0,2.0,,1.273,7.0,,1.0,11.0,1.0,1.0,1.0,3.0,2.0,,3.0,1.0,1.0,19.0,2.0,10.0,3.0,61.0,0.0,,,10.0,11.0,27.0,3.0,5.0,10.0,21.0,28.0,24.0,,3.0,10.0,1.7156,1.0,1.0,1.0,,,,,,,,,,,,,,,
174874,Joachim Andersen,Defender,Fulham,Denmark,2025-26,82.0,1.822,1.0,,45.0,,121.0,33.0,33.0,317.0,2275.0,13.0,,110.0,8.0,,2877.0,31.0,141.0,4.0,17.0,62.0,1792.0,,3.0,38.2161,,23.0,229.0,44.0,451.0,,13.0,0.0,223.0,5.0,,783.0,114.0,33.0,,,18.0,1.0,641.0,40.0,113.0,79.0,1.0,11.0,2162.0,6.0,352.0,27.0,2.0,,906.0,36.0,166.0,135.0,2749.0,90.0,1321.0,,7.0,196.0,83.0,4.0,3.0,4.0,,0.7944,13.0,,1.0,11.0,,,,,,2.0,4.0,2.0,2.0,35.0,,6.0,3.0,51.0,,2.0,,1.0,11.0,4.0,3.0,9.0,6.0,19.0,31.0,20.0,1.0,,11.0,1.483,,,,1.0,1.0,1.0,,,,,,,,,,,,
246301,Jorge Cuenca,Defender,Fulham,Spain,2025-26,32.0,0.5598,0.0,,16.0,,25.0,15.0,11.0,73.0,626.0,33.0,,32.0,2.0,,938.0,15.0,36.0,,11.0,19.0,527.0,,1.0,9.3802,,5.0,75.0,11.0,232.0,,1.0,0.0,68.0,5.0,,225.0,40.0,15.0,,,7.0,2.0,150.0,11.0,36.0,17.0,0.0,33.0,582.0,1.0,81.0,9.0,,,114.0,16.0,26.0,55.0,774.0,27.0,404.0,,6.0,48.0,23.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,4.0,,1.0,,,6.0,,3.0,,17.0,,,,3.0,1.0,3.0,,1.0,2.0,10.0,10.0,1.0,4.0,,3.0,0.0501,,,,,,,,,,,,,,,,,,
166477,Timothy Castagne,Defender,Fulham,Belgium,2025-26,60.0,1.4603,0.0,,40.0,,83.0,30.0,20.0,109.0,796.0,,,59.0,3.0,,1842.0,32.0,81.0,4.0,33.0,54.0,654.0,,1.0,27.8075,,7.0,65.0,31.0,65.0,,11.0,0.0,141.0,13.0,,247.0,56.0,30.0,,,16.0,2.0,309.0,27.0,82.0,27.0,0.0,,788.0,7.0,177.0,24.0,,,330.0,31.0,33.0,154.0,1216.0,18.0,393.0,,4.0,26.0,49.0,15.0,5.0,6.0,1.0,1.1263,9.0,,3.0,33.0,,1.0,,,10.0,,15.0,6.0,6.0,41.0,7.0,18.0,5.0,28.0,,,,3.0,33.0,5.0,5.0,3.0,3.0,10.0,18.0,123.0,4.0,,8.0,1.4159,1.0,,,,,,1.0,,,,,,,,,,,
219924,Issa Diop,Defender,Fulham,Morocco,2025-26,21.0,0.0519,0.0,,6.0,,31.0,13.0,8.0,61.0,494.0,,,25.0,,,814.0,10.0,25.0,3.0,8.0,10.0,418.0,,,11.7843,,8.0,42.0,13.0,122.0,,3.0,1.0,46.0,3.0,,178.0,19.0,13.0,,,2.0,,129.0,10.0,21.0,15.0,0.0,,487.0,,73.0,4.0,,,157.0,6.0,15.0,37.0,589.0,12.0,304.0,,2.0,30.0,22.0,,,1.0,,0.9803,2.0,,,1.0,1.0,,0.0,,5.0,,,,,7.0,,,,11.0,1.0,,,,1.0,,,1.0,1.0,7.0,9.0,,2.0,,1.0,0.8007,,,1.0,,,,,1.0,,,,,,,,,,
169528,Antonee Robinson,Defender,Fulham,United States,2025-26,65.0,1.5702,0.0,,48.0,,117.0,22.0,17.0,160.0,800.0,,,30.0,4.0,,1492.0,12.0,87.0,2.0,47.0,69.0,607.0,,,20.3016,,3.0,55.0,19.0,340.0,,9.0,0.0,152.0,17.0,,282.0,98.0,22.0,,,18.0,,328.0,17.0,122.0,18.0,0.0,,788.0,15.0,306.0,30.0,,,35.0,29.0,33.0,143.0,1292.0,23.0,326.0,,5.0,43.0,67.0,14.0,4.0,1.0,1.0,0.7573,2.0,1.0,,63.0,1.0,2.0,1.0,3.0,5.0,,14.0,,,28.0,38.0,22.0,1.0,53.0,0.0,,,9.0,63.0,16.0,1.0,1.0,12.0,3.0,15.0,115.0,5.0,3.0,12.0,1.0668,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
