matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2128289,1,2020-09-12 17:30:00,"Anfield, Liverpool",,Away,Leeds,Liverpool,3,4,L,2,3,0,0,3.0,6.0,3.0,1.0,2.0,,,,,2.0,3.0,3.0,15.0,44.0,459.0,347.0,51.2,14.0,34.0,20.0,12.0,34.0,34.0,13.0,12.0,,,19.0,9.0,163.0,3.0,4.0,,,64.0,51.0,12.0,14.0,,,,6.0,9.0,0.0,0.0,,,5.0
2128300,2,2020-09-19 15:00:00,"Elland Road, Leeds",,Home,Leeds,Fulham,4,3,W,2,1,0,0,4.0,10.0,7.0,2.0,1.0,,1.0,,,2.0,7.0,5.0,27.0,52.0,444.0,337.0,50.3,19.0,22.0,17.0,10.0,11.0,11.0,20.0,3.0,,,20.0,13.0,174.0,3.0,3.0,,,69.0,70.0,18.0,20.0,5.0,5.0,1.0,13.0,17.0,0.0,0.0,1.0,1.0,3.0
2128312,3,2020-09-27 12:00:00,"Bramall Lane, Sheffield",,Away,Leeds,Sheff Utd,1,0,W,0,0,0,0,1.0,17.0,9.0,5.0,3.0,2.0,1.0,1.0,,1.0,16.0,11.0,41.0,50.0,578.0,470.0,63.7,22.0,13.0,7.0,7.0,10.0,10.0,22.0,5.0,1.0,,12.0,16.0,170.0,4.0,,1.0,,60.0,62.0,25.0,23.0,7.0,7.0,1.0,4.0,15.0,0.0,0.0,,,1.0
2128320,4,2020-10-03 17:30:00,"Elland Road, Leeds",,Home,Leeds,Man City,1,1,D,0,1,0,0,1.0,12.0,7.0,2.0,3.0,3.0,1.0,4.0,2.0,,9.0,7.0,20.0,37.0,429.0,356.0,52.1,23.0,27.0,14.0,9.0,19.0,19.0,15.0,8.0,4.0,,22.0,5.0,117.0,1.0,1.0,,,55.0,57.0,6.0,13.0,7.0,7.0,,11.0,12.0,0.0,0.0,,,2.0
2128329,5,2020-10-19 20:00:00,"Elland Road, Leeds",,Home,Leeds,Wolves,0,1,L,0,0,0,0,,13.0,2.0,7.0,4.0,1.0,,1.0,,,10.0,3.0,50.0,67.0,553.0,461.0,67.8,35.0,14.0,8.0,12.0,5.0,5.0,8.0,3.0,,,14.0,6.0,147.0,2.0,1.0,,,41.0,61.0,10.0,20.0,8.0,8.0,1.0,13.0,11.0,0.0,0.0,,,1.0
2128337,6,2020-10-23 20:00:00,"Villa Park, Birmingham",,Away,Leeds,Aston Villa,3,0,W,0,0,0,0,3.0,27.0,9.0,13.0,5.0,2.0,1.0,2.0,,2.0,22.0,11.0,38.0,62.0,445.0,367.0,59.2,46.0,14.0,4.0,12.0,12.0,12.0,13.0,4.0,2.0,,12.0,8.0,131.0,3.0,,1.0,,46.0,60.0,13.0,17.0,5.0,5.0,,17.0,14.0,0.0,0.0,,,
2128349,7,2020-11-02 20:00:00,"Elland Road, Leeds",,Home,Leeds,Leicester,1,4,L,0,2,0,0,1.0,11.0,4.0,5.0,2.0,3.0,,3.0,1.0,1.0,8.0,5.0,42.0,68.0,639.0,541.0,67.5,25.0,19.0,9.0,7.0,11.0,11.0,14.0,1.0,,1.0,9.0,14.0,164.0,4.0,4.0,,,51.0,45.0,17.0,7.0,10.0,10.0,,9.0,5.0,0.0,0.0,,,2.0
2128359,8,2020-11-07 15:00:00,"Selhurst Park, London",,Away,Leeds,Crystal Palace,1,4,L,1,3,0,0,1.0,9.0,3.0,4.0,2.0,1.0,1.0,,,1.0,7.0,4.0,36.0,68.0,599.0,493.0,64.8,21.0,25.0,15.0,14.0,11.0,11.0,18.0,2.0,,1.0,8.0,8.0,167.0,3.0,4.0,,1.0,55.0,53.0,14.0,15.0,6.0,6.0,,16.0,8.0,0.0,0.0,,,1.0
2128369,9,2020-11-22 16:30:00,"Elland Road, Leeds",,Home,Leeds,Arsenal,0,0,D,0,0,0,1,,25.0,4.0,16.0,5.0,2.0,,2.0,3.0,,16.0,6.0,50.0,64.0,610.0,519.0,66.3,36.0,18.0,8.0,9.0,14.0,14.0,6.0,1.0,,,14.0,8.0,129.0,2.0,,1.0,,41.0,44.0,11.0,11.0,5.0,5.0,1.0,9.0,8.0,0.0,0.0,,,
2128380,10,2020-11-28 17:30:00,"Goodison Park, Liverpool",,Away,Leeds,Everton,1,0,W,0,0,0,0,1.0,23.0,6.0,11.0,6.0,5.0,,5.0,1.0,1.0,18.0,11.0,24.0,54.0,542.0,453.0,58.2,37.0,19.0,8.0,4.0,11.0,11.0,13.0,1.0,1.0,,13.0,10.0,148.0,8.0,,1.0,,46.0,62.0,13.0,16.0,2.0,2.0,,14.0,8.0,0.0,0.0,,,6.0
