matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2292814,1,2022-08-06 15:00:00,"Elland Road, Leeds",36347.0,Home,Leeds,Wolves,2,1,W,1,1,0,0,2.0,12.0,4.0,5.0,3.0,,,2.0,,2.0,,,1.0,10.0,6.0,27.0,52.0,355.0,269.0,40.1,28.0,21.0,14.0,14.0,22.0,22.0,10.0,3.0,,,25.0,10.0,135.0,5.0,1.0,,,,45.0,61.0,9.0,7.0,6.0,6.0,1.0,13.0,8.0,0.0,0.0,,,
2292828,2,2022-08-13 15:00:00,"St. Mary's Stadium, Southampton",30815.0,Away,Leeds,Southampton,2,2,D,0,0,0,0,2.0,13.0,5.0,4.0,4.0,,,3.0,2.0,1.0,,,2.0,12.0,8.0,22.0,58.0,454.0,336.0,57.4,20.0,27.0,20.0,10.0,20.0,20.0,21.0,3.0,,,17.0,10.0,168.0,2.0,2.0,,,,65.0,62.0,23.0,17.0,5.0,5.0,,12.0,9.0,0.0,0.0,,,1.0
2292834,3,2022-08-21 14:00:00,"Elland Road, Leeds",36372.0,Home,Leeds,Chelsea,3,0,W,2,0,0,1,3.0,12.0,6.0,4.0,2.0,,,2.0,2.0,1.0,,,2.0,9.0,6.0,18.0,44.0,318.0,227.0,39.1,15.0,26.0,14.0,16.0,14.0,14.0,16.0,5.0,,,13.0,10.0,133.0,3.0,,,1.0,,58.0,72.0,10.0,21.0,4.0,4.0,1.0,16.0,15.0,0.0,0.0,,,1.0
2292843,4,2022-08-27 15:00:00,"American Express Stadium, Falmer",30953.0,Away,Leeds,Brighton,0,1,L,0,0,0,0,,10.0,2.0,3.0,5.0,,,,,1.0,,,,7.0,5.0,24.0,59.0,475.0,359.0,57.2,13.0,22.0,12.0,16.0,16.0,16.0,15.0,1.0,,,7.0,9.0,156.0,3.0,1.0,,,,53.0,48.0,10.0,14.0,3.0,3.0,1.0,14.0,10.0,0.0,0.0,,,1.0
2292854,5,2022-08-30 20:00:00,"Elland Road, Leeds",36338.0,Home,Leeds,Everton,1,1,D,0,1,0,0,1.0,14.0,5.0,8.0,1.0,,,1.0,,2.0,,,1.0,12.0,4.0,43.0,77.0,644.0,535.0,69.1,30.0,25.0,13.0,11.0,12.0,12.0,7.0,3.0,,1.0,6.0,14.0,190.0,1.0,1.0,,,,70.0,53.0,24.0,12.0,10.0,10.0,,10.0,9.0,0.0,0.0,,,2.0
2292861,6,2022-09-03 15:00:00,"Gtech Community Stadium, Brentford",,Away,Leeds,Brentford,2,5,L,1,2,0,0,2.0,17.0,6.0,7.0,4.0,,,3.0,1.0,3.0,,,1.0,12.0,7.0,27.0,79.0,488.0,402.0,68.9,25.0,24.0,17.0,3.0,13.0,13.0,13.0,1.0,1.0,1.0,13.0,11.0,149.0,3.0,5.0,,,,59.0,63.0,11.0,17.0,6.0,6.0,,9.0,8.0,0.0,0.0,,,1.0
2292874,7,2023-04-04 19:45:00,"Elland Road, Leeds",36740.0,Home,Leeds,Nott'm Forest,2,1,W,2,1,0,0,2.0,21.0,6.0,6.0,9.0,,,1.0,1.0,1.0,,,1.0,17.0,13.0,41.0,78.0,494.0,401.0,62.4,41.0,15.0,9.0,10.0,21.0,21.0,13.0,7.0,,,10.0,7.0,159.0,,1.0,,,,65.0,54.0,23.0,15.0,11.0,11.0,1.0,11.0,12.0,0.0,0.0,,,3.0
2292885,8,2023-02-08 20:00:00,"Old Trafford, Manchester",73456.0,Away,Leeds,Man Utd,2,2,D,1,0,0,0,2.0,8.0,2.0,4.0,2.0,,,1.0,,1.0,1.0,,1.0,5.0,3.0,16.0,51.0,326.0,210.0,34.1,20.0,30.0,20.0,16.0,30.0,30.0,20.0,9.0,,,17.0,10.0,163.0,5.0,2.0,,,,58.0,60.0,14.0,14.0,5.0,5.0,,11.0,7.0,0.0,0.0,,,
2292894,9,2022-10-02 16:30:00,"Elland Road, Leeds",36582.0,Home,Leeds,Aston Villa,0,0,D,0,0,1,0,,6.0,1.0,2.0,3.0,,,,,,,,,5.0,3.0,23.0,44.0,375.0,270.0,43.8,16.0,12.0,9.0,6.0,23.0,23.0,7.0,5.0,,,10.0,10.0,148.0,6.0,,,1.0,,46.0,71.0,16.0,22.0,2.0,2.0,,23.0,12.0,0.0,0.0,,,
2292904,10,2022-10-09 14:00:00,"Selhurst Park, London",25042.0,Away,Leeds,Crystal Palace,1,2,L,1,1,0,0,1.0,10.0,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,8.0,6.0,35.0,51.0,345.0,222.0,45.5,24.0,29.0,13.0,10.0,12.0,12.0,27.0,3.0,,,7.0,10.0,171.0,3.0,2.0,,,,63.0,63.0,13.0,15.0,3.0,3.0,,23.0,13.0,0.0,0.0,,,2.0
2292913,11,2022-10-16 14:00:00,"Elland Road, Leeds",36700.0,Home,Leeds,Arsenal,0,1,L,0,1,0,0,,16.0,4.0,5.0,7.0,1.8551,1.2964,1.0,,3.0,,0.812134,,11.0,8.0,32.0,64.0,428.0,334.0,47.0,26.0,25.0,14.0,13.0,5.0,5.0,8.0,2.0,,,16.0,8.0,146.0,3.0,1.0,1.0387,,,53.0,53.0,13.0,10.0,6.0,6.0,,10.0,9.0,0.0,0.0,1.0,,4.0
2292926,12,2022-10-20 20:15:00,"King Power Stadium, Leicester",30814.0,Away,Leeds,Leicester,0,2,L,0,2,0,0,,14.0,2.0,8.0,4.0,,,1.0,,1.0,1.0,,,11.0,5.0,26.0,50.0,518.0,406.0,53.2,25.0,30.0,16.0,12.0,14.0,14.0,23.0,3.0,1.0,,5.0,14.0,165.0,,2.0,,,1.0,60.0,48.0,12.0,6.0,9.0,9.0,3.0,11.0,14.0,0.0,0.0,,,2.0
