matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2561904,1,2025-08-18 20:00:00,"Elland Road, Leeds",36820,Home,Leeds,Everton,1,0,W,0,0,0,0,1.0,21.0,3.0,7.0,11.0,2.132,1.0712,1.0,1.0,2.0,,0.839977,,12.0,6.0,32.0,57.0,481.0,401.0,54.4,28.0,15.0,7.0,9.0,30.0,30.0,6.0,3.0,,,6.0,7.0,131.0,1.0,0.0,0.1047,1.0,0.0,45.0,47.0,18.0,19.0,7.0,7.0,,6.0,7.0,0.0,0.0,1.0,1.0,1.0,110507.56
2561906,2,2025-08-23 17:30:00,"Emirates Stadium, London",60110,Away,Leeds,Arsenal,0,5,L,0,2,0,0,0.0,3.0,1.0,,2.0,0.1666,0.1446,,,,,0.127854,,3.0,3.0,6.0,17.0,290.0,219.0,32.5,6.0,18.0,12.0,6.0,20.0,20.0,3.0,3.0,1.0,,12.0,5.0,99.0,,5.0,2.7748,,0.0,34.0,47.0,4.0,13.0,2.0,2.0,,11.0,8.0,0.0,0.0,,0.0,,108252.64
2561918,3,2025-08-30 17:30:00,"Elland Road, Leeds",36727,Home,Leeds,Newcastle,0,0,D,0,0,0,0,0.0,10.0,1.0,6.0,3.0,0.6877,0.0926,1.0,,1.0,,0.342263,,9.0,4.0,23.0,49.0,414.0,328.0,43.0,19.0,18.0,14.0,13.0,18.0,18.0,8.0,3.0,,,5.0,5.0,128.0,2.0,0.0,0.1351,1.0,0.0,47.0,37.0,8.0,12.0,5.0,5.0,,10.0,15.0,0.0,0.0,,0.0,1.0,118041.74
2561931,4,2025-09-13 15:00:00,"Craven Cottage, London",27327,Away,Leeds,Fulham,0,1,L,0,0,0,0,0.0,10.0,3.0,3.0,4.0,0.7898,0.516,1.0,,1.0,1.0,0.621961,,4.0,3.0,24.0,54.0,388.0,313.0,46.0,21.0,18.0,11.0,7.0,30.0,30.0,8.0,,,,6.0,12.0,130.0,3.0,1.0,0.8843,,1.0,60.0,59.0,20.0,14.0,3.0,3.0,,15.0,20.0,0.0,0.0,,0.0,3.0,109940.55
2561944,5,2025-09-20 15:00:00,"Molineux Stadium, Wolverhampton",30807,Away,Leeds,Wolves,3,1,W,3,1,0,0,3.0,6.0,4.0,2.0,,0.4807,1.5445,1.0,1.0,,,0.448277,1.0,2.0,1.0,14.0,43.0,416.0,351.0,44.1,13.0,20.0,13.0,7.0,49.0,49.0,8.0,3.0,,,9.0,15.0,132.0,5.0,1.0,1.3063,,0.0,57.0,75.0,18.0,29.0,,,,9.0,11.0,0.0,0.0,,0.0,2.0,117853.77
2561950,6,2025-09-27 15:00:00,"Elland Road, Leeds",36574,Home,Leeds,Bournemouth,2,2,D,1,1,0,0,2.0,19.0,8.0,5.0,6.0,1.8354,2.044,3.0,,3.0,,0.66012,1.0,13.0,9.0,29.0,48.0,357.0,280.0,41.4,35.0,27.0,16.0,9.0,25.0,25.0,11.0,3.0,,,11.0,14.0,127.0,3.0,2.0,1.3132,,0.0,65.0,63.0,18.0,19.0,7.0,7.0,,12.0,13.0,0.0,0.0,,0.0,,115502.12
2561961,7,2025-10-04 12:30:00,"Elland Road, Leeds",36703,Home,Leeds,Spurs,1,2,L,1,1,0,0,1.0,16.0,4.0,10.0,2.0,1.6781,1.6614,3.0,1.0,3.0,1.0,0.885357,,14.0,5.0,33.0,65.0,478.0,401.0,56.5,22.0,19.0,11.0,6.0,25.0,25.0,7.0,2.0,1.0,1.0,10.0,8.0,131.0,1.0,2.0,0.5996,,0.0,48.0,44.0,14.0,10.0,4.0,4.0,3.0,10.0,12.0,0.0,0.0,,0.0,1.0,112983.98
2561966,8,2025-10-18 15:00:00,"Turf Moor, Burnley",21646,Away,Leeds,Burnley,0,2,L,0,1,0,0,0.0,19.0,4.0,12.0,3.0,2.6255,0.5051,4.0,,4.0,1.0,1.53346,,16.0,5.0,48.0,61.0,615.0,526.0,68.9,44.0,13.0,6.0,12.0,12.0,12.0,10.0,,,,2.0,8.0,147.0,1.0,2.0,1.2079,,0.0,54.0,40.0,25.0,18.0,5.0,5.0,,7.0,10.0,0.0,0.0,,0.0,,112242.11
2561981,9,2025-10-24 20:00:00,"Elland Road, Leeds",36788,Home,Leeds,West Ham,2,1,W,2,0,0,0,2.0,13.0,5.0,5.0,3.0,1.4876,1.4603,2.0,2.0,1.0,1.0,0.799294,1.0,9.0,6.0,15.0,38.0,373.0,302.0,40.9,10.0,21.0,13.0,13.0,39.0,39.0,8.0,3.0,,,6.0,8.0,114.0,2.0,1.0,1.0311,,0.0,52.0,57.0,15.0,26.0,3.0,3.0,,12.0,11.0,0.0,0.0,,0.0,1.0,123194.39
2561985,10,2025-11-01 15:00:00,"American Express Stadium, Falmer",31512,Away,Leeds,Brighton,0,3,L,0,1,0,0,0.0,5.0,2.0,2.0,1.0,0.497,0.8837,1.0,,1.0,,0.521134,,4.0,3.0,19.0,35.0,486.0,423.0,50.2,18.0,12.0,8.0,6.0,19.0,19.0,3.0,2.0,1.0,1.0,9.0,11.0,119.0,4.0,3.0,4.4765,,0.0,43.0,49.0,10.0,10.0,7.0,7.0,1.0,7.0,10.0,0.0,0.0,,0.0,1.0,113033.34
2562001,11,2025-11-09 14:00:00,"The City Ground, Nottingham",30708,Away,Leeds,Nott'm Forest,1,3,L,1,1,0,0,1.0,10.0,3.0,5.0,2.0,0.6871,0.926,1.0,,1.0,,0.312567,1.0,5.0,3.0,20.0,64.0,435.0,353.0,54.5,20.0,15.0,10.0,9.0,28.0,28.0,6.0,5.0,,,7.0,9.0,143.0,3.0,3.0,3.4153,,0.0,49.0,58.0,19.0,13.0,4.0,4.0,1.0,11.0,10.0,0.0,0.0,,0.0,1.0,113130.77
2562010,12,2025-11-23 14:00:00,"Elland Road, Leeds",36819,Home,Leeds,Aston Villa,1,2,L,1,0,0,0,1.0,14.0,5.0,5.0,4.0,1.791,1.7132,2.0,1.0,2.0,,0.795231,,12.0,8.0,28.0,62.0,400.0,339.0,47.9,24.0,26.0,16.0,12.0,21.0,21.0,8.0,3.0,,,12.0,7.0,132.0,2.0,2.0,0.4638,,0.0,62.0,61.0,11.0,15.0,3.0,3.0,5.0,18.0,16.0,0.0,0.0,,0.0,4.0,112971.89
2562020,13,2025-11-29 15:00:00,"Etihad Stadium, Manchester",52483,Away,Leeds,Man City,2,3,L,0,2,0,0,2.0,9.0,4.0,3.0,2.0,1.5366,2.2884,,2.0,1.0,,0.571254,,3.0,1.0,23.0,42.0,348.0,265.0,38.3,20.0,26.0,14.0,8.0,21.0,21.0,7.0,6.0,,,7.0,3.0,132.0,6.0,3.0,3.6775,,0.0,64.0,44.0,18.0,20.0,1.0,1.0,5.0,11.0,17.0,0.0,0.0,1.0,0.0,4.0,113461.66
2562030,14,2025-12-03 20:15:00,"Elland Road, Leeds",36767,Home,Leeds,Chelsea,3,1,W,2,0,0,0,3.0,17.0,5.0,10.0,2.0,2.786,2.5276,1.0,1.0,1.0,,0.463006,2.0,9.0,3.0,25.0,55.0,264.0,186.0,28.9,20.0,21.0,15.0,9.0,32.0,32.0,10.0,5.0,,,8.0,8.0,130.0,1.0,1.0,0.7723,,0.0,51.0,51.0,14.0,18.0,4.0,4.0,,10.0,12.0,0.0,0.0,,0.0,3.0,119766.25
2562040,15,2025-12-06 17:30:00,"Elland Road, Leeds",36842,Home,Leeds,Liverpool,3,3,D,0,0,0,0,3.0,12.0,5.0,5.0,2.0,1.506,2.0707,,2.0,,,0.433051,1.0,8.0,4.0,29.0,65.0,402.0,321.0,44.7,19.0,9.0,6.0,10.0,19.0,19.0,15.0,4.0,1.0,1.0,6.0,10.0,133.0,4.0,3.0,3.6922,,0.0,43.0,55.0,17.0,19.0,5.0,5.0,1.0,14.0,14.0,0.0,0.0,1.0,1.0,2.0,115203.07
