matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
442002,1,2012-08-19 16:00:00,"Etihad Stadium, Manchester",46190,Home,Man City,Southampton,3,2,W,1,0,0,0,3.0,23.0,8.0,6.0,9.0,6.0,3.0,5.0,1.0,2.0,14.0,8.0,26.0,79.0,689.0,630.0,64.1,,19.0,10.0,17.0,16.0,6.0,5.0,,1.0,1.0,16.0,126.0,,2.0,,,38.0,37.0,8.0,7.0,7.0,7.0,,4.0,7.0,0.0,0.0,1.0,,2.0
442011,2,2012-08-26 16:00:00,"Anfield, Liverpool",44942,Away,Man City,Liverpool,2,2,D,0,1,0,0,2.0,11.0,3.0,5.0,3.0,,2.0,,,,6.0,3.0,13.0,68.0,484.0,407.0,51.3,,26.0,20.0,10.0,41.0,22.0,5.0,3.0,,5.0,15.0,155.0,,2.0,,,63.0,48.0,17.0,18.0,4.0,4.0,,8.0,10.0,0.0,0.0,,,1.0
442021,3,2012-09-01 17:30:00,"Etihad Stadium, Manchester",45579,Home,Man City,QPR,3,1,W,1,0,0,0,3.0,18.0,7.0,5.0,6.0,2.0,1.0,1.0,1.0,2.0,14.0,9.0,25.0,75.0,634.0,565.0,59.9,,19.0,16.0,10.0,31.0,13.0,3.0,1.0,1.0,5.0,17.0,148.0,,1.0,,,48.0,49.0,19.0,11.0,8.0,8.0,,12.0,3.0,0.0,0.0,,,3.0
442037,4,2012-09-15 15:00:00,"bet365 Stadium, Stoke",27101,Away,Man City,Stoke,1,1,D,1,1,0,0,1.0,15.0,8.0,3.0,4.0,1.0,,2.0,1.0,1.0,11.0,9.0,23.0,74.0,585.0,493.0,66.2,,20.0,18.0,7.0,24.0,10.0,1.0,,,5.0,16.0,156.0,1.0,1.0,,,56.0,56.0,14.0,17.0,5.0,5.0,1.0,12.0,12.0,0.0,0.0,,,1.0
442041,5,2012-09-23 16:00:00,"Etihad Stadium, Manchester",47318,Home,Man City,Arsenal,1,1,D,1,0,0,0,1.0,15.0,6.0,5.0,4.0,2.0,1.0,2.0,,1.0,10.0,9.0,34.0,50.0,439.0,345.0,41.2,26.0,38.0,29.0,16.0,22.0,11.0,2.0,1.0,1.0,12.0,16.0,147.0,3.0,1.0,,,69.0,63.0,17.0,17.0,9.0,9.0,1.0,12.0,8.0,0.0,0.0,,,1.0
442052,6,2012-09-29 15:00:00,"Craven Cottage, London",25698,Away,Man City,Fulham,2,1,W,1,1,0,0,2.0,23.0,7.0,9.0,7.0,,1.0,1.0,,,17.0,9.0,30.0,94.0,726.0,646.0,71.1,,13.0,11.0,12.0,16.0,11.0,1.0,,,2.0,12.0,134.0,,1.0,,,37.0,43.0,9.0,14.0,4.0,4.0,,12.0,8.0,0.0,0.0,,,2.0
442061,7,2012-10-06 12:45:00,"Etihad Stadium, Manchester",47036,Home,Man City,Sunderland,3,0,W,1,0,0,0,3.0,28.0,9.0,12.0,7.0,1.0,,3.0,1.0,1.0,16.0,7.0,23.0,65.0,529.0,460.0,60.5,,15.0,11.0,8.0,29.0,22.0,2.0,1.0,,2.0,12.0,137.0,,,1.0,,57.0,44.0,22.0,14.0,15.0,15.0,,12.0,11.0,0.0,0.0,,,2.0
442077,8,2012-10-20 15:00:00,"The Hawthorns, West Bromwich",24891,Away,Man City,West Brom,2,1,W,0,0,1,0,2.0,24.0,8.0,9.0,7.0,3.0,1.0,2.0,,2.0,19.0,12.0,14.0,55.0,451.0,402.0,56.1,,10.0,9.0,12.0,32.0,11.0,4.0,,,7.0,10.0,119.0,,1.0,,,40.0,56.0,8.0,16.0,9.0,9.0,3.0,16.0,11.0,0.0,0.0,,,1.0
442083,9,2012-10-27 17:30:00,"Etihad Stadium, Manchester",46801,Home,Man City,Swansea,1,0,W,0,0,0,0,1.0,11.0,4.0,6.0,1.0,1.0,,1.0,,1.0,9.0,5.0,23.0,81.0,599.0,511.0,53.7,,21.0,16.0,18.0,20.0,8.0,4.0,2.0,,5.0,10.0,145.0,,,1.0,,50.0,41.0,13.0,11.0,3.0,3.0,,8.0,9.0,0.0,0.0,,,2.0
442098,10,2012-11-03 17:30:00,"Boleyn Ground, London",35005,Away,Man City,West Ham,0,0,D,0,0,0,0,,22.0,5.0,12.0,5.0,2.0,,3.0,,,15.0,6.0,25.0,66.0,570.0,496.0,65.0,,9.0,8.0,6.0,30.0,15.0,1.0,,,3.0,15.0,160.0,,,1.0,,59.0,67.0,28.0,29.0,7.0,7.0,2.0,12.0,11.0,0.0,0.0,,,3.0
