matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855172,1,2016-08-14 13:30:00,"Vitality Stadium, Bournemouth",11355,Away,Man Utd,Bournemouth,3,1,W,1,0,0,0,3.0,11.0,7.0,2.0,2.0,2.0,2.0,2.0,,2.0,8.0,6.0,13.0,42.0,561.0,488.0,52.6,17.0,27.0,18.0,13.0,30.0,27.0,19.0,4.0,1.0,,13.0,8.0,114.0,2.0,1.0,,,50.0,44.0,8.0,8.0,2.0,2.0,,10.0,7.0,0.0,0.0,,,4.0
855184,2,2016-08-19 20:00:00,"Old Trafford, Manchester",75326,Home,Man Utd,Southampton,2,0,W,1,0,0,0,2.0,12.0,5.0,6.0,1.0,,1.0,,,1.0,9.0,5.0,30.0,35.0,408.0,340.0,43.4,24.0,11.0,8.0,14.0,20.0,15.0,20.0,3.0,,,3.0,12.0,128.0,1.0,,1.0,,48.0,44.0,13.0,6.0,4.0,4.0,,11.0,8.0,0.0,0.0,1.0,1.0,2.0
855195,3,2016-08-27 17:30:00,"The MKM Stadium, Hull",24560,Away,Man Utd,Hull,1,0,W,0,0,0,0,1.0,29.0,9.0,12.0,8.0,1.0,1.0,1.0,,1.0,19.0,10.0,58.0,90.0,615.0,542.0,62.1,49.0,14.0,10.0,12.0,7.0,7.0,16.0,2.0,,,5.0,12.0,143.0,2.0,,1.0,,51.0,39.0,15.0,9.0,6.0,7.0,1.0,6.0,9.0,0.0,0.0,,,1.0
855206,4,2016-09-10 12:30:00,"Old Trafford, Manchester",75272,Home,Man Utd,Man City,1,2,L,1,2,0,0,1.0,14.0,3.0,6.0,5.0,2.0,,2.0,,,11.0,5.0,34.0,58.0,376.0,284.0,39.9,26.0,24.0,16.0,23.0,23.0,21.0,24.0,4.0,,,11.0,15.0,160.0,4.0,2.0,,,71.0,61.0,22.0,14.0,4.0,4.0,1.0,15.0,10.0,0.0,0.0,,,3.0
855220,5,2016-09-18 12:00:00,"Vicarage Road, Watford",21118,Away,Man Utd,Watford,1,3,L,0,1,0,0,1.0,15.0,2.0,9.0,4.0,,1.0,1.0,1.0,,7.0,2.0,35.0,60.0,417.0,347.0,60.1,25.0,15.0,13.0,17.0,39.0,35.0,16.0,2.0,1.0,,5.0,14.0,129.0,2.0,3.0,,,58.0,56.0,21.0,16.0,7.0,7.0,1.0,19.0,14.0,0.0,0.0,,,2.0
855226,6,2016-09-24 12:30:00,"Old Trafford, Manchester",75256,Home,Man Utd,Leicester,4,1,W,4,0,0,0,4.0,16.0,7.0,8.0,1.0,3.0,1.0,2.0,,4.0,12.0,8.0,30.0,69.0,712.0,619.0,67.3,25.0,15.0,9.0,20.0,31.0,27.0,11.0,6.0,,,3.0,8.0,141.0,2.0,1.0,,,45.0,39.0,15.0,13.0,8.0,8.0,,9.0,11.0,0.0,0.0,,,4.0
855236,7,2016-10-02 12:00:00,"Old Trafford, Manchester",75251,Home,Man Utd,Stoke,1,1,D,0,0,0,0,1.0,24.0,9.0,7.0,8.0,5.0,,5.0,2.0,,18.0,13.0,52.0,62.0,534.0,468.0,67.2,39.0,22.0,19.0,20.0,35.0,30.0,9.0,,,1.0,5.0,8.0,126.0,5.0,1.0,,,54.0,40.0,13.0,10.0,13.0,13.0,,14.0,9.0,0.0,0.0,,,1.0
855246,8,2016-10-17 20:00:00,"Anfield, Liverpool",52769,Away,Man Utd,Liverpool,0,0,D,0,0,0,0,,7.0,1.0,5.0,1.0,1.0,,1.0,,,5.0,2.0,16.0,69.0,342.0,259.0,35.4,6.0,28.0,20.0,27.0,37.0,34.0,23.0,3.0,,,10.0,11.0,150.0,3.0,,1.0,,88.0,60.0,29.0,8.0,1.0,1.0,,20.0,14.0,0.0,0.0,,,5.0
855255,9,2016-10-23 16:00:00,"Stamford Bridge, London",41424,Away,Man Utd,Chelsea,0,4,L,0,2,0,0,,16.0,5.0,6.0,5.0,,,,,,14.0,9.0,44.0,60.0,556.0,485.0,56.1,22.0,21.0,15.0,19.0,24.0,21.0,21.0,5.0,,1.0,12.0,10.0,127.0,2.0,4.0,,,44.0,54.0,10.0,8.0,7.0,7.0,2.0,17.0,6.0,0.0,0.0,,,3.0
855264,10,2016-10-29 15:00:00,"Old Trafford, Manchester",75325,Home,Man Utd,Burnley,0,0,D,0,0,1,0,,38.0,11.0,8.0,19.0,2.0,,2.0,2.0,,30.0,24.0,66.0,73.0,646.0,573.0,71.9,51.0,7.0,4.0,11.0,25.0,25.0,11.0,1.0,,,1.0,9.0,134.0,1.0,,1.0,,52.0,50.0,25.0,22.0,19.0,19.0,2.0,12.0,7.0,0.0,0.0,,,
