gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,cleanSheet,freekickCross,contentiousDecision,accurateLaunches,goalAssist,totalKeeperSweeper,accurateFreekickCross,attRfGoal,defenderGoals,goalsOpenplay,attMissHigh,overrun,attIboxGoal,goalAssistIntentional,forwardGoals,shotFastbreak,attGoalHighRight,attOboxGoal,totalFastbreak,attSvHighLeft,midfielderGoals,interceptionsInBox,attHdTarget,sixYardBlock,attFastbreak,attGoalHighLeft,shieldBallOop,attHdGoal,handBall,accuratePullBack,attCmissHigh,attSvHighCentre,attObxdLeft,punches,attFreekickMiss,goalAssistSetplay,ptsGainedLosingPos,accurateFlickOn,goalsConcededIbox,postScoringAtt,attIboxPost,hitWoodwork,errorLeadToShot,attPostHigh,goalFastbreak,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attLgLeft,errorLeadToGoal,attPostLeft,attMissHighLeft,attPostRight,attHdPost,attCmissHighLeft,attSvHighRight,penaltyWon,attPenGoal,goalAssistDeadball,attGoalHighCentre,attOboxPost,attPenTarget,foulThrowIn,attFreekickPost,ptsDroppedWinningPos
1,2210279,2021-08-15 16:30:00,"Tottenham Hotspur Stadium, London",58262.0,Away,Manchester City,Tottenham Hotspur,0,1,L,0,0,0,0,1.0,1.0,24.0,59.0,1.0,3.0,9.0,10.0,7.0,5.0,11.0,1.0,3.0,163.0,9.0,4.0,20.0,2.0,13.0,1.0,4.0,154.0,137.0,66.0,1.0,18.0,2.0,14.0,3.0,1.0,6.0,30.0,11.0,1.0,10.0,7.0,6.0,21.0,278.0,1.0,0.0,165.0,8.0,1.0,1.0,1.0,122.0,62.0,7.0,82.0,2.0,24.0,20.0,7.0,1.0,11.0,4.0,137.0,2.0,5.0,149.0,731.0,12.0,2.0,39.0,3.0,443.0,23.0,7.0,1.0,5.0,6.0,17.0,522.0,52.0,1.0,97299,6.0,195.0,3.0,13.0,1.0,218.0,3.0,1.0,20.0,6.0,51.0,3.0,1.0,6.0,13.0,8.0,6.0,22.0,469.0,11.0,14.0,1.0,8.0,3.0,65.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,65.6,14.0,3.0,3.0,3.0,6.0,5.0,1.0,50.0,11.0,1.0,548.0,3.0,8.0,13.0,9.0,31.0,2.0,5.0,360.0,10.0,6.0,19.0,139.0,27.0,1.0,7.0,16.0,13.0,3.0,27.0,1.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210287,2021-08-21 15:00:00,"Etihad Stadium, Manchester",51437.0,Home,Manchester City,Norwich City,5,0,W,2,0,0,0,,,19.0,41.0,,1.0,42.0,3.0,9.0,6.0,7.0,,,147.0,11.0,2.0,9.0,3.0,11.0,1.0,4.0,227.0,105.0,38.0,1.0,16.0,5.0,3.0,,,1.0,26.0,8.0,,3.0,5.0,15.0,48.0,477.0,1.0,0.0,280.0,13.0,,,,134.0,112.0,8.0,126.0,2.0,22.0,10.0,9.0,1.0,4.0,4.0,105.0,3.0,1.0,230.0,882.0,6.0,1.0,47.0,6.0,672.0,9.0,2.0,1.0,,3.0,20.0,718.0,89.0,1.0,59859,2.0,209.0,,16.0,,215.0,11.0,,10.0,2.0,40.0,2.0,2.0,3.0,13.0,,2.0,51.0,684.0,6.0,6.0,2.0,3.0,3.0,55.0,,,0.0,1.0,,,,0.0,1.0,1.0,66.9,20.0,1.0,9.0,1.0,3.0,6.0,,51.0,6.0,,730.0,6.0,12.0,35.0,6.0,42.0,2.0,2.0,541.0,9.0,13.0,9.0,250.0,20.0,,2.0,14.0,12.0,3.0,15.0,,3.0,6.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210295,2021-08-28 12:30:00,"Etihad Stadium, Manchester",52276.0,Home,Manchester City,Arsenal,5,0,W,3,0,0,1,,3.0,17.0,49.0,,5.0,17.0,3.0,8.0,9.0,17.0,,1.0,184.0,7.0,7.0,7.0,3.0,21.0,1.0,10.0,219.0,109.0,41.0,,25.0,5.0,9.0,5.0,1.0,2.0,30.0,10.0,,3.0,6.0,12.0,40.0,469.0,,0.0,299.0,5.0,,2.0,,139.0,76.0,16.0,134.0,2.0,24.0,8.0,8.0,,9.0,2.0,109.0,6.0,1.0,220.0,906.0,17.0,,50.0,4.0,673.0,20.0,1.0,1.0,,5.0,23.0,736.0,71.0,5.0,97299,9.0,231.0,3.0,13.0,1.0,244.0,4.0,,8.0,4.0,25.0,8.0,1.0,2.0,8.0,,3.0,33.0,693.0,7.0,2.0,,3.0,6.0,58.0,1.0,1.0,0.0,,,,,0.0,7.0,5.0,80.4,19.0,1.0,3.0,3.0,2.0,10.0,,45.0,14.0,,757.0,4.0,2.0,15.0,5.0,57.0,,3.0,543.0,11.0,12.0,13.0,260.0,22.0,,1.0,14.0,18.0,3.0,14.0,,3.0,14.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,,4.0,1.0,1.0,2.0,1.0,2.0,4.0,,,1.0,,4.0,1.0,,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210307,2021-09-11 15:00:00,"King Power Stadium, Leicester",32087.0,Away,Manchester City,Leicester City,1,0,W,0,0,0,0,,3.0,21.0,59.0,,8.0,21.0,6.0,4.0,7.0,21.0,2.0,3.0,167.0,7.0,8.0,5.0,4.0,17.0,1.0,8.0,164.0,118.0,31.0,,25.0,2.0,12.0,6.0,4.0,2.0,31.0,7.0,1.0,6.0,7.0,3.0,32.0,287.0,2.0,0.0,186.0,11.0,1.0,1.0,1.0,103.0,58.0,11.0,79.0,1.0,24.0,18.0,4.0,,8.0,1.0,118.0,2.0,6.0,147.0,734.0,15.0,3.0,47.0,5.0,489.0,23.0,3.0,2.0,2.0,6.0,20.0,545.0,65.0,3.0,97299,14.0,222.0,2.0,14.0,2.0,235.0,8.0,3.0,18.0,6.0,46.0,10.0,4.0,6.0,16.0,,6.0,33.0,501.0,4.0,6.0,2.0,10.0,2.0,54.0,1.0,1.0,0.0,5.0,1.0,,,0.0,6.0,3.0,60.5,20.0,1.0,6.0,2.0,6.0,10.0,,44.0,8.0,1.0,557.0,5.0,9.0,22.0,7.0,46.0,2.0,6.0,353.0,15.0,3.0,8.0,152.0,24.0,3.0,3.0,14.0,21.0,2.0,14.0,3.0,5.0,8.0,1.0,1.0,,1.0,,1.0,3.0,,,,1.0,2.0,,2.0,,,,,,1.0,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210315,2021-09-18 15:00:00,"Etihad Stadium, Manchester",52698.0,Home,Manchester City,Southampton,0,0,D,0,0,0,0,,,25.0,60.0,,3.0,21.0,14.0,6.0,4.0,9.0,2.0,,175.0,10.0,8.0,13.0,3.0,12.0,1.0,1.0,154.0,131.0,58.0,1.0,16.0,4.0,15.0,1.0,,,23.0,10.0,,14.0,6.0,6.0,25.0,201.0,4.0,0.0,126.0,5.0,,1.0,1.0,66.0,47.0,5.0,81.0,3.0,17.0,14.0,7.0,1.0,3.0,3.0,131.0,2.0,6.0,145.0,768.0,11.0,1.0,30.0,8.0,467.0,22.0,4.0,0.0,6.0,7.0,21.0,538.0,42.0,,61366,2.0,291.0,2.0,12.0,2.0,314.0,3.0,,14.0,5.0,54.0,4.0,4.0,9.0,18.0,4.0,5.0,36.0,484.0,10.0,13.0,1.0,7.0,4.0,67.0,,,0.0,5.0,2.0,,1.0,0.0,4.0,4.0,63.9,20.0,3.0,3.0,3.0,9.0,7.0,,48.0,8.0,1.0,555.0,8.0,9.0,16.0,8.0,30.0,4.0,5.0,264.0,8.0,6.0,22.0,100.0,26.0,,4.0,13.0,9.0,3.0,25.0,,7.0,8.0,,,,,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210323,2021-09-25 12:30:00,"Stamford Bridge, London",40036.0,Away,Manchester City,Chelsea,1,0,W,0,0,0,0,,1.0,33.0,60.0,,3.0,24.0,17.0,4.0,6.0,11.0,,2.0,151.0,12.0,4.0,9.0,,13.0,1.0,4.0,168.0,126.0,46.0,,15.0,3.0,18.0,3.0,2.0,3.0,26.0,9.0,,17.0,10.0,3.0,35.0,289.0,,0.0,170.0,10.0,,,3.0,97.0,79.0,8.0,100.0,1.0,16.0,21.0,4.0,,6.0,1.0,126.0,2.0,2.0,180.0,781.0,9.0,1.0,34.0,8.0,510.0,22.0,7.0,2.0,4.0,5.0,12.0,578.0,69.0,1.0,97299,8.0,243.0,3.0,9.0,1.0,252.0,4.0,3.0,21.0,3.0,50.0,2.0,4.0,4.0,14.0,3.0,2.0,48.0,528.0,12.0,10.0,3.0,9.0,4.0,66.0,1.0,1.0,0.0,4.0,,,,0.0,1.0,2.0,59.1,11.0,1.0,5.0,2.0,4.0,6.0,,47.0,13.0,3.0,599.0,8.0,7.0,18.0,5.0,38.0,3.0,4.0,373.0,7.0,3.0,9.0,120.0,26.0,,7.0,16.0,10.0,3.0,15.0,,7.0,13.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210336,2021-10-03 16:30:00,"Anfield, Liverpool",53102.0,Away,Manchester City,Liverpool,2,2,D,0,0,0,0,,1.0,25.0,68.0,,5.0,39.0,17.0,3.0,5.0,9.0,1.0,,149.0,9.0,2.0,14.0,3.0,9.0,,3.0,143.0,139.0,44.0,1.0,12.0,,9.0,1.0,1.0,1.0,14.0,9.0,,17.0,2.0,3.0,57.0,184.0,,0.0,114.0,12.0,1.0,,,74.0,58.0,7.0,100.0,1.0,12.0,14.0,3.0,1.0,3.0,2.0,139.0,1.0,5.0,137.0,709.0,8.0,3.0,26.0,8.0,427.0,27.0,10.0,3.0,3.0,2.0,20.0,513.0,46.0,4.0,97299,2.0,261.0,1.0,7.0,,298.0,5.0,2.0,14.0,2.0,48.0,6.0,5.0,12.0,16.0,1.0,2.0,68.0,443.0,10.0,10.0,,14.0,,56.0,,,0.0,3.0,2.0,2.0,,0.0,2.0,1.0,51.5,19.0,1.0,4.0,3.0,13.0,5.0,1.0,37.0,4.0,,529.0,8.0,12.0,43.0,4.0,29.0,,2.0,245.0,6.0,3.0,9.0,84.0,24.0,2.0,10.0,11.0,11.0,1.0,19.0,2.0,6.0,4.0,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,,2.0,1.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210346,2021-10-16 15:00:00,"Etihad Stadium, Manchester",52711.0,Home,Manchester City,Burnley,2,0,W,1,0,0,0,,3.0,20.0,59.0,,3.0,35.0,9.0,2.0,10.0,13.0,2.0,1.0,216.0,12.0,3.0,9.0,1.0,9.0,,6.0,214.0,135.0,36.0,,15.0,1.0,17.0,3.0,2.0,,24.0,6.0,1.0,9.0,3.0,4.0,55.0,403.0,1.0,0.0,283.0,11.0,1.0,,,110.0,106.0,7.0,132.0,,21.0,11.0,2.0,,6.0,,135.0,1.0,6.0,206.0,932.0,9.0,2.0,52.0,10.0,671.0,29.0,6.0,1.0,1.0,2.0,15.0,749.0,77.0,,97299,8.0,287.0,1.0,15.0,,315.0,6.0,3.0,11.0,7.0,47.0,1.0,,6.0,16.0,1.0,6.0,60.0,687.0,5.0,5.0,,13.0,1.0,63.0,1.0,,0.0,2.0,2.0,,,0.0,3.0,,70.6,15.0,,1.0,2.0,6.0,4.0,,45.0,6.0,,768.0,10.0,8.0,36.0,5.0,45.0,,4.0,477.0,5.0,4.0,11.0,248.0,23.0,2.0,6.0,11.0,14.0,3.0,18.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,,,1.0,,,2.0,,2.0,,,,2.0,3.0,,2.0,,,,,,,,2.0,2.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,2210353,2021-10-23 17:30:00,"American Express Stadium, Falmer",31215.0,Away,Manchester City,Brighton and Hove Albion,4,1,W,3,0,0,0,,4.0,25.0,57.0,2.0,5.0,33.0,15.0,4.0,12.0,18.0,4.0,6.0,153.0,13.0,2.0,12.0,1.0,18.0,,14.0,142.0,110.0,33.0,1.0,23.0,1.0,14.0,6.0,4.0,2.0,7.0,3.0,4.0,15.0,3.0,2.0,38.0,274.0,,0.0,168.0,6.0,1.0,5.0,1.0,86.0,78.0,16.0,106.0,1.0,4.0,16.0,5.0,1.0,3.0,,110.0,4.0,7.0,165.0,738.0,12.0,2.0,35.0,8.0,472.0,18.0,8.0,3.0,1.0,2.0,16.0,543.0,52.0,3.0,97299,9.0,219.0,1.0,,,244.0,6.0,1.0,16.0,8.0,48.0,4.0,1.0,9.0,12.0,3.0,4.0,58.0,491.0,9.0,12.0,2.0,12.0,2.0,59.0,,1.0,0.0,7.0,2.0,1.0,,0.0,,1.0,52.3,15.0,1.0,4.0,4.0,9.0,6.0,,41.0,6.0,1.0,566.0,8.0,6.0,24.0,3.0,23.0,2.0,3.0,329.0,10.0,2.0,5.0,135.0,26.0,3.0,8.0,7.0,20.0,3.0,22.0,3.0,9.0,6.0,3.0,1.0,1.0,3.0,,4.0,1.0,,4.0,,,1.0,1.0,1.0,4.0,,,1.0,,4.0,,,4.0,2.0,2.0,3.0,2.0,,4.0,,1.0,,,,3.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,2210365,2021-10-30 15:00:00,"Etihad Stadium, Manchester",53014.0,Home,Manchester City,Crystal Palace,0,2,L,0,1,1,0,,1.0,38.0,53.0,,5.0,32.0,4.0,4.0,5.0,10.0,1.0,2.0,163.0,16.0,5.0,9.0,2.0,11.0,,3.0,200.0,156.0,48.0,,14.0,2.0,14.0,2.0,3.0,1.0,32.0,10.0,1.0,4.0,7.0,8.0,49.0,345.0,1.0,0.0,240.0,11.0,1.0,,,88.0,87.0,7.0,82.0,,25.0,24.0,4.0,,10.0,1.0,156.0,,6.0,209.0,841.0,11.0,,44.0,6.0,540.0,17.0,2.0,2.0,1.0,4.0,34.0,632.0,77.0,,97299,6.0,222.0,,13.0,1.0,243.0,6.0,,24.0,5.0,52.0,1.0,2.0,2.0,12.0,2.0,5.0,52.0,562.0,10.0,6.0,,7.0,5.0,59.0,,1.0,0.0,1.0,1.0,2.0,,1.0,3.0,2.0,67.6,33.0,2.0,6.0,1.0,2.0,7.0,,45.0,7.0,,654.0,6.0,12.0,26.0,4.0,51.0,2.0,3.0,443.0,7.0,6.0,13.0,185.0,28.0,,2.0,16.0,8.0,3.0,18.0,,5.0,7.0,,,,,,,2.0,,,,,2.0,2.0,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
