matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855180,1,2016-08-13 15:00:00,"Riverside Stadium, Middlesbrough",32110,Home,Boro,Stoke,1,1,D,1,0,0,0,1.0,12.0,2.0,6.0,4.0,2.0,1.0,1.0,2.0,1.0,8.0,4.0,26.0,42.0,349.0,262.0,45.6,19.0,17.0,11.0,20.0,20.0,17.0,17.0,2.0,,,16.0,9.0,133.0,,1.0,,60.0,73.0,22.0,27.0,9.0,9.0,,18.0,14.0,0.0,0.0,,,1.0
855186,2,2016-08-21 13:30:00,"Stadium of Light, Sunderland",43515,Away,Boro,Sunderland,2,1,W,2,0,0,0,2.0,8.0,3.0,2.0,3.0,2.0,1.0,1.0,,2.0,7.0,5.0,14.0,54.0,476.0,372.0,53.1,13.0,30.0,20.0,17.0,34.0,26.0,27.0,6.0,,1.0,21.0,10.0,144.0,4.0,1.0,,63.0,68.0,17.0,18.0,1.0,1.0,,14.0,11.0,0.0,0.0,,,
855201,3,2016-08-28 13:30:00,"The Hawthorns, West Bromwich",23690,Away,Boro,West Brom,0,0,D,0,0,0,0,,7.0,2.0,4.0,1.0,,,,,,6.0,2.0,25.0,60.0,515.0,428.0,59.0,16.0,22.0,16.0,13.0,38.0,33.0,16.0,5.0,,,12.0,11.0,132.0,2.0,,1.0,66.0,59.0,31.0,21.0,4.0,4.0,,11.0,11.0,0.0,0.0,,,3.0
855207,4,2016-09-10 15:00:00,"Riverside Stadium, Middlesbrough",30551,Home,Boro,Crystal Palace,1,2,L,1,1,0,0,1.0,12.0,4.0,5.0,3.0,1.0,,1.0,,1.0,9.0,6.0,33.0,69.0,526.0,450.0,57.7,21.0,24.0,19.0,12.0,19.0,18.0,10.0,4.0,,1.0,14.0,14.0,142.0,2.0,2.0,,58.0,69.0,14.0,27.0,6.0,6.0,,5.0,8.0,0.0,0.0,,,3.0
855214,5,2016-09-17 17:30:00,"Goodison Park, Liverpool",39074,Away,Boro,Everton,1,3,L,1,3,0,0,1.0,7.0,,3.0,4.0,,,,,,5.0,2.0,19.0,62.0,502.0,409.0,47.8,7.0,22.0,18.0,24.0,27.0,23.0,20.0,1.0,,,20.0,9.0,148.0,3.0,3.0,,56.0,69.0,21.0,15.0,3.0,3.0,1.0,15.0,5.0,0.0,0.0,,,3.0
855227,6,2016-09-24 15:00:00,"Riverside Stadium, Middlesbrough",32703,Home,Boro,Spurs,1,2,L,0,2,0,0,1.0,6.0,2.0,2.0,2.0,,,,,1.0,4.0,3.0,21.0,55.0,391.0,286.0,41.6,8.0,31.0,21.0,25.0,31.0,26.0,18.0,6.0,2.0,,20.0,6.0,137.0,3.0,2.0,,67.0,65.0,16.0,18.0,2.0,2.0,1.0,14.0,8.0,0.0,0.0,,,
855241,7,2016-10-01 15:00:00,"London Stadium, London",56945,Away,Boro,West Ham,1,1,D,0,0,0,0,1.0,9.0,3.0,4.0,2.0,1.0,,1.0,,1.0,5.0,2.0,28.0,61.0,482.0,384.0,59.7,11.0,27.0,19.0,11.0,26.0,22.0,10.0,5.0,,,10.0,4.0,150.0,1.0,1.0,,63.0,52.0,20.0,18.0,5.0,5.0,,12.0,13.0,0.0,0.0,,,2.0
855248,8,2016-10-16 13:30:00,"Riverside Stadium, Middlesbrough",28131,Home,Boro,Watford,0,1,L,0,0,0,0,,10.0,3.0,7.0,,,,,,,7.0,2.0,43.0,58.0,467.0,388.0,63.9,15.0,21.0,18.0,11.0,24.0,20.0,16.0,1.0,,,7.0,14.0,146.0,1.0,1.0,,48.0,59.0,12.0,17.0,4.0,4.0,,15.0,9.0,0.0,0.0,,,
855253,9,2016-10-22 15:00:00,"Emirates Stadium, London",59982,Away,Boro,Arsenal,0,0,D,0,0,0,0,,11.0,4.0,3.0,4.0,1.0,,3.0,1.0,,6.0,5.0,22.0,39.0,235.0,132.0,25.1,14.0,20.0,12.0,12.0,36.0,32.0,20.0,1.0,1.0,,13.0,7.0,138.0,6.0,,1.0,55.0,59.0,23.0,24.0,3.0,3.0,3.0,13.0,6.0,0.0,0.0,,,2.0
855265,10,2016-10-29 15:00:00,"Riverside Stadium, Middlesbrough",29600,Home,Boro,Bournemouth,2,0,W,1,0,0,0,2.0,11.0,3.0,6.0,2.0,1.0,2.0,,,1.0,10.0,4.0,20.0,46.0,357.0,275.0,40.4,11.0,22.0,16.0,24.0,28.0,28.0,21.0,8.0,,,20.0,10.0,132.0,2.0,,1.0,52.0,59.0,11.0,16.0,4.0,4.0,1.0,7.0,6.0,0.0,0.0,,,
855279,11,2016-11-05 15:00:00,"Etihad Stadium, Manchester",54294,Away,Boro,Man City,1,1,D,0,1,0,0,1.0,5.0,3.0,1.0,1.0,,,,,1.0,4.0,3.0,5.0,38.0,266.0,181.0,29.0,6.0,17.0,12.0,13.0,41.0,41.0,7.0,7.0,1.0,,17.0,10.0,124.0,6.0,1.0,,54.0,62.0,14.0,16.0,2.0,2.0,,15.0,7.0,0.0,0.0,,,2.0
855285,12,2016-11-20 16:00:00,"Riverside Stadium, Middlesbrough",32704,Home,Boro,Chelsea,0,1,L,0,1,0,0,,12.0,1.0,7.0,4.0,,,,,,7.0,3.0,23.0,42.0,451.0,365.0,42.4,10.0,16.0,14.0,14.0,22.0,22.0,18.0,4.0,,,14.0,5.0,126.0,2.0,1.0,,54.0,46.0,13.0,12.0,2.0,2.0,,13.0,10.0,0.0,0.0,,,
855296,13,2016-11-26 15:00:00,"King Power Stadium, Leicester",32058,Away,Boro,Leicester,2,2,D,1,1,0,0,2.0,6.0,2.0,2.0,2.0,,,,,2.0,6.0,4.0,24.0,50.0,487.0,378.0,59.3,14.0,6.0,5.0,18.0,37.0,37.0,20.0,2.0,,,9.0,7.0,157.0,1.0,2.0,,65.0,54.0,31.0,22.0,3.0,3.0,,12.0,15.0,0.0,0.0,,,1.0
855306,14,2016-12-05 20:00:00,"Riverside Stadium, Middlesbrough",27395,Home,Boro,Hull,1,0,W,0,0,0,0,1.0,16.0,4.0,5.0,7.0,3.0,1.0,2.0,,1.0,10.0,8.0,42.0,63.0,601.0,524.0,60.7,27.0,20.0,18.0,10.0,13.0,13.0,15.0,1.0,,,8.0,13.0,134.0,2.0,,1.0,56.0,45.0,20.0,15.0,13.0,13.0,,6.0,9.0,0.0,0.0,,,3.0
855319,15,2016-12-11 14:15:00,"St. Mary's Stadium, Southampton",28976,Away,Boro,Southampton,0,1,L,0,0,0,0,,6.0,2.0,1.0,3.0,,,,1.0,,3.0,2.0,23.0,59.0,418.0,314.0,44.9,15.0,23.0,14.0,14.0,28.0,28.0,18.0,6.0,,,10.0,8.0,157.0,1.0,1.0,,62.0,52.0,17.0,19.0,2.0,2.0,,12.0,14.0,0.0,0.0,,,2.0
855324,16,2016-12-14 19:45:00,"Riverside Stadium, Middlesbrough",32704,Home,Boro,Liverpool,0,3,L,0,1,0,0,,8.0,3.0,1.0,4.0,,,,,,5.0,4.0,26.0,48.0,393.0,314.0,37.1,7.0,19.0,12.0,15.0,17.0,17.0,8.0,7.0,,,10.0,12.0,134.0,1.0,3.0,,61.0,53.0,12.0,14.0,5.0,5.0,3.0,11.0,14.0,0.0,0.0,,,1.0
855336,17,2016-12-17 15:00:00,"Riverside Stadium, Middlesbrough",28302,Home,Boro,Swansea,3,0,W,2,0,0,0,3.0,10.0,4.0,5.0,1.0,1.0,2.0,,,2.0,8.0,4.0,15.0,37.0,409.0,306.0,43.1,13.0,17.0,12.0,19.0,51.0,51.0,18.0,6.0,,,11.0,7.0,142.0,2.0,,1.0,60.0,55.0,26.0,19.0,3.0,3.0,1.0,10.0,11.0,0.0,0.0,1.0,1.0,
855343,18,2016-12-26 15:00:00,"Turf Moor, Burnley",21562,Away,Boro,Burnley,0,1,L,0,0,0,0,,8.0,2.0,4.0,2.0,1.0,,1.0,,,5.0,2.0,32.0,61.0,396.0,275.0,54.4,12.0,11.0,9.0,25.0,25.0,25.0,16.0,,,1.0,6.0,3.0,171.0,3.0,1.0,,61.0,55.0,24.0,25.0,3.0,3.0,1.0,18.0,16.0,0.0,0.0,,,4.0
855358,19,2016-12-31 15:00:00,"Old Trafford, Manchester",75314,Away,Boro,Man Utd,1,2,L,0,0,0,0,1.0,9.0,2.0,4.0,3.0,1.0,1.0,,,1.0,6.0,4.0,17.0,45.0,332.0,241.0,34.5,13.0,12.0,6.0,14.0,49.0,49.0,15.0,8.0,,,22.0,4.0,120.0,10.0,2.0,,48.0,63.0,10.0,21.0,2.0,2.0,,14.0,9.0,0.0,0.0,,,
855366,20,2017-01-02 12:30:00,"Riverside Stadium, Middlesbrough",32437,Home,Boro,Leicester,0,0,D,0,0,0,0,,9.0,1.0,5.0,3.0,,,1.0,,,6.0,3.0,40.0,60.0,530.0,431.0,62.4,23.0,18.0,13.0,11.0,25.0,25.0,14.0,2.0,,,4.0,15.0,182.0,4.0,,1.0,66.0,68.0,25.0,32.0,2.0,2.0,1.0,10.0,7.0,0.0,0.0,,,
855380,21,2017-01-14 15:00:00,"Vicarage Road, Watford",20659,Away,Boro,Watford,0,0,D,0,0,0,0,,5.0,1.0,4.0,,,,,,,3.0,,13.0,58.0,431.0,325.0,54.0,9.0,18.0,15.0,14.0,42.0,42.0,20.0,1.0,1.0,,4.0,3.0,145.0,5.0,,1.0,61.0,54.0,27.0,28.0,1.0,1.0,,15.0,13.0,0.0,0.0,,,3.0
855388,22,2017-01-21 15:00:00,"Riverside Stadium, Middlesbrough",30848,Home,Boro,West Ham,1,3,L,1,2,0,0,1.0,11.0,2.0,5.0,4.0,1.0,1.0,,1.0,1.0,8.0,5.0,50.0,80.0,529.0,426.0,61.5,26.0,19.0,12.0,10.0,16.0,16.0,14.0,3.0,1.0,,6.0,10.0,161.0,2.0,3.0,,64.0,54.0,21.0,23.0,7.0,7.0,1.0,7.0,13.0,0.0,0.0,,,2.0
855396,23,2017-01-31 19:45:00,"Riverside Stadium, Middlesbrough",27316,Home,Boro,West Brom,1,1,D,1,1,0,0,1.0,11.0,3.0,3.0,5.0,,1.0,,,,5.0,3.0,37.0,65.0,482.0,384.0,61.7,18.0,22.0,20.0,12.0,35.0,35.0,15.0,5.0,,,6.0,12.0,151.0,4.0,1.0,,66.0,49.0,20.0,16.0,4.0,4.0,3.0,12.0,13.0,0.0,0.0,1.0,1.0,
855409,24,2017-02-04 17:30:00,"White Hart Lane, London",31949,Away,Boro,Spurs,0,1,L,0,0,0,0,,8.0,,5.0,3.0,1.0,,1.0,,,6.0,2.0,24.0,52.0,315.0,216.0,34.8,11.0,31.0,25.0,11.0,47.0,47.0,10.0,6.0,,,6.0,10.0,147.0,4.0,1.0,,68.0,55.0,22.0,19.0,2.0,2.0,1.0,11.0,7.0,0.0,0.0,,,1.0
855417,25,2017-02-11 15:00:00,"Riverside Stadium, Middlesbrough",31496,Home,Boro,Everton,0,0,D,0,0,0,0,,9.0,3.0,4.0,2.0,,,,,,8.0,4.0,25.0,69.0,470.0,344.0,45.9,18.0,26.0,24.0,11.0,18.0,18.0,21.0,1.0,,,7.0,20.0,181.0,3.0,,1.0,74.0,67.0,25.0,23.0,5.0,5.0,1.0,14.0,9.0,0.0,0.0,,,
855423,26,2017-02-25 15:00:00,"Selhurst Park, London",25416,Away,Boro,Crystal Palace,0,1,L,0,1,0,0,,11.0,4.0,6.0,1.0,1.0,,1.0,,,8.0,3.0,24.0,56.0,430.0,327.0,54.4,17.0,24.0,17.0,12.0,30.0,30.0,11.0,5.0,,,13.0,9.0,143.0,2.0,1.0,,66.0,62.0,21.0,22.0,2.0,2.0,1.0,15.0,9.0,0.0,0.0,,,
855435,27,2017-03-04 15:00:00,"bet365 Stadium, Stoke",27644,Away,Boro,Stoke,0,2,L,0,2,0,0,,8.0,2.0,3.0,3.0,,,,,,8.0,5.0,23.0,70.0,369.0,277.0,45.2,18.0,23.0,15.0,12.0,27.0,27.0,10.0,1.0,,,24.0,10.0,147.0,5.0,2.0,,69.0,78.0,18.0,21.0,1.0,1.0,1.0,20.0,15.0,0.0,0.0,,,4.0
