matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
1059703,1,2019-08-10 15:00:00,"Vitality Stadium, Bournemouth",10714.0,Away,Sheff Utd,Bournemouth,1,1,D,0,0,0,0,1.0,8.0,3.0,4.0,1.0,2.0,1.0,3.0,,,5.0,3.0,25.0,66.0,428.0,332.0,47.1,11.0,14.0,11.0,14.0,16.0,16.0,19.0,2.0,,,8.0,9.0,145.0,2.0,1.0,,49.0,56.0,21.0,14.0,4.0,4.0,2.0,19.0,9.0,0.0,0.0,,,1.0
1059719,2,2019-08-18 14:00:00,"Bramall Lane, Sheffield",30197.0,Home,Sheff Utd,Crystal Palace,1,0,W,0,0,0,0,1.0,15.0,3.0,6.0,6.0,1.0,1.0,1.0,,,10.0,4.0,23.0,57.0,354.0,274.0,42.5,22.0,20.0,11.0,14.0,38.0,38.0,20.0,2.0,,,10.0,10.0,145.0,4.0,,1.0,62.0,74.0,23.0,27.0,8.0,8.0,1.0,16.0,10.0,0.0,0.0,,,
1059728,3,2019-08-24 15:00:00,"Bramall Lane, Sheffield",30079.0,Home,Sheff Utd,Leicester,1,2,L,0,1,0,0,1.0,7.0,2.0,3.0,2.0,,,,,1.0,4.0,2.0,43.0,61.0,421.0,316.0,49.1,21.0,16.0,13.0,15.0,15.0,15.0,17.0,4.0,,1.0,9.0,10.0,169.0,,2.0,,58.0,54.0,25.0,21.0,7.0,7.0,,11.0,6.0,0.0,0.0,,,1.0
1059734,4,2019-08-31 15:00:00,"Stamford Bridge, London",40560.0,Away,Sheff Utd,Chelsea,2,2,D,0,2,0,0,2.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,,1.0,7.0,3.0,20.0,66.0,429.0,338.0,37.7,10.0,15.0,10.0,17.0,24.0,24.0,11.0,3.0,,2.0,16.0,8.0,129.0,3.0,2.0,,51.0,62.0,23.0,20.0,4.0,4.0,,11.0,6.0,0.0,0.0,,,
1059748,5,2019-09-14 15:00:00,"Bramall Lane, Sheffield",30985.0,Home,Sheff Utd,Southampton,0,1,L,0,0,1,0,,17.0,4.0,8.0,5.0,3.0,,3.0,,,16.0,8.0,37.0,63.0,414.0,308.0,48.2,29.0,21.0,11.0,10.0,24.0,24.0,20.0,1.0,,,20.0,12.0,171.0,6.0,1.0,,59.0,67.0,16.0,20.0,12.0,12.0,1.0,10.0,6.0,0.0,0.0,,,3.0
1059756,6,2019-09-21 15:00:00,"Goodison Park, Liverpool",39354.0,Away,Sheff Utd,Everton,2,0,W,1,0,0,0,2.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,12.0,50.0,227.0,144.0,30.2,6.0,15.0,10.0,14.0,63.0,63.0,15.0,7.0,,,15.0,3.0,131.0,3.0,,1.0,52.0,52.0,24.0,19.0,3.0,3.0,,9.0,8.0,0.0,0.0,,,1.0
1059769,7,2019-09-28 12:30:00,"Bramall Lane, Sheffield",31774.0,Home,Sheff Utd,Liverpool,0,1,L,0,0,0,0,,12.0,2.0,6.0,4.0,1.0,,1.0,,,9.0,4.0,27.0,52.0,291.0,192.0,29.6,24.0,11.0,7.0,12.0,29.0,29.0,17.0,3.0,3.0,1.0,7.0,8.0,140.0,3.0,1.0,,43.0,52.0,20.0,26.0,6.0,6.0,,8.0,4.0,0.0,0.0,,,
1059780,8,2019-10-05 15:00:00,"Vicarage Road, Watford",20811.0,Away,Sheff Utd,Watford,0,0,D,0,0,0,0,,9.0,3.0,4.0,2.0,,,,,,6.0,4.0,38.0,74.0,554.0,455.0,60.5,22.0,15.0,9.0,9.0,27.0,27.0,6.0,2.0,,,10.0,13.0,164.0,2.0,,1.0,53.0,59.0,25.0,26.0,7.0,7.0,1.0,6.0,7.0,0.0,0.0,,,3.0
1059789,9,2019-10-21 20:00:00,"Bramall Lane, Sheffield",30775.0,Home,Sheff Utd,Arsenal,1,0,W,1,0,0,0,1.0,8.0,2.0,5.0,1.0,1.0,1.0,,,1.0,7.0,3.0,29.0,54.0,287.0,205.0,31.4,23.0,21.0,14.0,13.0,25.0,25.0,11.0,2.0,,,20.0,14.0,136.0,3.0,,1.0,62.0,59.0,28.0,15.0,7.0,7.0,1.0,10.0,11.0,0.0,0.0,,,1.0
1059801,10,2019-10-26 15:00:00,"London Stadium, London",59878.0,Away,Sheff Utd,West Ham,1,1,D,0,1,0,0,1.0,10.0,4.0,3.0,3.0,1.0,,1.0,,1.0,9.0,6.0,22.0,53.0,357.0,261.0,39.2,19.0,11.0,6.0,14.0,27.0,27.0,16.0,1.0,,,10.0,7.0,139.0,3.0,1.0,,55.0,51.0,25.0,22.0,4.0,4.0,1.0,10.0,7.0,0.0,0.0,,,4.0
