matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855180,1,2016-08-13 15:00:00,"Riverside Stadium, Middlesbrough",32110,Away,Stoke,Boro,1,1,D,0,1,0,0,1.0,12.0,1.0,9.0,2.0,,,,,,8.0,1.0,34.0,45.0,420.0,330.0,54.4,21.0,16.0,13.0,11.0,16.0,11.0,17.0,4.0,,,10.0,8.0,147.0,1.0,1.0,,,73.0,60.0,27.0,22.0,6.0,6.0,,14.0,18.0,0.0,0.0,,,2.0
855185,2,2016-08-20 12:30:00,"bet365 Stadium, Stoke",27455,Home,Stoke,Man City,1,4,L,0,2,0,0,1.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,,,3.0,2.0,26.0,54.0,361.0,263.0,42.5,17.0,22.0,14.0,13.0,25.0,20.0,15.0,4.0,,,12.0,12.0,154.0,2.0,4.0,,,69.0,65.0,21.0,21.0,7.0,7.0,,12.0,13.0,0.0,0.0,1.0,1.0,3.0
855194,3,2016-08-27 15:00:00,"Goodison Park, Liverpool",39581,Away,Stoke,Everton,0,1,L,0,0,0,0,,8.0,1.0,4.0,3.0,,,,1.0,,3.0,2.0,33.0,53.0,395.0,308.0,45.1,14.0,26.0,17.0,7.0,27.0,23.0,9.0,7.0,,,19.0,12.0,150.0,8.0,1.0,,1.0,72.0,68.0,21.0,17.0,2.0,2.0,,11.0,13.0,0.0,0.0,,,1.0
855208,4,2016-09-10 15:00:00,"bet365 Stadium, Stoke",27385,Home,Stoke,Spurs,0,4,L,0,1,0,0,,16.0,2.0,7.0,7.0,,,,,,8.0,6.0,36.0,49.0,325.0,233.0,39.7,32.0,23.0,19.0,20.0,22.0,17.0,15.0,7.0,,,7.0,4.0,136.0,5.0,4.0,,,64.0,42.0,15.0,17.0,10.0,11.0,,13.0,16.0,0.0,0.0,,,2.0
855213,5,2016-09-18 14:15:00,"Selhurst Park, London",23781,Away,Stoke,Crystal Palace,1,4,L,0,2,0,0,1.0,11.0,4.0,6.0,1.0,3.0,,3.0,,,8.0,4.0,32.0,57.0,350.0,259.0,43.5,16.0,28.0,18.0,11.0,22.0,20.0,12.0,5.0,,,17.0,19.0,158.0,3.0,4.0,,,66.0,71.0,20.0,19.0,5.0,5.0,2.0,9.0,14.0,0.0,0.0,,,3.0
855228,6,2016-09-24 15:00:00,"bet365 Stadium, Stoke",27645,Home,Stoke,West Brom,1,1,D,0,0,0,0,1.0,12.0,2.0,4.0,6.0,1.0,,1.0,,,10.0,7.0,41.0,58.0,405.0,300.0,56.2,21.0,19.0,11.0,4.0,21.0,15.0,13.0,3.0,1.0,,9.0,7.0,160.0,2.0,1.0,,,64.0,46.0,26.0,15.0,6.0,6.0,1.0,9.0,13.0,0.0,0.0,,,1.0
855236,7,2016-10-02 12:00:00,"Old Trafford, Manchester",75251,Away,Stoke,Man Utd,1,1,D,0,0,0,0,1.0,7.0,6.0,1.0,,,1.0,,,,5.0,4.0,22.0,66.0,268.0,186.0,32.8,12.0,14.0,8.0,10.0,44.0,31.0,9.0,8.0,,,10.0,16.0,134.0,8.0,1.0,,,40.0,54.0,10.0,13.0,2.0,2.0,,9.0,14.0,0.0,0.0,,,1.0
855250,8,2016-10-15 15:00:00,"bet365 Stadium, Stoke",27701,Home,Stoke,Sunderland,2,0,W,2,0,0,0,2.0,18.0,6.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,14.0,10.0,38.0,63.0,478.0,393.0,57.2,30.0,17.0,15.0,9.0,17.0,13.0,8.0,5.0,,,8.0,6.0,138.0,1.0,,1.0,,50.0,40.0,14.0,13.0,6.0,6.0,,10.0,13.0,0.0,0.0,,,2.0
855256,9,2016-10-22 15:00:00,"The MKM Stadium, Hull",18522,Away,Stoke,Hull,2,0,W,1,0,0,0,2.0,12.0,6.0,4.0,2.0,1.0,,1.0,,1.0,11.0,7.0,30.0,88.0,481.0,375.0,51.1,16.0,15.0,12.0,13.0,30.0,21.0,14.0,1.0,,,4.0,10.0,155.0,2.0,,1.0,,62.0,45.0,22.0,17.0,7.0,7.0,,8.0,14.0,0.0,0.0,,,
855267,10,2016-10-31 20:00:00,"bet365 Stadium, Stoke",26602,Home,Stoke,Swansea,3,1,W,1,1,0,0,3.0,17.0,4.0,8.0,5.0,3.0,2.0,1.0,3.0,2.0,11.0,5.0,32.0,57.0,364.0,267.0,45.6,22.0,21.0,18.0,8.0,14.0,14.0,21.0,3.0,,,5.0,10.0,151.0,5.0,1.0,,,59.0,52.0,16.0,27.0,6.0,6.0,1.0,7.0,14.0,0.0,0.0,,,2.0
855281,11,2016-11-05 15:00:00,"London Stadium, London",56970,Away,Stoke,West Ham,1,1,D,0,0,0,0,1.0,12.0,4.0,7.0,1.0,1.0,1.0,,,1.0,6.0,2.0,33.0,71.0,361.0,267.0,41.9,15.0,16.0,13.0,15.0,17.0,17.0,10.0,1.0,,,13.0,8.0,142.0,2.0,1.0,,1.0,50.0,56.0,21.0,21.0,4.0,4.0,1.0,10.0,11.0,0.0,0.0,,,1.0
855287,12,2016-11-19 15:00:00,"bet365 Stadium, Stoke",27815,Home,Stoke,Bournemouth,0,1,L,0,1,0,0,,14.0,6.0,5.0,3.0,1.0,,2.0,1.0,,11.0,8.0,37.0,61.0,363.0,258.0,51.1,32.0,26.0,21.0,19.0,11.0,11.0,8.0,1.0,,,7.0,13.0,159.0,1.0,1.0,,,76.0,61.0,27.0,18.0,3.0,3.0,,17.0,10.0,0.0,0.0,1.0,,2.0
855301,13,2016-11-27 12:00:00,"Vicarage Road, Watford",20058,Away,Stoke,Watford,1,0,W,1,0,0,1,1.0,14.0,1.0,7.0,6.0,,,,1.0,,10.0,4.0,26.0,58.0,371.0,273.0,50.2,19.0,17.0,12.0,11.0,38.0,38.0,18.0,1.0,,,12.0,15.0,153.0,2.0,,1.0,,73.0,60.0,25.0,17.0,3.0,3.0,6.0,14.0,23.0,0.0,0.0,,,6.0
855307,14,2016-12-03 15:00:00,"bet365 Stadium, Stoke",27306,Home,Stoke,Burnley,2,0,W,2,0,0,0,2.0,10.0,4.0,3.0,3.0,1.0,,1.0,1.0,2.0,7.0,5.0,19.0,66.0,448.0,349.0,55.9,17.0,17.0,13.0,11.0,40.0,40.0,9.0,4.0,1.0,,3.0,9.0,150.0,4.0,,1.0,,67.0,55.0,26.0,30.0,4.0,4.0,,7.0,13.0,0.0,0.0,,,3.0
855312,15,2016-12-10 15:00:00,"Emirates Stadium, London",59964,Away,Stoke,Arsenal,1,3,L,1,1,0,0,1.0,12.0,5.0,5.0,2.0,,1.0,,1.0,,9.0,5.0,24.0,47.0,288.0,212.0,35.6,20.0,15.0,11.0,18.0,29.0,29.0,13.0,7.0,1.0,,10.0,12.0,120.0,3.0,3.0,,,44.0,41.0,15.0,11.0,7.0,7.0,,6.0,9.0,0.0,0.0,1.0,1.0,3.0
855330,16,2016-12-14 20:00:00,"bet365 Stadium, Stoke",27002,Home,Stoke,Southampton,0,0,D,0,0,1,0,,5.0,3.0,1.0,1.0,,,,,,3.0,2.0,11.0,34.0,227.0,140.0,28.3,10.0,16.0,10.0,12.0,45.0,45.0,8.0,4.0,,,10.0,12.0,141.0,4.0,,1.0,,49.0,49.0,17.0,12.0,3.0,3.0,1.0,9.0,9.0,0.0,0.0,,,1.0
855337,17,2016-12-17 15:00:00,"bet365 Stadium, Stoke",27663,Home,Stoke,Leicester,2,2,D,2,0,0,1,2.0,16.0,7.0,4.0,5.0,1.0,2.0,1.0,1.0,,11.0,7.0,49.0,72.0,573.0,490.0,64.9,33.0,9.0,5.0,7.0,21.0,21.0,12.0,3.0,,,6.0,12.0,147.0,6.0,2.0,,,45.0,45.0,18.0,15.0,9.0,9.0,2.0,9.0,11.0,0.0,0.0,1.0,1.0,3.0
855347,18,2016-12-27 17:15:00,"Anfield, Liverpool",53094,Away,Stoke,Liverpool,1,4,L,1,2,0,0,1.0,6.0,2.0,2.0,2.0,,,,,1.0,4.0,2.0,17.0,55.0,352.0,256.0,36.2,9.0,25.0,12.0,20.0,36.0,36.0,15.0,9.0,,2.0,9.0,14.0,151.0,2.0,4.0,,1.0,74.0,54.0,32.0,13.0,2.0,2.0,,6.0,8.0,0.0,0.0,,,2.0
855354,19,2016-12-31 15:00:00,"Stamford Bridge, London",41601,Away,Stoke,Chelsea,2,4,L,0,1,0,0,2.0,5.0,2.0,3.0,,1.0,1.0,,,1.0,3.0,1.0,24.0,46.0,322.0,242.0,40.4,12.0,17.0,12.0,11.0,31.0,31.0,13.0,3.0,1.0,1.0,11.0,10.0,120.0,3.0,4.0,,,54.0,43.0,22.0,11.0,3.0,3.0,3.0,10.0,12.0,0.0,0.0,,,2.0
855367,20,2017-01-03 20:00:00,"bet365 Stadium, Stoke",27010,Home,Stoke,Watford,2,0,W,1,0,0,0,2.0,16.0,5.0,7.0,4.0,3.0,1.0,2.0,,2.0,13.0,8.0,34.0,62.0,399.0,296.0,54.0,21.0,7.0,5.0,9.0,42.0,42.0,19.0,4.0,,,6.0,12.0,171.0,1.0,,1.0,,60.0,53.0,26.0,23.0,7.0,7.0,1.0,10.0,15.0,0.0,0.0,,,3.0
855377,21,2017-01-14 15:00:00,"Stadium of Light, Sunderland",42722,Away,Stoke,Sunderland,3,1,W,3,1,0,0,3.0,14.0,6.0,3.0,5.0,1.0,1.0,,1.0,2.0,10.0,8.0,25.0,57.0,424.0,321.0,48.8,26.0,12.0,10.0,11.0,36.0,36.0,16.0,5.0,,,8.0,7.0,147.0,2.0,1.0,,,67.0,44.0,27.0,10.0,2.0,2.0,1.0,11.0,16.0,0.0,0.0,,,1.0
