matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855179,1,2016-08-13 17:30:00,"Etihad Stadium, Manchester",54362,Away,Sunderland,Man City,1,2,L,0,1,0,0,1.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0,,1.0,4.0,3.0,25.0,43.0,189.0,104.0,23.1,9.0,17.0,13.0,12.0,35.0,24.0,15.0,4.0,2.0,,13.0,3.0,137.0,3.0,2.0,,1.0,59.0,46.0,21.0,16.0,6.0,6.0,1.0,14.0,11.0,0.0,0.0,,,2.0
855186,2,2016-08-21 13:30:00,"Stadium of Light, Sunderland",43515,Home,Sunderland,Boro,1,2,L,0,2,0,0,1.0,18.0,5.0,6.0,7.0,,1.0,,,,13.0,8.0,34.0,66.0,401.0,307.0,46.9,37.0,16.0,11.0,15.0,12.0,11.0,27.0,3.0,,,7.0,19.0,159.0,1.0,2.0,,,68.0,63.0,18.0,17.0,8.0,8.0,2.0,11.0,14.0,0.0,0.0,,,2.0
855198,3,2016-08-27 15:00:00,"St. Mary's Stadium, Southampton",30152,Away,Sunderland,Southampton,1,1,D,0,0,0,0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,3.0,1.0,28.0,70.0,270.0,179.0,36.2,16.0,13.0,10.0,16.0,36.0,31.0,16.0,4.0,,1.0,10.0,11.0,130.0,6.0,1.0,,,58.0,45.0,20.0,11.0,5.0,5.0,1.0,8.0,15.0,0.0,0.0,1.0,1.0,2.0
855209,4,2016-09-12 20:00:00,"Stadium of Light, Sunderland",42406,Home,Sunderland,Everton,0,3,L,0,0,0,0,,11.0,2.0,1.0,8.0,,,1.0,,,7.0,7.0,19.0,52.0,283.0,209.0,33.3,23.0,11.0,7.0,16.0,18.0,15.0,9.0,3.0,,,7.0,17.0,132.0,6.0,3.0,,,43.0,51.0,12.0,5.0,5.0,5.0,,11.0,7.0,0.0,0.0,,,
855219,5,2016-09-18 16:30:00,"White Hart Lane, London",31251,Away,Sunderland,Spurs,0,1,L,0,0,1,0,,6.0,2.0,3.0,1.0,2.0,,2.0,,,5.0,2.0,17.0,43.0,224.0,140.0,26.3,10.0,26.0,23.0,15.0,32.0,26.0,8.0,7.0,,1.0,13.0,9.0,123.0,8.0,1.0,,,53.0,63.0,10.0,19.0,1.0,1.0,1.0,16.0,7.0,0.0,0.0,,,
855229,6,2016-09-24 15:00:00,"Stadium of Light, Sunderland",38941,Home,Sunderland,Crystal Palace,2,3,L,1,0,0,0,2.0,11.0,4.0,4.0,3.0,,2.0,1.0,,,5.0,2.0,31.0,73.0,360.0,260.0,44.6,21.0,15.0,8.0,19.0,39.0,29.0,14.0,4.0,,,12.0,12.0,157.0,1.0,3.0,,,54.0,61.0,19.0,20.0,3.0,3.0,,15.0,12.0,0.0,0.0,,,3.0
855237,7,2016-10-01 15:00:00,"Stadium of Light, Sunderland",40043,Home,Sunderland,West Brom,1,1,D,0,1,0,0,1.0,7.0,2.0,4.0,1.0,2.0,1.0,1.0,,1.0,6.0,3.0,34.0,80.0,424.0,328.0,56.0,16.0,17.0,13.0,24.0,32.0,28.0,13.0,3.0,,,1.0,7.0,149.0,6.0,1.0,,,55.0,43.0,19.0,18.0,6.0,6.0,,7.0,12.0,0.0,0.0,,,2.0
855250,8,2016-10-15 15:00:00,"bet365 Stadium, Stoke",27701,Away,Sunderland,Stoke,0,2,L,0,2,0,0,,11.0,1.0,4.0,6.0,,,,,,8.0,6.0,23.0,73.0,357.0,266.0,42.8,16.0,10.0,8.0,14.0,15.0,13.0,8.0,8.0,,,7.0,14.0,139.0,4.0,2.0,,,40.0,50.0,13.0,14.0,4.0,4.0,,13.0,10.0,0.0,0.0,,,2.0
855261,9,2016-10-22 15:00:00,"London Stadium, London",56985,Away,Sunderland,West Ham,0,1,L,0,0,0,0,,10.0,2.0,4.0,4.0,,,1.0,,,7.0,3.0,19.0,60.0,296.0,207.0,35.6,14.0,16.0,10.0,17.0,33.0,27.0,11.0,7.0,,,18.0,8.0,136.0,2.0,1.0,,,38.0,56.0,6.0,13.0,2.0,2.0,1.0,13.0,10.0,0.0,0.0,,,1.0
855268,10,2016-10-29 12:30:00,"Stadium of Light, Sunderland",44322,Home,Sunderland,Arsenal,1,4,L,0,1,0,0,1.0,3.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,18.0,65.0,302.0,219.0,34.5,6.0,16.0,15.0,9.0,23.0,23.0,9.0,2.0,,,13.0,13.0,138.0,3.0,4.0,,,48.0,57.0,14.0,17.0,,,,9.0,12.0,0.0,0.0,1.0,1.0,6.0
