matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803170,1,2015-08-08 15:00:00,"Goodison Park, Liverpool",39063,Away,Watford,Everton,2,2,D,1,0,0,0,2.0,11.0,5.0,3.0,3.0,,,,,1.0,8.0,7.0,24.0,68.0,286.0,200.0,33.4,,25.0,19.0,37.0,53.0,42.0,10.0,2.0,,1.0,6.0,9.0,142.0,3.0,2.0,,,72.0,53.0,29.0,20.0,2.0,2.0,,13.0,7.0,0.0,0.0,,,1.0
803181,2,2015-08-15 15:00:00,"Vicarage Road, Watford",20011,Home,Watford,West Brom,0,0,D,0,0,0,0,,16.0,5.0,8.0,3.0,,,,,,15.0,8.0,34.0,83.0,498.0,418.0,63.9,,15.0,9.0,20.0,20.0,18.0,20.0,1.0,,,4.0,17.0,151.0,,,1.0,,52.0,64.0,18.0,26.0,2.0,2.0,,13.0,10.0,0.0,0.0,,,
803188,3,2015-08-23 16:00:00,"Vicarage Road, Watford",20166,Home,Watford,Southampton,0,0,D,0,0,0,0,,13.0,,6.0,7.0,1.0,,2.0,,,10.0,5.0,36.0,80.0,431.0,316.0,52.0,,15.0,12.0,14.0,15.0,14.0,18.0,,,,5.0,8.0,185.0,4.0,,1.0,,62.0,51.0,25.0,23.0,5.0,5.0,1.0,10.0,11.0,0.0,0.0,,,4.0
803199,4,2015-08-29 15:00:00,"Etihad Stadium, Manchester",53218,Away,Watford,Man City,0,2,L,0,0,0,0,,7.0,,2.0,5.0,,,,,,4.0,2.0,19.0,42.0,458.0,393.0,41.3,,30.0,21.0,19.0,23.0,16.0,14.0,5.0,2.0,,13.0,11.0,115.0,3.0,2.0,,,50.0,48.0,3.0,9.0,3.0,3.0,,12.0,9.0,0.0,0.0,,,1.0
803210,5,2015-09-12 15:00:00,"Vicarage Road, Watford",20057,Home,Watford,Swansea,1,0,W,0,0,1,0,1.0,17.0,6.0,7.0,4.0,2.0,1.0,1.0,,1.0,11.0,7.0,21.0,71.0,330.0,236.0,39.2,,17.0,12.0,25.0,27.0,20.0,17.0,1.0,1.0,,6.0,4.0,141.0,3.0,,1.0,,47.0,44.0,13.0,20.0,1.0,1.0,3.0,11.0,13.0,0.0,0.0,,,
803219,6,2015-09-19 15:00:00,"St. James' Park, Newcastle",47806,Away,Watford,Newcastle,2,1,W,2,0,0,0,2.0,13.0,4.0,6.0,3.0,2.0,1.0,1.0,,2.0,12.0,6.0,32.0,74.0,381.0,275.0,42.4,,29.0,24.0,18.0,19.0,14.0,19.0,3.0,1.0,,15.0,15.0,166.0,4.0,1.0,,,56.0,56.0,11.0,11.0,5.0,5.0,,12.0,7.0,0.0,0.0,,,1.0
803226,7,2015-09-27 16:00:00,"Vicarage Road, Watford",20168,Home,Watford,Crystal Palace,0,1,L,0,0,0,0,,15.0,2.0,9.0,4.0,,,,1.0,,10.0,4.0,41.0,85.0,386.0,290.0,55.3,,14.0,10.0,10.0,20.0,15.0,12.0,5.0,,,10.0,2.0,164.0,2.0,1.0,,,58.0,51.0,21.0,10.0,6.0,6.0,4.0,17.0,22.0,0.0,0.0,,,
803239,8,2015-10-03 15:00:00,"Vitality Stadium, Bournemouth",11187,Away,Watford,Bournemouth,1,1,D,1,1,0,0,1.0,11.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,,6.0,4.0,18.0,71.0,421.0,309.0,45.6,,18.0,15.0,16.0,16.0,11.0,23.0,2.0,,,15.0,5.0,175.0,5.0,1.0,,,57.0,64.0,20.0,26.0,3.0,3.0,2.0,13.0,8.0,0.0,0.0,,,1.0
803242,9,2015-10-17 17:30:00,"Vicarage Road, Watford",20721,Home,Watford,Arsenal,0,3,L,0,0,0,0,,8.0,1.0,6.0,1.0,,,,,,7.0,1.0,31.0,67.0,306.0,226.0,33.3,,25.0,20.0,17.0,25.0,22.0,19.0,6.0,,,18.0,12.0,139.0,3.0,3.0,,,55.0,58.0,10.0,12.0,3.0,3.0,1.0,11.0,12.0,0.0,0.0,,,1.0
803260,10,2015-10-24 15:00:00,"bet365 Stadium, Stoke",27587,Away,Watford,Stoke,2,0,W,1,0,0,0,2.0,13.0,3.0,5.0,5.0,1.0,,1.0,2.0,2.0,9.0,7.0,27.0,59.0,269.0,188.0,33.8,13.0,20.0,18.0,20.0,25.0,21.0,18.0,3.0,,,7.0,11.0,141.0,,,1.0,,45.0,54.0,13.0,13.0,5.0,5.0,,18.0,10.0,0.0,0.0,,,
803271,11,2015-10-31 15:00:00,"Vicarage Road, Watford",20598,Home,Watford,West Ham,2,0,W,1,0,0,1,2.0,20.0,5.0,6.0,9.0,1.0,1.0,1.0,,,13.0,8.0,28.0,80.0,400.0,303.0,50.6,,17.0,13.0,8.0,25.0,19.0,18.0,,1.0,,6.0,9.0,149.0,3.0,,1.0,,49.0,58.0,12.0,24.0,7.0,7.0,1.0,16.0,11.0,0.0,0.0,,,3.0
803280,12,2015-11-07 15:00:00,"King Power Stadium, Leicester",32029,Away,Watford,Leicester,1,2,L,0,0,0,0,1.0,8.0,4.0,4.0,,,1.0,,1.0,,5.0,1.0,23.0,99.0,556.0,410.0,58.7,,13.0,7.0,16.0,26.0,25.0,29.0,2.0,1.0,1.0,10.0,8.0,192.0,4.0,2.0,,,42.0,45.0,13.0,11.0,2.0,2.0,,10.0,11.0,0.0,0.0,1.0,1.0,1.0
803287,13,2015-11-21 12:45:00,"Vicarage Road, Watford",20702,Home,Watford,Man Utd,1,2,L,0,1,0,0,1.0,10.0,5.0,2.0,3.0,,1.0,,,,7.0,6.0,22.0,61.0,385.0,246.0,43.6,,28.0,16.0,24.0,32.0,24.0,25.0,2.0,1.0,,4.0,14.0,199.0,5.0,2.0,,1.0,60.0,41.0,12.0,13.0,4.0,4.0,,6.0,12.0,0.0,0.0,1.0,1.0,1.0
803300,14,2015-11-28 15:00:00,"Villa Park, Birmingham",35057,Away,Watford,Aston Villa,3,2,W,1,1,0,0,3.0,14.0,6.0,2.0,6.0,1.0,1.0,1.0,,,8.0,6.0,30.0,58.0,263.0,157.0,34.9,,21.0,17.0,21.0,35.0,27.0,16.0,2.0,,,16.0,5.0,164.0,4.0,2.0,,,42.0,59.0,10.0,21.0,10.0,10.0,,13.0,6.0,0.0,0.0,,,
803308,15,2015-12-05 15:00:00,"Vicarage Road, Watford",20422,Home,Watford,Norwich,2,0,W,1,0,0,0,2.0,14.0,7.0,4.0,3.0,2.0,2.0,1.0,,1.0,10.0,8.0,30.0,72.0,385.0,258.0,50.4,,11.0,8.0,15.0,37.0,31.0,15.0,2.0,,,8.0,2.0,182.0,1.0,,1.0,,46.0,45.0,15.0,19.0,4.0,4.0,1.0,11.0,9.0,0.0,0.0,1.0,1.0,4.0
803320,16,2015-12-12 15:00:00,"Stadium of Light, Sunderland",43989,Away,Watford,Sunderland,1,0,W,1,0,0,0,1.0,13.0,8.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,11.0,10.0,21.0,77.0,465.0,340.0,51.4,,19.0,16.0,18.0,28.0,23.0,21.0,1.0,,,11.0,5.0,181.0,3.0,,1.0,,61.0,40.0,26.0,12.0,3.0,3.0,,9.0,6.0,0.0,0.0,,,2.0
803326,17,2015-12-20 13:30:00,"Vicarage Road, Watford",20707,Home,Watford,Liverpool,3,0,W,2,0,0,0,3.0,6.0,5.0,,1.0,2.0,2.0,1.0,,1.0,4.0,4.0,26.0,82.0,268.0,144.0,35.1,,28.0,22.0,18.0,23.0,16.0,20.0,4.0,2.0,,8.0,13.0,196.0,4.0,,1.0,,56.0,47.0,14.0,14.0,7.0,7.0,,6.0,9.0,0.0,0.0,,,1.0
803339,18,2015-12-26 15:00:00,"Stamford Bridge, London",41630,Away,Watford,Chelsea,2,2,D,1,1,0,0,2.0,12.0,2.0,5.0,5.0,1.0,1.0,1.0,,,6.0,1.0,18.0,41.0,327.0,243.0,37.6,,29.0,24.0,15.0,22.0,18.0,12.0,6.0,,,6.0,13.0,142.0,,2.0,,,54.0,57.0,13.0,17.0,4.0,4.0,,15.0,6.0,0.0,0.0,1.0,1.0,1.0
803351,19,2015-12-28 15:00:00,"Vicarage Road, Watford",20730,Home,Watford,Spurs,1,2,L,1,1,1,0,1.0,9.0,1.0,4.0,4.0,1.0,1.0,,,1.0,6.0,3.0,38.0,60.0,312.0,188.0,37.5,,15.0,12.0,40.0,22.0,15.0,20.0,,,1.0,10.0,7.0,182.0,1.0,2.0,,,53.0,48.0,21.0,16.0,5.0,5.0,,11.0,13.0,0.0,0.0,,,2.0
803356,20,2016-01-02 17:30:00,"Vicarage Road, Watford",20676,Home,Watford,Man City,1,2,L,0,0,0,0,1.0,12.0,4.0,6.0,2.0,1.0,,2.0,,,6.0,4.0,22.0,75.0,410.0,296.0,48.5,,18.0,12.0,26.0,19.0,15.0,19.0,3.0,,,10.0,16.0,191.0,3.0,2.0,,,61.0,56.0,18.0,13.0,4.0,4.0,1.0,6.0,9.0,0.0,0.0,,,
803370,21,2016-01-13 19:45:00,"St. Mary's Stadium, Southampton",28399,Away,Watford,Southampton,0,2,L,0,1,0,0,,4.0,1.0,,3.0,,,,,,3.0,3.0,20.0,63.0,465.0,342.0,49.4,,11.0,5.0,26.0,29.0,25.0,21.0,2.0,2.0,,6.0,14.0,184.0,4.0,2.0,,,40.0,57.0,15.0,20.0,1.0,1.0,,11.0,9.0,0.0,0.0,,,3.0
803379,22,2016-01-18 20:00:00,"Swansea.com Stadium, Swansea",20430,Away,Watford,Swansea,0,1,L,0,1,0,0,,12.0,2.0,7.0,3.0,,,,,,7.0,3.0,29.0,59.0,378.0,271.0,43.3,,32.0,23.0,21.0,29.0,25.0,23.0,4.0,,,14.0,11.0,172.0,1.0,1.0,,,66.0,53.0,23.0,13.0,3.0,3.0,3.0,11.0,6.0,0.0,0.0,,,
803387,23,2016-01-23 15:00:00,"Vicarage Road, Watford",20611,Home,Watford,Newcastle,2,1,W,0,0,0,0,2.0,13.0,5.0,7.0,1.0,3.0,2.0,3.0,,2.0,10.0,5.0,32.0,71.0,473.0,356.0,51.3,,31.0,22.0,32.0,17.0,12.0,16.0,1.0,,,9.0,10.0,179.0,1.0,1.0,,,83.0,52.0,28.0,17.0,2.0,2.0,1.0,10.0,12.0,0.0,0.0,,,1.0
803394,24,2016-02-03 19:45:00,"Vicarage Road, Watford",20910,Home,Watford,Chelsea,0,0,D,0,0,0,0,,12.0,3.0,2.0,7.0,,,,,,10.0,9.0,23.0,67.0,449.0,348.0,45.0,,20.0,17.0,28.0,21.0,21.0,17.0,5.0,,,12.0,13.0,160.0,4.0,,1.0,,62.0,54.0,19.0,11.0,7.0,7.0,,10.0,13.0,0.0,0.0,,,
803409,25,2016-02-06 15:00:00,"White Hart Lane, London",35997,Away,Watford,Spurs,0,1,L,0,0,0,0,,3.0,,2.0,1.0,,,,,,2.0,1.0,19.0,58.0,297.0,191.0,34.1,,23.0,15.0,27.0,35.0,32.0,17.0,8.0,1.0,,17.0,10.0,164.0,8.0,1.0,,,56.0,51.0,14.0,11.0,1.0,1.0,,9.0,11.0,0.0,0.0,,,3.0
803419,26,2016-02-13 15:00:00,"Selhurst Park, London",24564,Away,Watford,Crystal Palace,2,1,W,1,1,0,1,2.0,10.0,4.0,2.0,4.0,1.0,2.0,1.0,,,7.0,5.0,30.0,70.0,344.0,227.0,46.1,,30.0,22.0,22.0,34.0,26.0,13.0,2.0,,,13.0,14.0,176.0,4.0,1.0,,,70.0,72.0,17.0,31.0,3.0,3.0,1.0,14.0,16.0,0.0,0.0,1.0,1.0,
803424,27,2016-02-27 15:00:00,"Vicarage Road, Watford",20831,Home,Watford,Bournemouth,0,0,D,0,0,0,0,,14.0,1.0,9.0,4.0,2.0,,2.0,,,8.0,3.0,34.0,70.0,313.0,207.0,46.9,,14.0,10.0,16.0,26.0,21.0,22.0,4.0,,,13.0,16.0,169.0,3.0,,1.0,,52.0,67.0,14.0,22.0,4.0,4.0,4.0,14.0,16.0,0.0,0.0,,,3.0
803439,28,2016-03-02 20:00:00,"Old Trafford, Manchester",75272,Away,Watford,Man Utd,0,1,L,0,0,0,0,,13.0,4.0,6.0,3.0,1.0,,4.0,,,9.0,3.0,23.0,73.0,307.0,209.0,38.7,,26.0,23.0,16.0,24.0,19.0,11.0,5.0,,,17.0,16.0,160.0,2.0,1.0,,,60.0,58.0,18.0,4.0,7.0,7.0,2.0,17.0,7.0,0.0,0.0,,,
803445,29,2016-03-05 17:30:00,"Vicarage Road, Watford",20884,Home,Watford,Leicester,0,1,L,0,0,0,0,,11.0,4.0,4.0,3.0,1.0,,1.0,1.0,,8.0,6.0,36.0,75.0,413.0,301.0,50.2,,27.0,23.0,23.0,21.0,21.0,23.0,1.0,1.0,,12.0,15.0,172.0,5.0,1.0,,,79.0,69.0,28.0,22.0,3.0,3.0,1.0,10.0,11.0,0.0,0.0,,,2.0
803460,30,2016-04-20 19:45:00,"Boleyn Ground, London",34857,Away,Watford,West Ham,1,3,L,0,2,1,0,1.0,7.0,4.0,2.0,1.0,1.0,,2.0,,1.0,5.0,3.0,17.0,58.0,438.0,344.0,53.8,,25.0,17.0,15.0,16.0,11.0,16.0,5.0,2.0,,19.0,12.0,151.0,4.0,3.0,,,58.0,67.0,12.0,15.0,2.0,2.0,2.0,17.0,11.0,0.0,0.0,1.0,,2.0
803469,31,2016-03-19 15:00:00,"Vicarage Road, Watford",20759,Home,Watford,Stoke,1,2,L,0,1,0,0,1.0,9.0,4.0,4.0,1.0,1.0,1.0,,,1.0,6.0,4.0,47.0,79.0,454.0,327.0,52.1,,19.0,15.0,18.0,16.0,9.0,21.0,1.0,2.0,1.0,8.0,9.0,202.0,4.0,2.0,,,71.0,59.0,24.0,23.0,9.0,9.0,1.0,10.0,14.0,0.0,0.0,,,2.0
803480,32,2016-04-02 15:00:00,"Emirates Stadium, London",59981,Away,Watford,Arsenal,0,4,L,0,2,0,0,,7.0,3.0,3.0,1.0,,,,,,6.0,3.0,27.0,46.0,328.0,233.0,31.0,,20.0,15.0,18.0,23.0,19.0,14.0,3.0,1.0,,8.0,7.0,154.0,8.0,4.0,,,49.0,44.0,19.0,13.0,3.0,3.0,3.0,10.0,7.0,0.0,0.0,,,3.0
803485,33,2016-04-09 15:00:00,"Vicarage Road, Watford",20663,Home,Watford,Everton,1,1,D,1,1,0,0,1.0,13.0,4.0,6.0,3.0,,,,,,9.0,5.0,31.0,65.0,326.0,226.0,41.9,,19.0,11.0,17.0,19.0,15.0,15.0,2.0,1.0,1.0,8.0,10.0,151.0,6.0,1.0,,,62.0,52.0,28.0,19.0,7.0,7.0,2.0,13.0,8.0,0.0,0.0,,,3.0
803500,34,2016-04-16 15:00:00,"The Hawthorns, West Bromwich",25515,Away,Watford,West Brom,1,0,W,1,0,0,0,1.0,11.0,4.0,4.0,3.0,,,,,1.0,10.0,7.0,25.0,69.0,349.0,229.0,43.3,,17.0,12.0,15.0,31.0,24.0,16.0,5.0,1.0,,17.0,11.0,172.0,4.0,,1.0,,56.0,69.0,23.0,23.0,3.0,3.0,,17.0,11.0,0.0,0.0,,,
803510,35,2016-05-11 19:45:00,"Carrow Road, Norwich",26279,Away,Watford,Norwich,2,4,L,1,3,0,0,2.0,12.0,7.0,2.0,3.0,2.0,2.0,1.0,,1.0,9.0,8.0,30.0,80.0,400.0,293.0,44.4,15.0,29.0,22.0,17.0,13.0,8.0,14.0,5.0,2.0,2.0,9.0,5.0,151.0,3.0,4.0,,1.0,64.0,41.0,17.0,12.0,1.0,1.0,,13.0,8.0,0.0,0.0,,,3.0
803512,36,2016-04-30 15:00:00,"Vicarage Road, Watford",20653,Home,Watford,Aston Villa,3,2,W,1,1,0,1,3.0,18.0,6.0,7.0,5.0,1.0,1.0,,1.0,1.0,11.0,7.0,48.0,70.0,588.0,500.0,64.7,,14.0,11.0,11.0,14.0,10.0,18.0,1.0,,,13.0,6.0,156.0,,2.0,,,51.0,65.0,19.0,23.0,8.0,8.0,1.0,14.0,9.0,0.0,0.0,,,1.0
803530,37,2016-05-08 16:00:00,"Anfield, Liverpool",43341,Away,Watford,Liverpool,0,2,L,0,1,0,0,,14.0,3.0,9.0,2.0,,,,,,9.0,3.0,38.0,59.0,271.0,193.0,33.9,,17.0,15.0,21.0,25.0,19.0,9.0,6.0,1.0,,13.0,8.0,138.0,3.0,2.0,,,60.0,68.0,14.0,19.0,8.0,8.0,,15.0,10.0,0.0,0.0,,,1.0
803539,38,2016-05-15 15:00:00,"Vicarage Road, Watford",21012,Home,Watford,Sunderland,2,2,D,0,1,0,0,2.0,21.0,6.0,11.0,4.0,1.0,2.0,,1.0,1.0,14.0,6.0,38.0,73.0,401.0,309.0,54.2,,13.0,11.0,24.0,26.0,20.0,7.0,1.0,1.0,,9.0,18.0,159.0,2.0,2.0,,,40.0,51.0,14.0,12.0,7.0,7.0,,11.0,7.0,0.0,0.0,1.0,1.0,1.0
