matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803171,1,2015-08-09 13:30:00,"Emirates Stadium, London",59996,Away,West Ham,Arsenal,2,0,W,1,0,0,0,2.0,8.0,4.0,2.0,2.0,1.0,1.0,,,1.0,7.0,5.0,11.0,63.0,359.0,256.0,38.2,21.0,16.0,12.0,25.0,19.0,18.0,9.0,,,22.0,6.0,148.0,6.0,,1.0,,64.0,75.0,19.0,32.0,4.0,4.0,1.0,9.0,12.0,0.0,0.0,,,1.0
803176,2,2015-08-15 15:00:00,"Boleyn Ground, London",34857,Home,West Ham,Leicester,1,2,L,0,2,1,0,1.0,10.0,3.0,3.0,4.0,,,,1.0,1.0,8.0,5.0,46.0,80.0,553.0,468.0,69.8,15.0,12.0,4.0,22.0,17.0,9.0,2.0,,,6.0,12.0,163.0,3.0,2.0,,,61.0,62.0,25.0,20.0,8.0,8.0,1.0,11.0,12.0,0.0,0.0,,,1.0
803183,3,2015-08-22 15:00:00,"Boleyn Ground, London",34977,Home,West Ham,Bournemouth,3,4,L,0,2,1,0,3.0,10.0,4.0,3.0,3.0,,2.0,,,1.0,7.0,5.0,33.0,83.0,373.0,254.0,45.8,20.0,15.0,27.0,15.0,11.0,21.0,2.0,2.0,3.0,12.0,8.0,175.0,3.0,4.0,,,59.0,64.0,21.0,27.0,5.0,5.0,,8.0,11.0,0.0,0.0,1.0,1.0,3.0
803201,4,2015-08-29 15:00:00,"Anfield, Liverpool",43680,Away,West Ham,Liverpool,3,0,W,2,0,1,1,3.0,12.0,5.0,4.0,3.0,1.0,1.0,,,1.0,6.0,4.0,18.0,57.0,326.0,238.0,37.3,25.0,16.0,20.0,25.0,20.0,14.0,5.0,,,2.0,5.0,135.0,1.0,,1.0,,62.0,42.0,14.0,17.0,7.0,7.0,1.0,12.0,15.0,0.0,0.0,,,
803207,5,2015-09-14 20:00:00,"Boleyn Ground, London",34907,Home,West Ham,Newcastle,2,0,W,1,0,0,0,2.0,17.0,3.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,13.0,6.0,23.0,51.0,314.0,239.0,39.1,18.0,16.0,33.0,25.0,20.0,14.0,5.0,,,8.0,11.0,136.0,4.0,,1.0,,48.0,35.0,9.0,5.0,6.0,6.0,1.0,8.0,11.0,0.0,0.0,,,
803221,6,2015-09-19 17:30:00,"Etihad Stadium, Manchester",53545,Away,West Ham,Man City,2,1,W,2,1,0,0,2.0,6.0,3.0,3.0,,2.0,1.0,1.0,,2.0,5.0,2.0,12.0,42.0,279.0,189.0,28.5,20.0,13.0,17.0,57.0,43.0,17.0,10.0,1.0,,17.0,11.0,149.0,8.0,1.0,,,58.0,67.0,15.0,24.0,3.0,3.0,,7.0,10.0,0.0,0.0,,,2.0
803229,7,2015-09-26 15:00:00,"Boleyn Ground, London",34857,Home,West Ham,Norwich,2,2,D,1,1,0,0,2.0,19.0,7.0,8.0,4.0,5.0,2.0,3.0,,2.0,16.0,10.0,38.0,68.0,349.0,264.0,42.9,17.0,14.0,19.0,22.0,18.0,17.0,4.0,,1.0,8.0,9.0,149.0,5.0,2.0,,,58.0,44.0,21.0,15.0,7.0,7.0,3.0,7.0,17.0,0.0,0.0,,,3.0
803241,8,2015-10-03 15:00:00,"Stadium of Light, Sunderland",42932,Away,West Ham,Sunderland,2,2,D,1,2,0,1,2.0,20.0,6.0,9.0,5.0,1.0,1.0,1.0,,1.0,16.0,9.0,37.0,66.0,440.0,365.0,55.9,19.0,11.0,12.0,12.0,11.0,6.0,4.0,,1.0,4.0,9.0,139.0,1.0,2.0,,,62.0,52.0,21.0,15.0,8.0,8.0,1.0,11.0,14.0,0.0,0.0,,,2.0
803251,9,2015-10-17 15:00:00,"Selhurst Park, London",24812,Away,West Ham,Crystal Palace,3,1,W,1,1,0,1,3.0,24.0,4.0,12.0,8.0,4.0,3.0,1.0,1.0,3.0,19.0,9.0,36.0,57.0,516.0,437.0,61.5,27.0,20.0,9.0,20.0,14.0,19.0,2.0,,,6.0,12.0,141.0,,1.0,,,66.0,49.0,13.0,13.0,9.0,9.0,,11.0,9.0,0.0,0.0,,,4.0
803252,10,2015-10-24 15:00:00,"Boleyn Ground, London",34977,Home,West Ham,Chelsea,2,1,W,1,0,0,1,2.0,12.0,5.0,4.0,3.0,1.0,,1.0,,1.0,9.0,6.0,29.0,58.0,370.0,282.0,45.5,17.0,13.0,16.0,21.0,18.0,8.0,1.0,,,13.0,12.0,145.0,2.0,1.0,,,53.0,55.0,13.0,15.0,7.0,7.0,1.0,10.0,12.0,0.0,0.0,,,4.0
