playerId,displayName,firstName,lastName,shirtNumber,position,preferredFoot,nationality,isoCode,birthDate,birthCountry,age,height_cm,weight_kg,joinDate,onLoan
37096,Lukasz Fabianski,Lukasz,Fabianski,1,Goalkeeper,Right,Poland,PL,1985-04-18,Poland,41,190.0,83.0,2018-06-20,False
19194,David Martin,David,Martin,25,Goalkeeper,Right,England,GB-ENG,1986-01-22,,40,185.0,85.0,2019-07-01,False
232398,Nathan Trott,Nathan,Trott,34,Goalkeeper,,England,GB-ENG,1998-11-21,Bermuda,27,184.0,70.0,2017-12-02,False
32259,Darren Randolph,Darren,Randolph,35,Goalkeeper,,Ireland,IE,1987-05-12,,39,188.0,98.0,2020-01-15,False
55459,Aaron Cresswell,Aaron,Cresswell,3,Defender,Left,England,GB-ENG,1989-12-15,,36,170.0,66.0,2014-07-03,False
166640,Fabián Balbuena,Fabián,Balbuena,4,Defender,Right,Paraguay,PY,1991-08-23,Paraguay,34,188.0,82.0,2018-07-14,False
164555,Vladimir Coufal,Vladimir,Coufal,5,Defender,,Czech Republic,CZ,1992-08-22,Czech Republic,33,179.0,76.0,2020-10-02,False
486870,Frederik Alves,Frederik,Alves,14,Defender,,Denmark,DK,1999-11-08,Denmark,26,189.0,84.0,2021-01-02,False
60232,Craig Dawson,Craig,Dawson,15,Defender,Right,England,GB-ENG,1990-05-06,,36,188.0,82.0,2020-10-12,True
40669,Angelo Ogbonna,Angelo,Ogbonna,21,Defender,Left,Italy,IT,1988-05-23,Italy,38,191.0,86.0,2015-07-10,False
219924,Issa Diop,Issa,Diop,23,Defender,Right,France,FR,1997-01-09,France,29,194.0,92.0,2018-06-19,False
81012,Ryan Fredericks,Ryan,Fredericks,24,Defender,Right,England,GB-ENG,1992-10-10,,33,181.0,74.0,2018-07-01,False
105717,Arthur Masuaku,Arthur,Masuaku,26,Defender,Left,DR Congo,CD,1993-11-07,France,32,179.0,70.0,2016-08-08,False
222018,Ben Johnson,Ben,Johnson,31,Defender,Right,England,GB-ENG,2000-01-24,England,26,175.0,67.0,2017-12-02,False
441024,Harrison Ashby,Harrison,Ashby,50,Defender,Right,Scotland,GB-SCT,2001-11-14,,24,,,2020-09-14,False
462384,Jamal Baptiste,Jamal,Baptiste,75,Defender,,England,GB-ENG,2003-11-11,,22,,,2021-01-10,False
86934,Manuel Lanzini,Manuel,Lanzini,10,Midfielder,Right,Argentina,AR,1993-02-15,Argentina,33,167.0,59.0,2016-07-01,False
109322,Jesse Lingard,Jesse,Lingard,11,Midfielder,Right,England,GB-ENG,1992-12-15,England,33,175.0,62.0,2021-01-29,True
18073,Mark Noble,Mark,Noble,16,Midfielder,Right,England,GB-ENG,1987-05-08,,39,180.0,70.0,2003-07-01,False
217593,Pablo Fornals,Pablo,Fornals,18,Midfielder,Right,Spain,ES,1996-02-22,Spain,30,178.0,67.0,2019-06-14,False
215439,Tomas Soucek,Tomas,Soucek,28,Midfielder,,Czech Republic,CZ,1995-02-27,Czech Republic,31,192.0,86.0,2020-07-28,False
183487,Nathan Holland,Nathan,Holland,37,Midfielder,Right,England,GB-ENG,1998-06-19,,27,178.0,70.0,2017-09-01,False
204480,Declan Rice,Declan,Rice,41,Midfielder,Right,England,GB-ENG,1999-01-14,England,27,185.0,76.0,2016-06-01,False
222017,Conor Coventry,Conor,Coventry,54,Midfielder,Right,Ireland,IE,2000-03-25,England,26,177.0,,2018-07-01,False
56377,Andriy Yarmolenko,Andriy,Yarmolenko,7,Forward,Left,Ukraine,UA,1989-10-23,Russia,36,189.0,81.0,2018-07-11,False
172841,Saïd Benrahma,Saïd,Benrahma,9,Forward,Right,Algeria,DZ,1995-08-10,Algeria,30,172.0,67.0,2021-01-29,False
178186,Jarrod Bowen,Jarrod,Bowen,20,Forward,Left,England,GB-ENG,1996-12-20,England,29,175.0,70.0,2020-01-31,False
57531,Michail Antonio,Michail,Antonio,30,Forward,Right,England,GB-ENG,1990-03-28,,36,180.0,82.0,2015-09-01,False
461533,Ademipo Odubeko,Ademipo,Odubeko,45,Forward,,Ireland,IE,2002-10-21,,23,,,2021-01-10,False
232387,Emmanuel Longelo,Emmanuel,Longelo,56,Forward,,England,GB-ENG,2000-12-27,England,25,,,2020-09-21,False
