matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2292814,1,2022-08-06 15:00:00,"Elland Road, Leeds",36347,Away,Wolves,Leeds,1,2,L,1,1,0,0,1.0,15.0,6.0,6.0,3.0,1.0,,1.0,,1.0,13.0,8.0,25.0,46.0,546.0,463.0,59.9,28.0,16.0,11.0,14.0,16.0,16.0,3.0,3.0,,,7.0,7.0,139.0,3.0,2.0,,1.0,61.0,45.0,7.0,9.0,4.0,4.0,1.0,9.0,13.0,0.0,0.0,,,1.0
2292829,2,2022-08-13 15:00:00,"Molineux Stadium, Wolverhampton",31178,Home,Wolves,Fulham,0,0,D,0,0,0,0,,7.0,1.0,5.0,1.0,2.0,,2.0,,,3.0,1.0,21.0,66.0,496.0,392.0,59.6,17.0,17.0,11.0,8.0,14.0,14.0,7.0,1.0,,,9.0,8.0,158.0,3.0,,1.0,,50.0,48.0,15.0,13.0,5.0,5.0,,7.0,14.0,0.0,0.0,,,1.0
2292838,3,2022-08-20 12:30:00,"Tottenham Hotspur Stadium, London",61298,Away,Wolves,Spurs,0,1,L,0,0,0,0,,20.0,3.0,8.0,9.0,,,,,,18.0,12.0,29.0,52.0,477.0,399.0,50.1,20.0,18.0,12.0,6.0,17.0,17.0,15.0,2.0,,,7.0,6.0,115.0,3.0,1.0,,,46.0,38.0,9.0,5.0,6.0,6.0,1.0,8.0,10.0,0.0,0.0,,,
2292849,4,2022-08-28 14:00:00,"Molineux Stadium, Wolverhampton",31311,Home,Wolves,Newcastle,1,1,D,1,0,0,0,1.0,10.0,4.0,2.0,4.0,1.0,,2.0,,1.0,6.0,5.0,21.0,48.0,265.0,184.0,36.1,14.0,22.0,10.0,4.0,36.0,36.0,24.0,11.0,,,10.0,9.0,127.0,5.0,1.0,,,48.0,51.0,11.0,16.0,4.0,4.0,,10.0,11.0,0.0,0.0,,,3.0
2292850,5,2022-08-31 19:30:00,"Vitality Stadium, Bournemouth",10113,Away,Wolves,Bournemouth,0,0,D,0,0,0,0,,17.0,4.0,9.0,4.0,2.0,,2.0,1.0,,15.0,7.0,40.0,83.0,603.0,538.0,65.9,29.0,26.0,11.0,6.0,13.0,13.0,12.0,1.0,,,9.0,15.0,125.0,2.0,,1.0,,54.0,57.0,14.0,12.0,5.0,5.0,1.0,12.0,10.0,0.0,0.0,,,3.0
2292869,6,2022-09-03 15:00:00,"Molineux Stadium, Wolverhampton",30546,Home,Wolves,Southampton,1,0,W,1,0,0,0,1.0,7.0,2.0,4.0,1.0,2.0,1.0,1.0,,1.0,7.0,3.0,29.0,57.0,432.0,349.0,50.8,28.0,14.0,9.0,12.0,26.0,26.0,24.0,4.0,,,13.0,7.0,137.0,1.0,,1.0,,49.0,53.0,14.0,10.0,5.0,5.0,,10.0,13.0,0.0,0.0,,,1.0
2292876,7,2023-03-01 20:00:00,"Anfield, Liverpool",53259,Away,Wolves,Liverpool,0,2,L,0,0,0,0,,4.0,1.0,2.0,1.0,1.0,,1.0,,,4.0,2.0,11.0,39.0,402.0,322.0,43.2,9.0,21.0,12.0,11.0,18.0,18.0,9.0,3.0,,,13.0,6.0,128.0,4.0,2.0,,,61.0,47.0,12.0,9.0,2.0,2.0,,14.0,13.0,0.0,0.0,,,3.0
2292889,8,2022-09-17 12:30:00,"Molineux Stadium, Wolverhampton",31578,Home,Wolves,Man City,0,3,L,0,2,1,0,,6.0,1.0,4.0,1.0,,,,,,4.0,1.0,15.0,41.0,422.0,353.0,40.8,14.0,19.0,11.0,7.0,11.0,11.0,14.0,4.0,,,11.0,10.0,113.0,4.0,3.0,,,44.0,47.0,4.0,11.0,5.0,5.0,,7.0,9.0,0.0,0.0,,,
2292899,9,2022-10-01 17:30:00,"London Stadium, London",62444,Away,Wolves,West Ham,0,2,L,0,1,0,0,,15.0,4.0,7.0,4.0,1.0,,1.0,,,9.0,6.0,41.0,83.0,564.0,492.0,60.9,35.0,12.0,7.0,8.0,6.0,6.0,5.0,8.0,1.0,,3.0,11.0,138.0,3.0,2.0,,,41.0,46.0,9.0,16.0,6.0,6.0,,6.0,7.0,0.0,0.0,,,1.0
2292903,10,2022-10-08 15:00:00,"Stamford Bridge, London",39940,Away,Wolves,Chelsea,0,3,L,0,1,0,0,,8.0,2.0,5.0,1.0,1.0,,1.0,,,6.0,1.0,22.0,38.0,431.0,360.0,42.6,19.0,13.0,9.0,5.0,17.0,17.0,19.0,3.0,,,4.0,16.0,127.0,4.0,3.0,,,43.0,46.0,13.0,9.0,2.0,2.0,1.0,8.0,8.0,0.0,0.0,,,
